time	NH3_Unaged	NO_Unaged	NO2_Unaged	N2O_Unaged	NH3_2hr	NO_2hr	NO2_2hr	N2O_2hr	NH3_4hr	NO_4hr	NO2_4hr	N2O_4hr	NH3_8hr	NO_8hr	NO2_8hr	N2O_8hr	NH3_16hr	NO_16hr	NO2_16hr	N2O_16hr
0.091666667	-9.12595E-10	-1.84241E-09	-4.7027E-09	-1.78338E-09	-9.29361E-10	-1.57912E-09	-4.76585E-09	-1.20097E-09	-3.28519E-10	-1.2216E-09	-5.96524E-09	-2.16595E-09	7.13701E-10	-4.83906E-10	-4.96341E-09	-1.63274E-09	-5.38764E-10	-4.07044E-09	-4.00183E-09	-6.68327E-10
0.258333333	-1.21004E-09	-5.91596E-10	-4.27882E-09	-1.26507E-09	-3.58794E-10	-4.08523E-10	-5.50909E-09	-1.40522E-09	-2.71641E-10	-1.06104E-09	-5.01601E-09	-1.25559E-09	-6.69017E-10	-1.94131E-09	-4.33265E-09	-8.62897E-10	-1.16931E-11	-7.16358E-09	-4.35958E-09	-1.15139E-09
0.425	-6.8549E-10	-4.49574E-09	-2.60607E-09	-1.22079E-09	-4.70864E-10	-2.33932E-09	-4.9261E-09	-1.72616E-09	-9.36098E-10	-2.23311E-09	-4.48432E-09	-2.14557E-09	-8.27079E-10	-4.34325E-10	-3.7429E-09	-1.51068E-09	-2.07875E-10	-3.99365E-09	-5.20918E-09	-1.23973E-09
0.591666667	-8.08514E-10	-2.75613E-09	-2.76735E-09	-5.31405E-10	-1.06113E-09	-2.89749E-09	-5.01659E-09	-1.27981E-09	-2.29494E-10	-2.80449E-09	-4.03495E-09	-2.26642E-09	1.89325E-10	-5.53837E-10	-4.53169E-09	-1.04479E-09	5.18446E-11	-3.62409E-09	-4.11646E-09	-5.46835E-10
0.758333333	-5.51152E-10	-3.40527E-10	-4.42844E-09	-1.4767E-09	-9.25012E-10	-3.67669E-09	-6.5168E-09	-1.50633E-09	-5.84802E-10	-3.20734E-09	-4.07769E-09	-2.00645E-09	1.21078E-11	5.77387E-10	-3.23305E-09	-2.22539E-10	-9.33494E-10	-3.67795E-09	-5.03127E-09	-7.40947E-10
0.925	-8.99296E-10	-5.26363E-10	-4.43558E-09	-1.59166E-09	-4.13216E-10	-1.67654E-09	-5.22371E-09	-1.78278E-09	-7.88379E-10	-2.98805E-09	-4.97806E-09	-2.39405E-09	-1.21179E-11	-5.42336E-10	-3.87563E-09	-1.0736E-09	-1.04881E-10	-3.90519E-09	-4.81531E-09	-1.81342E-09
1.09166667	-1.69725E-11	-2.14917E-09	-3.7714E-09	-1.09221E-09	-6.14266E-10	-4.21462E-09	-5.43715E-09	-1.28342E-09	-5.30075E-10	-5.471E-09	-3.94863E-09	-2.05636E-09	-7.65574E-11	-3.52073E-09	-4.01007E-09	-1.15955E-09	-7.12089E-11	-4.88684E-09	-4.78708E-09	-1.20011E-09
1.25833333	-3.93919E-10	-1.38597E-09	-5.50537E-09	-1.5953E-09	-2.09199E-10	-2.09863E-09	-6.24523E-09	-1.41283E-09	-5.14729E-10	-4.18227E-09	-4.78542E-09	-2.1009E-09	-1.54662E-10	5.07376E-10	-4.3346E-09	-1.42351E-09	3.16274E-10	-4.09781E-09	-3.46265E-09	-1.57031E-09
1.425	-7.40851E-10	-2.41921E-09	-3.02875E-09	-1.25106E-09	-4.96733E-10	-1.82657E-09	-6.31063E-09	-1.35712E-09	-6.84031E-10	-4.5053E-09	-4.24702E-09	-3.71594E-09	1.13327E-10	3.54735E-10	-5.28123E-09	-5.56005E-10	-8.27885E-10	-3.79609E-09	-3.86954E-09	-1.81152E-09
1.59166667	-7.12374E-10	-2.64674E-09	-3.42839E-09	-1.7096E-09	-9.45072E-10	-1.4585E-09	-4.63663E-09	-1.72591E-09	-7.59831E-10	-2.48108E-09	-4.37912E-09	-3.05501E-09	-1.1194E-10	-5.82589E-09	-3.88245E-09	-8.3414E-10	-3.47205E-10	-9.43114E-10	-4.26852E-09	-1.00306E-09
