time	O2_Unaged	H2O_Unaged	NH3_Unaged	NO_Unaged	NO2_Unaged	N2O_Unaged	O2_2hr	H2O_2hr	NH3_2hr	NO_2hr	NO2_2hr	N2O_2hr	O2_4hr	H2O_4hr	NH3_4hr	NO_4hr	NO2_4hr	N2O_4hr	O2_8hr	H2O_8hr	NH3_8hr	NO_8hr	NO2_8hr	N2O_8hr	O2_16hr	H2O_16hr	NH3_16hr	NO_16hr	NO2_16hr	N2O_16hr
0.091666667	0.001956118	0.000974953	-7.56448E-10	-9.92571E-10	-5.11571E-09	-2.32408E-09	0.001956118	0.000970536	-9.94588E-11	-3.56554E-09	-9.08668E-09	-2.19057E-09	0.001956118	0.000985522	6.32675E-10	-3.99382E-09	-4.61067E-09	-1.79015E-09	0.001956118	0.000974981	5.95888E-10	-5.4267E-09	-5.90998E-09	-1.92379E-09	0.001956118	0.00096985	-1.61051E-10	-8.92089E-09	-7.59293E-09	-1.13293E-09
0.258333333	0.001956118	0.000974913	-3.88338E-10	-1.74665E-09	-5.84684E-09	-2.1987E-09	0.001956118	0.00096915	-5.20855E-11	-3.10558E-09	-7.65847E-09	-1.24347E-09	0.001956118	0.000986689	3.80083E-10	-2.24711E-09	-5.27276E-09	-2.10825E-09	0.001956118	0.000976145	1.00847E-09	-2.94743E-09	-5.66871E-09	-1.76608E-09	0.001956118	0.000968311	-1.33816E-10	-5.20957E-09	-8.53347E-09	-1.52124E-09
0.425	0.001956118	0.0009752	-1.44774E-10	-4.62247E-09	-7.22626E-09	-2.22784E-09	0.001956118	0.000968966	8.4243E-10	-5.96644E-09	-7.41908E-09	-2.54711E-09	0.001956118	0.000985767	3.97867E-10	-3.83084E-09	-4.76125E-09	-2.60065E-09	0.001956118	0.000976059	9.53138E-10	-1.35951E-09	-5.19609E-09	-1.5588E-09	0.001956118	0.000972736	8.91876E-10	-6.35939E-09	-8.03972E-09	-1.3909E-09
0.591666667	0.001956118	0.000983498	-1.2566E-09	6.17975E-10	-6.04719E-09	-1.92248E-09	0.001956118	0.000966746	-5.86346E-10	-4.55116E-09	-7.93374E-09	-1.9834E-09	0.001956118	0.00098278	1.25684E-09	-4.45998E-09	-4.07751E-09	-2.70865E-09	0.001956118	0.00097727	9.40965E-10	-2.88642E-09	-4.57228E-09	-1.71561E-09	0.001956118	0.000971353	1.8527E-10	-7.24693E-09	-8.1536E-09	-1.74937E-09
0.758333333	0.001956118	0.000990088	-6.98651E-10	-2.16431E-09	-5.24672E-09	-1.10638E-09	0.001956118	0.000966882	-8.88715E-10	-4.487E-09	-7.77147E-09	-1.94353E-09	0.001956118	0.000980355	6.41697E-10	-2.6236E-09	-5.01558E-09	-1.78403E-09	0.001956118	0.000979175	4.06239E-10	-5.20262E-09	-5.13701E-09	-9.66933E-10	0.001956118	0.000971276	3.30985E-10	-5.13772E-09	-8.88804E-09	-1.17359E-09
0.925	0.001956118	0.000980388	-7.82885E-10	-1.34975E-09	-5.82438E-09	-1.71596E-09	0.001956118	0.000971816	2.79275E-10	-5.5002E-09	-8.52266E-09	-2.36776E-09	0.001956118	0.000984389	3.94723E-10	-2.10266E-09	-5.0846E-09	-1.75176E-09	0.001956118	0.000976183	1.18184E-09	-2.08578E-09	-5.91536E-09	-1.54225E-09	0.001956118	0.000969459	6.56383E-10	-5.26555E-09	-8.31241E-09	-2.0978E-09
1.09166667	0.001956118	0.000981989	6.44717E-10	-1.42428E-09	-5.68351E-09	-1.78856E-09	0.001956118	0.000968605	-4.28984E-10	-3.24016E-09	-7.57468E-09	-1.34605E-09	0.001956118	0.000984118	1.81327E-09	-4.53342E-09	-5.89937E-09	-1.65668E-09	0.001956118	0.000974067	6.24753E-10	-5.13153E-09	-6.19355E-09	-1.76293E-09	0.001956118	0.00097044	1.97646E-10	-6.16888E-09	-8.46298E-09	-1.34567E-09
1.25833333	0.001956118	0.000995725	-1.03247E-09	-3.3875E-09	-6.23942E-09	-1.76912E-09	0.001956118	0.000970345	-4.70274E-10	-4.08873E-09	-7.33715E-09	-1.34874E-09	0.001956118	0.000986777	7.83093E-10	-2.40089E-09	-4.30695E-09	-2.53508E-09	0.001956118	0.000974155	6.21553E-10	-2.48624E-09	-5.38071E-09	-1.49171E-09	0.001956118	0.000970351	5.94589E-10	-5.51283E-09	-8.47902E-09	-1.28133E-09
1.425	0.001956118	0.000983614	-1.08368E-09	-2.58452E-10	-5.45586E-09	-1.72868E-09	0.001956118	0.00096744	-3.77644E-10	-6.72407E-09	-7.60676E-09	-2.02508E-09	0.001956118	0.000985266	9.24858E-10	-6.83981E-09	-5.20299E-09	-2.56739E-09	0.001956118	0.000973826	1.08907E-10	3.7292E-10	-5.1826E-09	-1.42E-09	0.001956118	0.000971279	5.56545E-10	-5.19605E-09	-6.75458E-09	-1.68531E-09
1.59166667	0.001956118	0.000993971	-9.67756E-10	-3.08561E-09	-6.4153E-09	-2.41103E-09	0.001956118	0.000969902	-1.36316E-10	-1.36161E-09	-7.56061E-09	-1.92689E-09	0.001956118	0.000985774	4.86453E-10	-5.00557E-09	-4.98986E-09	-1.76529E-09	0.001956118	0.000960938	9.23123E-10	-1.46816E-09	-5.15733E-09	-1.53408E-09	0.001956118	0.000969609	4.9838E-10	-8.79928E-09	-8.05927E-09	-2.16704E-09
