time	HC	CO	NO	N2O	NH3	H2
0.091666667	9.74488E-05	0.000171272	2.95969E-05	2.00849E-06	2.04542E-08	5.36662E-05
0.258333333	9.74632E-05	0.000171195	2.96432E-05	2.00394E-06	2.07027E-08	5.3702E-05
0.425	9.74449E-05	0.000171287	2.96766E-05	1.99677E-06	2.06426E-08	5.372E-05
0.591666667	9.74572E-05	0.000171574	2.9709E-05	1.99103E-06	2.0455E-08	5.37336E-05
0.758333333	9.74829E-05	0.000171437	2.97014E-05	1.98484E-06	2.07051E-08	5.37431E-05
0.925	9.75008E-05	0.000171473	2.97399E-05	1.97797E-06	1.95952E-08	5.37612E-05
1.09166667	9.75749E-05	0.000171439	2.97769E-05	1.97142E-06	1.94705E-08	5.37867E-05
1.25833333	9.76956E-05	0.000171616	2.98104E-05	1.96731E-06	1.92587E-08	5.37975E-05
1.425	9.78077E-05	0.000171746	2.98493E-05	1.96304E-06	1.94146E-08	5.38172E-05
1.59166667	9.7729E-05	0.00017168	2.98724E-05	1.96072E-06	1.89779E-08	5.38335E-05
1.75833333	9.77527E-05	0.000171895	2.98924E-05	1.95567E-06	1.85023E-08	5.3843E-05
1.925	9.77206E-05	0.00017153	2.98867E-05	1.94963E-06	1.8238E-08	5.38522E-05
2.09166667	9.79349E-05	0.000171792	2.99199E-05	1.94569E-06	1.80727E-08	5.38715E-05
2.25833333	9.79362E-05	0.000171853	2.99244E-05	1.94375E-06	1.92873E-08	5.38819E-05
2.425	9.79036E-05	0.000172189	2.99547E-05	1.94154E-06	1.80411E-08	5.38919E-05
2.59166667	9.78858E-05	0.000172035	2.99749E-05	1.93866E-06	1.74611E-08	5.39032E-05
2.75833333	9.79268E-05	0.000171826	2.99868E-05	1.93395E-06	1.73188E-08	5.39141E-05
2.925	9.78804E-05	0.000172145	3.00125E-05	1.93585E-06	1.79902E-08	5.39184E-05
3.09166667	9.80231E-05	0.000171971	3.00077E-05	1.9312E-06	1.63698E-08	5.39306E-05
3.25833333	9.80906E-05	0.000172015	3.0028E-05	1.92709E-06	1.78151E-08	5.39401E-05
3.425	9.79905E-05	0.000171856	3.00611E-05	1.92543E-06	1.79382E-08	5.39433E-05
3.59166667	9.80209E-05	0.000172245	3.00835E-05	1.92459E-06	1.72161E-08	5.39493E-05
3.75833333	9.79801E-05	0.000172144	3.00737E-05	1.91718E-06	1.71423E-08	5.39601E-05
