time	T_in	T_mid	T_out
0.091666667	380.5238944	380.7420526	379.1999191
0.258333333	380.4385997	380.6620886	379.0739166
0.425	380.3097996	380.5332735	378.9475933
0.591666667	380.1686633	380.3692004	378.827544
0.758333333	380.0844476	380.2821545	378.7175932
0.925	379.9882246	380.1700242	378.6221764
1.09166667	379.9080449	380.0990152	378.4732832
1.25833333	379.8583187	379.9993633	378.3915824
1.425	379.7911409	379.8954588	378.2604693
1.59166667	379.6908727	379.8022108	378.1380511
1.75833333	379.6602956	379.7272711	378.0807767
1.925	379.604496	379.6441455	377.9777652
2.09166667	379.5468968	379.5664823	377.8771587
2.25833333	379.4944635	379.5303489	377.8056771
2.425	379.4448035	379.4978827	377.7404007
2.59166667	379.4266561	379.4663342	377.6595116
2.75833333	379.3860637	379.4179116	377.5826514
2.925	379.3051819	379.3329444	377.5249598
3.09166667	379.2544419	379.2808757	377.4656219
3.25833333	379.1844271	379.2106212	377.3967203
3.425	379.1711637	379.2017658	377.3754702
3.59166667	379.1086462	379.165229	377.2927877
3.75833333	379.0692849	379.1248149	377.2608631
3.925	378.9877781	379.0450765	377.1878628
4.09166667	378.9489595	378.987872	377.1564832
4.25833333	378.89961	378.9710999	377.0905299
4.425	378.9025239	378.9591309	377.0650597
4.59166667	378.8403261	378.8956139	377.0091124
4.75833333	378.8093422	378.8593047	376.9469964
4.925	378.7804487	378.8160799	376.8839702
5.09166667	378.7154938	378.7569946	376.8341381
5.25833333	378.6718838	378.6981528	376.7823705
5.425	378.6147115	378.6243837	376.699521
5.59166667	378.6243913	378.6213988	376.684201
5.75833333	378.5790574	378.5882145	376.6479436
5.925	378.5554613	378.5664192	376.5906507
6.09166667	378.5362584	378.5513121	376.5380849
6.25833333	378.5540866	378.5552369	376.5434652
6.425	378.5253538	378.5284327	376.4995712
6.59166667	378.4975255	378.5128699	376.4692123
6.75833333	378.462805	378.4860135	376.3974166
6.925	378.4348329	378.434886	376.3606589
7.09166667	378.4368501	378.4083963	376.3428277
7.25833333	378.4022721	378.3810852	376.2971269
7.425	378.3559644	378.3849373	376.3026817
7.59166667	378.3821215	378.3981055	376.2862879
7.75833333	378.3802613	378.4126795	376.2381088
7.925	378.3317959	378.3484593	376.1958113
8.09166667	378.32099	378.3569529	376.1856631
8.25833333	378.2839796	378.3160226	376.1371898
8.425	378.3005209	378.3381287	376.1295202
8.59166667	378.2820294	378.2946417	376.1110361
8.75833333	378.2857363	378.31286	376.0976713
8.925	378.2753486	378.3160118	376.0706595
9.09166667	378.2937527	378.2693739	376.042051
9.25833333	378.2753476	378.2710382	376.032433
9.425	378.2518654	378.2403524	375.9909791
9.59166667	378.2527642	378.2486998	375.990053
9.75833333	378.2576676	378.2572699	375.9850486
9.925	378.2317952	378.2221541	375.9684734
10.0916667	378.2206874	378.2239456	375.9367048
10.2583333	378.2110181	378.2036026	375.9053375
10.425	378.2320041	378.2094949	375.8976754
10.5916667	378.2525344	378.2102604	375.8927999
10.7583333	378.2844721	378.2320883	375.8822619
