time	N2O	NO	NH3	CO	H2
0.091666667	1.456974286744E-06	3.07245832292021E-05	2.47523599901462E-08	0.000162223703721	5.1438936095649E-05
0.258333333	1.45219003634941E-06	3.07579225050883E-05	2.47096977479397E-08	0.000162368162906	5.18724755857157E-05
0.425	1.44874481026246E-06	3.08127538470939E-05	2.47253533201635E-08	0.000162420472691	5.17712579893534E-05
0.591666666999999	1.44402932772654E-06	3.08305041520657E-05	2.37840521509996E-08	0.000162448452833	5.07192278384605E-05
0.758333332999999	1.43576777716849E-06	3.0875674021012E-05	2.39704251319453E-08	0.000162305957307	5.14258297538919E-05
0.925	1.4339076448019E-06	3.08497854967417E-05	2.35219948957251E-08	0.000162398417629	5.22214091887372E-05
1.09166667	1.42768146254598E-06	3.08999405309041E-05	2.32512681184029E-08	0.000162420407587	5.22879849623477E-05
1.25833333	1.42154250572248E-06	3.09129579919339E-05	2.31947577326684E-08	0.000162587458636	5.1378637961059E-05
1.42499999999999	1.41664243468916E-06	3.09263266253251E-05	2.317134028622E-08	0.000162435538475	5.17702982743986E-05
1.59166667	1.41322894772843E-06	3.09584309046109E-05	2.19535636009512E-08	0.000162698301905	5.16119196922634E-05
1.75833333	1.40922289350396E-06	3.09905672151837E-05	2.22639177841648E-08	0.000162746702878	5.11066676881418E-05
1.925	1.40583573242108E-06	3.09651504214874E-05	2.29630689304459E-08	0.000162527994418	5.22865660885135E-05
2.09166666999999	1.40157845479025E-06	3.10576908637998E-05	2.2415826613498E-08	0.000162647156634	5.1850511188467E-05
2.25833333	1.39940284155151E-06	3.10196018670519E-05	2.17850352991304E-08	0.000162803175728	5.13425743705809E-05
2.425	1.39597402030349E-06	3.10392188566583E-05	2.17715817794434E-08	0.000162838931992	5.24623434893739E-05
2.59166666999999	1.3902779718739E-06	3.10592400030896E-05	2.25157913338374E-08	0.000162675173272	5.20647179957948E-05
2.75833333	1.38856905978033E-06	3.10831282835835E-05	2.160338919874E-08	0.00016277139773	5.15859682214423E-05
2.925	1.38680617459971E-06	3.10801460590519E-05	2.11737106707945E-08	0.000162811449306	5.09090026630318E-05
3.09166666999999	1.38479259212103E-06	3.11060080100936E-05	2.16932149756762E-08	0.000162734898653	5.17929310532464E-05
3.25833333	1.38225464265665E-06	3.10998160957049E-05	2.1344525328131E-08	0.000162506635404	5.16472050350359E-05
3.425	1.37743315720601E-06	3.11273183337837E-05	2.13063198733878E-08	0.000163078403051	5.19401150987513E-05
3.59166667	1.37820104174107E-06	3.11422012203567E-05	2.15320747101993E-08	0.000162913425738	5.22619897126344E-05
3.75833333	1.37423930771477E-06	3.11374613235324E-05	2.17447491274128E-08	0.000162897839616	5.17405877558291E-05
3.925	1.37305770770614E-06	3.11387169364443E-05	2.04830153566654E-08	0.000162883264522	5.23814704243776E-05
4.09166667	1.37053197003706E-06	3.11610010273383E-05	2.09303222384713E-08	0.000162968451583	5.24681587390072E-05
4.25833333	1.36756503628406E-06	3.11838570359159E-05	2.11062852956454E-08	0.000162936245197	5.189761341935E-05
4.425	1.36422222746369E-06	3.11837706511813E-05	2.06668208806524E-08	0.000162888943995	5.19081270158838E-05
4.59166667	1.36501281662897E-06	3.11871641892778E-05	2.09664350599803E-08	0.000162823577751	5.26566770920883E-05
4.75833333	1.35938167742687E-06	3.1190970817619E-05	2.01870967390469E-08	0.000163122247148	5.14330562913726E-05
4.925	1.35878476281852E-06	3.11991606777123E-05	2.0794881880561E-08	0.000162760730984	5.06498029201133E-05
5.09166667	1.35633646879435E-06	3.12188054371947E-05	2.05946268109516E-08	0.000163122513856	5.15364616163474E-05
5.25833333	1.35584909409177E-06	3.12106052628825E-05	2.01319129131322E-08	0.000162983294016	5.2164602160148E-05
5.425	1.35089239450999E-06	3.12401304033156E-05	1.95378724049082E-08	0.000162822698151	5.32529437843192E-05
5.59166667	1.35068400029119E-06	3.12693881831883E-05	1.98757729441161E-08	0.000162992533204	5.19214823638248E-05
5.75833333	1.34833497517907E-06	3.12510006868983E-05	2.00188487045382E-08	0.000162939396195	5.09328558527934E-05
5.925	1.34656341175199E-06	3.12581170016602E-05	1.97262749067509E-08	0.000162965840871	5.19878710311856E-05
6.09166667	1.3471019592013E-06	3.12883757683532E-05	1.94453588068596E-08	0.00016304524667	5.13819055396668E-05
6.25833333	1.34320246564596E-06	3.1285173804101E-05	1.94292141617083E-08	0.00016300371346	5.38743895949861E-05
6.425	1.34268673973353E-06	3.12864899251487E-05	1.83964973789398E-08	0.000162915891113	5.20038271694628E-05
6.59166667	1.34153915514584E-06	3.12888338029761E-05	1.94752517406719E-08	0.000162908314667	5.09238058297912E-05
6.75833332999999	1.33951829985909E-06	3.1307764641477E-05	1.94796493861018E-08	0.000163020355736	5.2025446284784E-05
6.925	1.33918851180575E-06	3.130546403332E-05	1.92534355854958E-08	0.000163044303159	5.25013762948986E-05
7.09166667	1.33870874819648E-06	3.12691981040279E-05	1.84571406366603E-08	0.000162957837649	5.18355164227879E-05
7.25833332999999	1.33741522810501E-06	3.13181970293687E-05	1.97518631946999E-08	0.000163059798384	5.18412750456085E-05
7.425	1.3361469205713E-06	3.13413268849376E-05	1.96390719121754E-08	0.000162996318852	5.20475860313944E-05
7.59166667	1.33303744046305E-06	3.1320595599939E-05	1.94712163443888E-08	0.000162928002417	5.19693903174973E-05
7.75833332999999	1.33140521006183E-06	3.12964239706966E-05	1.9446467098518E-08	0.000163400787499	5.09155817080567E-05
7.925	1.33112831119681E-06	3.13401472413618E-05	1.85733789912573E-08	0.000163175913563	5.27976330533878E-05
8.09166667	1.33393796095258E-06	3.13325142035819E-05	1.93081352789387E-08	0.000163081367973	5.26008083047778E-05
8.25833333	1.32941432817195E-06	3.13522003730304E-05	1.87019280909952E-08	0.000163127449954	5.19288466658556E-05
8.425	1.32955505753391E-06	3.13574829078492E-05	1.89445933404092E-08	0.000163148359753	5.17535922458404E-05
8.59166667	1.32730846882592E-06	3.13621499873235E-05	1.91512460605737E-08	0.00016313650194	5.27909530758388E-05
8.75833333	1.32697585812124E-06	3.13440613732587E-05	1.90310132005183E-08	0.000163034800913	5.18328746020071E-05
8.925	1.32727117596412E-06	3.13647661704712E-05	1.83296607887855E-08	0.000163242088226	5.23117830879169E-05
9.09166667	1.32262315496973E-06	3.13379052245838E-05	1.88914888312619E-08	0.000163124777781	5.20441998198512E-05
9.25833333	1.3215474265084E-06	3.13788924118557E-05	1.91820039447317E-08	0.000163052943847	5.21180656474532E-05
9.425	1.32201290262628E-06	3.13736273720882E-05	1.90821261630675E-08	0.000163255558982	5.28256935331599E-05
9.59166667	1.32110148859724E-06	3.13585143140545E-05	1.84969482076352E-08	0.000163080202104	5.37164067692283E-05
9.75833333	1.32233084139643E-06	3.13842560821674E-05	1.82727818964339E-08	0.000163071930796	5.27185394802454E-05
9.925	1.32108865035153E-06	3.13938501130326E-05	1.88163464669205E-08	0.000163185531982	5.06713951260888E-05
