time	N2O	NO	NH3	CO	H2
0.091666667	0	5.61302885517802E-09	8.30583711500565E-10	0.000162858046636	5.04558614254896E-05
0.258333333	0	5.52549687072241E-09	7.25984850582505E-10	0.00016280411981	5.02833077710432E-05
0.425	0	8.40697641666676E-09	1.60796670470342E-09	0.000162843281513	5.17713573207685E-05
0.591666666999999	0	7.19988121091156E-09	4.94320998010733E-10	0.000162747095924	5.26090712809328E-05
0.758333332999999	0	8.85203932262804E-09	2.17979299840383E-09	0.000163106812113	5.1429372494001E-05
0.925	0	3.99727239377961E-09	1.19341609246772E-09	0.000162858158024	5.11323098202696E-05
1.09166667	0	5.14557626668718E-09	9.03705961228656E-10	0.000163087791406	5.15375693113326E-05
1.25833333	0	6.1869430173284E-09	1.88313830434726E-09	0.000162880827594	5.08614875986875E-05
1.42499999999999	0	6.77483756103254E-09	6.40203557954566E-10	0.000162848324003	5.14545761829818E-05
1.59166667	0	6.64517208258333E-09	8.06263976580658E-10	0.000163104041176	5.15876643800169E-05
1.75833333	0	4.98715443130695E-09	1.26826344104284E-09	0.000162988050888	5.26653496244749E-05
1.925	0	7.02198520528618E-09	8.39719082868042E-10	0.000162895677402	5.23061705395795E-05
2.09166666999999	0	3.86665158197028E-09	1.30478848354437E-09	0.00016335311197	5.11061756908799E-05
2.25833333	0	5.10539636541858E-09	9.26744103994025E-10	0.000163143699551	5.22597621921618E-05
2.425	0	7.54827127421808E-09	8.33415273751128E-10	0.000163186175718	5.1775007011106E-05
2.59166667	0	7.02679648178609E-09	7.91049662638575E-10	0.000162931074255	5.12765444330819E-05
2.75833333	0	5.8874242749975E-09	7.46069081782992E-10	0.00016320898215	5.0861777927526E-05
2.925	0	8.34584305852088E-09	6.43464937913281E-10	0.000163260244141	5.20350642394711E-05
3.09166667	0	6.77655407594109E-09	6.89007844868256E-10	0.000163014410358	5.01874975826329E-05
3.25833333	0	6.63085779083637E-09	1.38651913931169E-09	0.000163609082433	5.16236749723829E-05
3.425	0	7.95110310830158E-09	9.61390490590442E-10	0.000163235387988	5.26398603159172E-05
3.59166667	0	9.53035156926585E-09	6.61246681476133E-10	0.000163231839545	5.18755349343522E-05
3.75833333	0	8.14142145386559E-09	4.68916367891444E-10	0.000163082300689	5.05110668328232E-05
3.925	0	7.45238135171186E-09	1.01447154720097E-09	0.000163338145905	5.20748168470542E-05
4.09166667	0	8.53275653025411E-09	1.02109342282113E-09	0.000163467897899	5.1870383699331E-05
4.25833333	0	1.07049224180607E-08	9.85994403995391E-10	0.00016355913362	5.00612541026901E-05
4.425	0	9.50871685661774E-09	1.69757460473329E-09	0.000163307187737	5.20684085140231E-05
4.59166667	0	7.31839461100038E-09	7.52180727476404E-10	0.000163358029417	5.22203275070369E-05
4.75833333	0	5.03173539559305E-09	1.28395015501171E-09	0.0001636393834	5.17388782164382E-05
4.925	0	5.1784140116274E-09	1.52880126116881E-09	0.000163483044911	5.15111263326896E-05
5.09166667	0	3.89568485391405E-09	1.12801874984902E-09	0.000163749127623	5.21944554399078E-05
