time	N2O	NO	NH3	CO	H2
0.091666667	0	2.11938642427987E-09	3.73363561227539E-10	0.000161667125036	0
0.258333333	0	7.60681523756455E-09	3.96263281458365E-10	0.000162038776839	0
0.425	0	1.03533013345222E-08	1.35724262839803E-09	0.000162556417776	0
0.591666666999999	0	2.43616857329201E-09	7.61600857165885E-10	0.000161688125417	0
0.758333332999999	0	1.74569920040048E-08	9.26710741635355E-10	0.000161962259225	0
0.925	0	1.5666796122247E-08	2.72449666054696E-10	0.000162149391707	0
1.09166667	0	8.92923151957454E-09	4.37813285288347E-10	0.000162101784483	0
1.25833333	0	1.26686511395333E-08	6.73803656074747E-10	0.000161784792388	0
1.42499999999999	0	1.04335735911201E-08	3.35196998066288E-11	0.000161943292323	0
1.59166667	0	1.76110159673925E-08	2.24026780826207E-10	0.000162795936564	0
1.75833333	0	4.60028810768103E-09	1.54950033559217E-10	0.000162097971583	0
1.925	0	7.81057007638783E-09	8.54023104188242E-10	0.000161982249029	0
2.09166666999999	0	6.00737261302248E-09	4.2067276878941E-11	0.000161864817735	0
2.25833333	0	8.40568481261235E-09	2.62043681535966E-10	0.00016260996102	0
2.425	0	1.53634422907902E-08	2.33737094757027E-10	0.000162499039918	0
2.59166667	0	8.00452173068595E-09	1.01976823202263E-09	0.000162004454897	0
2.75833333	0	1.52680099075853E-08	4.21460235465289E-10	0.000162632945515	0
2.925	0	1.32047711397222E-08	1.17569013874103E-10	0.000162467276001	0
3.09166667	0	8.98896400405086E-09	5.65419980617262E-10	0.000162267798668	0
3.25833333	0	7.2882627906386E-09	4.31194504412311E-10	0.000163067560465	0
3.425	0	8.05470171219145E-09	3.6312570760561E-10	0.000162298234094	0
3.59166667	0	4.56482930156041E-09	3.84840416568827E-10	0.000162520956665	0
3.75833333	0	4.81505318002669E-09	3.99266774820897E-10	0.000162712163134	0
3.925	0	6.29149614483517E-09	0	0.000162774242678	0
4.09166667	0	1.33279215372826E-08	4.23568373372417E-10	0.000162314405782	0
4.25833333	0	1.37547390498376E-08	5.87983941968563E-10	0.000162738646145	0
4.425	0	7.45242406490281E-09	1.52312923936885E-09	0.000163222357671	0
4.59166667	0	1.64748598844585E-08	8.26461973458896E-10	0.000162990953401	0
4.75833333	0	6.66549817274458E-09	8.98990644684481E-10	0.000162716223007	0
4.925	0	9.23466809664399E-09	7.25208105175504E-10	0.000162987497922	0
5.09166667	0	7.29141649230073E-09	3.26017928740591E-10	0.000162661094924	0
5.25833333	0	7.08685356673853E-09	5.33126803519122E-11	0.000163228334238	0
5.425	0	8.78454092551722E-09	0	0.000162947281133	0
5.59166667	0	7.04779216220047E-09	0	0.000162374057233	0
5.75833333	0	1.49315449996564E-08	1.97868163414048E-10	0.000162504380424	0
5.925	0	7.73755993505663E-09	7.98976169076686E-10	0.000162846855372	0
6.09166667	0	7.9668029266175E-09	6.59165177216607E-11	0.000162926736729	0
6.25833333	0	8.63580957257858E-09	3.34326431367084E-11	0.000162490005539	0
6.425	0	6.57158864680762E-09	6.68815535575055E-10	0.000162462703783	0
6.59166667	0	1.1528373949712E-08	8.03643299304501E-10	0.000162668329312	0
6.75833332999999	0	6.44306591804739E-09	1.7404434289611E-10	0.000162644909769	0
6.925	0	1.302117491099E-08	1.7293503023376E-09	0.00016273560647	0
7.09166667	0	1.1537015329885E-08	1.15396374830404E-09	0.00016263439934	0
7.25833332999999	0	1.86792085179974E-08	8.34571619192512E-10	0.000162477816541	0
7.425	0	1.258235115064E-08	1.16990272504516E-09	0.000162978712401	0
7.59166667	0	1.19701944177653E-08	3.62129791639114E-10	0.000162956630173	0
7.75833332999999	0	5.99496531315645E-09	3.36688543144087E-10	0.000162660617859	0
7.925	0	5.2821077607974E-09	4.14444373077301E-10	0.000162512244966	0
8.09166667	0	6.40910549778269E-09	4.56783195208727E-10	0.000163525432375	0
8.25833333	0	7.62652846695746E-09	8.89291031021688E-10	0.000162692580603	0
8.425	0	1.02322214844293E-08	6.78683519916374E-10	0.00016308236674	0
8.59166667	0	7.24422405173302E-09	9.73278504317094E-10	0.000163140986431	0
8.75833333	0	9.15480480615926E-09	2.37981251089862E-09	0.000162805833537	0
8.925	0	1.9404140605974E-08	6.27148023837255E-10	0.000162847699139	0
