time	N2O	NO	NH3	CO	H2
0.091666667	8.65038040721502E-06	1.04662312933874E-06	7.90492093536119E-07	1.60637233437019E-09	2.73748202097133E-05
0.258333333	8.67146765908664E-06	1.07090449787867E-06	7.85913429570399E-07	1.71350667926999E-09	2.73894033679543E-05
0.425	8.67272839613059E-06	1.10466331916531E-06	7.75338398135604E-07	1.67428969016358E-09	2.78066962999565E-05
0.591666666999999	8.67659314720719E-06	1.13682329957021E-06	7.69893432286725E-07	1.30442734173488E-09	2.80286490768676E-05
0.758333332999999	8.69991808375567E-06	1.16384357756063E-06	7.62224720493542E-07	1.69422359952486E-09	2.86229231216791E-05
0.925	8.70175322342368E-06	1.20075595131512E-06	7.55730437535579E-07	2.55057137574374E-09	2.80769025811167E-05
1.09166667	8.70272301245362E-06	1.2270786687515E-06	7.49062635822765E-07	1.81423083644774E-09	2.85074867778696E-05
1.25833333	8.72029948771052E-06	1.26714302926538E-06	7.41121990204896E-07	1.40712207455829E-09	2.88741247569329E-05
1.42499999999999	8.72337051270261E-06	1.28794128617448E-06	7.36216249478325E-07	2.39168365378449E-09	2.85782332073752E-05
1.59166667	8.74272693119343E-06	1.32849894380738E-06	7.29071224023092E-07	1.38116790757368E-09	2.80194390185104E-05
1.75833333	8.73551155138916E-06	1.34279064952201E-06	7.23627199066118E-07	2.2251868621266E-09	2.83815899507091E-05
1.925	8.7502159654625E-06	1.36816528274807E-06	7.15992074662904E-07	3.68452710783184E-09	2.89996035133601E-05
2.09166666999999	8.75457426854392E-06	1.38872730469335E-06	7.10489384943157E-07	2.46442349286054E-09	2.85718608510603E-05
2.25833333	8.75205679263823E-06	1.40296183325554E-06	7.04748311637477E-07	4.41201558871743E-09	2.89181109150132E-05
2.425	8.75923867990407E-06	1.42748667447648E-06	6.9866893251885E-07	3.72026713483646E-09	2.86505437762551E-05
2.59166667	8.76182099346809E-06	1.43352802090803E-06	6.9769165090999E-07	2.39678276442298E-09	2.84301437997309E-05
2.75833333	8.76734663097427E-06	1.44274848372707E-06	6.89616815391342E-07	1.96471920799843E-09	2.86418042891475E-05
2.925	8.78146833393699E-06	1.46267863607538E-06	6.84062377306726E-07	1.23201901320158E-09	2.87916090323791E-05
3.09166667	8.77097948476029E-06	1.47288495584862E-06	6.80427679121216E-07	2.3450694114946E-09	2.90494947825305E-05
3.25833333	8.7777905377412E-06	1.48277087926655E-06	6.75450195291842E-07	2.31495659986707E-09	2.93006753867132E-05
3.425	8.77588485131143E-06	1.49083976646102E-06	6.71104831093795E-07	2.29393985559289E-09	2.90404932741725E-05
3.59166667	8.78676442131664E-06	1.50750120458668E-06	6.6790343942234E-07	7.14400307804973E-10	2.90442517819333E-05
3.75833333	8.78303893956732E-06	1.50992165539582E-06	6.65062728865505E-07	2.27961740201911E-09	2.89737659105774E-05
3.925	8.78780284108189E-06	1.52847740606368E-06	6.58739726225566E-07	1.90220462702946E-09	2.88700506043425E-05
4.09166667	8.77860392736061E-06	1.54285674854967E-06	6.5636609181222E-07	5.4010371623993E-09	2.90310904121246E-05
4.25833333	8.79486752846115E-06	1.55368113104788E-06	6.51313719267796E-07	3.32473970976094E-09	2.9203258942701E-05
4.425	8.79774539173168E-06	1.56240603123667E-06	6.49127149459664E-07	3.03892672869582E-09	2.9344049058742E-05
4.59166667	8.79651712360022E-06	1.57554150926628E-06	6.42933835866577E-07	2.38450699565026E-09	2.92348565201895E-05
4.75833333	8.78201982965739E-06	1.59648659569282E-06	6.37717827340265E-07	2.49423495549122E-09	2.901324222679E-05
4.925	8.80561075596966E-06	1.60353327456528E-06	6.36755137634428E-07	3.16929501037061E-09	2.92455610346257E-05
5.09166667	8.80979522311341E-06	1.62194456947385E-06	6.33362212547126E-07	1.15778466049417E-09	2.90882255112017E-05
5.25833333	8.79860345533931E-06	1.63302815929321E-06	6.30382902734624E-07	3.4159077030051E-09	2.98068755306487E-05
5.425	8.81092080374767E-06	1.64336122365904E-06	6.26852720102194E-07	2.8554329040508E-09	2.89638784035019E-05
5.59166666999999	8.80765567022386E-06	1.64482376601807E-06	6.20783407497692E-07	2.10682785458948E-09	2.89350670091601E-05
5.75833333	8.844480276863E-06	1.65125326980264E-06	6.21343681498459E-07	3.28289917324883E-09	2.99989188965508E-05
5.925	8.81598716105674E-06	1.66687610949652E-06	6.14990529228745E-07	1.66737459464427E-09	2.9747935754124E-05
6.09166666999999	8.81850124814014E-06	1.66868154698494E-06	6.14217679707299E-07	2.21687991607781E-09	2.96399604096528E-05
6.25833333	8.82003544651203E-06	1.68153576991499E-06	6.10765931336461E-07	3.43602173593965E-09	2.92595372533165E-05
6.425	8.82885688026424E-06	1.67815687368804E-06	6.08892453748467E-07	6.16247626438344E-09	2.9814062764851E-05
6.59166667	8.83134361881645E-06	1.68466740233587E-06	6.04413620054509E-07	2.70202859591253E-09	2.96019008394926E-05
6.75833333	8.81890215916791E-06	1.67827749717389E-06	6.02112403716344E-07	3.73454497640471E-09	2.94876331615326E-05
6.925	8.81176462970852E-06	1.68363799210782E-06	5.99262851397843E-07	2.25286709055197E-09	2.96285482512533E-05
7.09166667	8.82637782504605E-06	1.68255068030228E-06	5.96398471174444E-07	1.3751324267575E-09	2.91506846820257E-05
7.25833333	8.8231974739402E-06	1.69955202321193E-06	5.93175455504442E-07	2.12993763827257E-09	2.95471078524462E-05
7.425	8.82611837210881E-06	1.69463787422804E-06	5.92648400379061E-07	2.35648344138163E-09	2.95151203837066E-05
7.59166667	8.8152998429375E-06	1.69392875495462E-06	5.90507185523654E-07	2.28277694614844E-09	2.97987532346102E-05
7.75833333	8.84941575934623E-06	1.69682627047252E-06	5.85288313659475E-07	4.05070221674147E-09	2.93791946795905E-05
7.925	8.84734288443906E-06	1.69952891605285E-06	5.8476537390419E-07	2.85965290906005E-09	2.9668131748337E-05
8.09166667	8.82481712484194E-06	1.69691621578308E-06	5.84248733760563E-07	2.03445604241632E-09	2.94461711212589E-05
8.25833333	8.82819573845091E-06	1.70580608993401E-06	5.80765974834035E-07	1.96078367119642E-09	2.96383080909957E-05
8.425	8.83601759408856E-06	1.70428539892498E-06	5.78566274963911E-07	3.12783426168439E-09	2.96268623230517E-05
8.59166667	8.8366128921896E-06	1.70012648031542E-06	5.77145790706185E-07	3.2549820789775E-09	2.95136327566254E-05
8.75833333	8.83800965996605E-06	1.70096532878457E-06	5.7655985572788E-07	3.22287080417924E-09	2.94114973924244E-05
8.925	8.84173595307311E-06	1.70485002453824E-06	5.73175199645077E-07	1.22737973120422E-09	2.94890348782553E-05
9.09166667	8.83688033668165E-06	1.69608320228574E-06	5.73081833171539E-07	1.54478260097161E-09	2.95231294351948E-05
