time	N2O	NO	NH3	CO	H2
0.091666667	1.50197740959289E-10	3.12070439103215E-09	1.79393343405793E-09	0.000160786366688	0
0.258333333	1.18953127363561E-10	5.25263208765429E-09	1.34616758429892E-09	0.000160304991413	1.76454699381957E-07
0.425	2.29037349823382E-10	4.28711661280447E-09	1.47309134783832E-09	0.000160671931698	0
0.591666666999999	2.12174664157122E-10	4.79070057529997E-09	1.29081252310904E-09	0.000160430922788	1.35539503035107E-07
0.758333332999999	9.24130234676548E-11	4.50132216152541E-09	1.03499031463125E-09	0.000160773257786	0
0.925	9.71946399964541E-11	4.31452403849912E-09	1.09571054520857E-09	0.000160450245992	2.03821815827448E-07
1.09166667	1.47638644887721E-10	4.10732309518163E-09	8.66784814525593E-10	0.000160637114845	5.68428092875902E-08
1.25833333	2.03156930212617E-11	2.94801004823673E-09	9.85986944097484E-10	0.000160348302547	3.72878497395432E-07
1.42499999999999	9.43288314531234E-11	5.14316106400479E-09	9.4751329712654E-10	0.000160934682754	0
1.59166667	2.72562099525979E-10	2.98758486896366E-09	6.73467030819031E-10	0.000160666262834	1.24055089955882E-07
1.75833333	5.26613954086065E-11	3.24597626087105E-09	1.0766317815795E-09	0.000160325886885	4.88634924518686E-07
1.925	3.15836995124516E-10	3.81918671832247E-09	1.16219777003195E-09	0.000161166450577	0
2.09166666999999	3.56688405637375E-11	3.31727831571538E-09	1.28381872965169E-09	0.000160706092802	1.60008148412229E-07
2.25833333	1.69690538920084E-10	3.73943459997057E-09	1.08557291056375E-09	0.00016096745228	0
2.425	3.12046676846592E-10	3.99031447259884E-09	1.1842269860989E-09	0.000161688382918	0
2.59166666999999	3.29603015422663E-10	3.56172034641586E-09	1.38608048680971E-09	0.000160527706794	4.0366953562676E-07
2.75833333	2.32629514088935E-10	3.285438859672E-09	1.0298274401676E-09	0.000160608127528	3.48852793916471E-07
2.925	2.31371404519521E-10	3.47237600351036E-09	7.53552613912607E-10	0.000160710403202	2.52948541821026E-07
3.09166666999999	3.71285344334352E-10	2.72045497477778E-09	1.33499110600893E-09	0.000161335060884	0
3.25833333	1.31312797693167E-10	4.79801561810962E-09	1.40400909587524E-09	0.000161452054351	0
3.425	1.50938449024124E-10	2.66241986765204E-09	9.88946223333089E-10	0.000160614956999	4.00940318714113E-07
3.59166667	1.75503134192206E-10	2.3318069556879E-09	9.02300149219291E-10	0.000161781108557	0
3.75833333	3.45956881097535E-10	5.5423932398535E-09	1.2175580730325E-09	0.000160856196766	1.85310462367581E-07
