time	NH3	NO	NO2	N2O
0.091666667	-8.5626E-10	-2.89449E-09	-8.29984E-09	-1.19812E-09
0.258333333	-1.67148E-09	-1.60045E-09	-8.9008E-09	-3.58576E-09
0.425	-5.76517E-10	-1.04459E-09	-8.74674E-09	-3.01323E-09
0.591666667	-4.92335E-10	-2.20824E-09	-1.02399E-08	-1.96587E-09
0.758333333	-9.85912E-10	-6.59314E-09	-8.20217E-09	-2.87863E-09
0.925	-3.05066E-10	-9.5692E-11	-7.97364E-09	-3.13059E-09
1.09166667	-1.06349E-09	-1.64202E-09	-8.00556E-09	-3.05416E-09
1.25833333	-8.95297E-10	-8.50477E-10	-7.32574E-09	-2.9181E-09
1.425	-1.07171E-09	-2.66759E-09	-7.10235E-09	-2.82825E-09
1.59166667	-8.57558E-10	-3.23332E-09	-7.43442E-09	-1.23207E-09
1.75833333	-6.83267E-10	-5.15128E-09	-8.29755E-09	-2.56829E-09
1.925	-8.43002E-10	-1.40065E-09	-9.10157E-09	-2.99083E-09
2.09166667	-4.63844E-10	6.30681E-10	-9.12024E-09	-2.52539E-09
2.25833333	3.13843E-09	3.31004E-11	-8.67382E-09	-2.0305E-09
2.425	7.85802E-09	-1.32814E-09	-8.36432E-09	-2.43922E-09
2.59166667	1.79697E-08	3.03927E-09	-9.40141E-09	-1.87775E-09
2.75833333	2.98611E-08	-1.93002E-09	-7.92123E-09	-2.16838E-09
2.925	4.78905E-08	-3.31832E-09	-7.97233E-09	-1.40328E-09
3.09166667	6.75035E-08	1.4155E-09	-9.35999E-09	-1.46997E-09
3.25833333	9.27058E-08	1.63901E-09	-8.79518E-09	-1.16041E-09
3.425	1.23825E-07	-1.46086E-09	-9.91737E-09	-1.74417E-09
3.59166667	1.59274E-07	-2.9251E-09	-8.01498E-09	-1.93201E-09
3.75833333	2.02024E-07	-1.9151E-09	-7.90038E-09	-9.06519E-10
3.925	2.53596E-07	2.19321E-09	-9.37142E-09	-7.85031E-10
4.09166667	3.15159E-07	2.86237E-10	-7.0317E-09	-1.30014E-09
4.25833333	3.80874E-07	2.26178E-09	-8.10979E-09	-1.74175E-09
4.425	4.60543E-07	-1.29166E-09	-9.68476E-09	-9.58842E-10
4.59166667	5.542E-07	2.46383E-09	-7.04428E-09	-1.13137E-10
4.75833333	6.62617E-07	4.81757E-09	-7.27237E-09	-1.35898E-09
4.925	7.87857E-07	-5.05584E-10	-6.77469E-09	-8.91921E-10
5.09166667	9.28422E-07	5.37425E-09	-9.26474E-09	-9.36812E-10
5.25833333	1.08778E-06	2.52955E-09	-8.42078E-09	-1.19752E-09
5.425	1.26537E-06	2.23511E-09	-9.24431E-09	-1.51051E-09
5.59166667	1.46193E-06	8.255E-09	-8.13567E-09	-1.1034E-09
5.75833333	1.6737E-06	2.97189E-09	-5.96666E-09	-8.82555E-10
5.925	1.89331E-06	1.01541E-08	-8.32643E-09	-5.61344E-10
