time	T_in	T_mid	T_out
0.091666667	381.4813615	382.8088089	377.1632397
0.258333333	381.4548597	382.7541324	377.2445933
0.425	381.4283374	382.6777392	377.2928912
0.591666667	381.365797	382.5831238	377.3195656
0.758333333	381.3598814	382.51534	377.3539552
0.925	381.336813	382.4495249	377.3784347
1.09166667	381.2921139	382.3636292	377.3852319
1.25833333	381.2482156	382.2365336	377.389497
1.425	381.2562995	382.2129938	377.3975909
1.59166667	381.1954566	382.1159865	377.4000651
1.75833333	381.1574586	382.0174081	377.3764908
1.925	381.1716594	381.9992881	377.4081614
2.09166667	381.115018	381.8831081	377.3671287
2.25833333	381.0978387	381.8060285	377.3673713
2.425	381.0654349	381.7502198	377.3498658
2.59166667	380.9854539	381.62736	377.3222724
2.75833333	380.9646834	381.5538058	377.2916889
2.925	380.9067322	381.4647984	377.2733251
3.09166667	380.8641669	381.3828263	377.2691247
3.25833333	380.7898537	381.287741	377.2231647
3.425	380.7483389	381.2107856	377.1956281
3.59166667	380.6754824	381.111827	377.1638938
3.75833333	380.6085763	381.0331586	377.148338
3.925	380.5164937	380.9402851	377.1230348
4.09166667	380.4239979	380.7909417	377.0176689
4.25833333	380.365112	380.7225986	377.0110235
4.425	380.2766393	380.6100801	376.945129
4.59166667	380.2167914	380.5118398	376.8717897
4.75833333	380.1195215	380.3904651	376.8209437
4.925	380.0479877	380.280678	376.774717
5.09166667	380.0184787	380.1937733	376.7052198
5.25833333	379.9192557	380.0745647	376.6219145
5.425	379.8377135	379.9727866	376.562652
5.59166667	379.7990525	379.9045357	376.517401
5.75833333	379.7037256	379.8205255	376.4733333
5.925	379.6382066	379.7172773	376.3920166
6.09166667	379.6204016	379.650261	376.3289856
6.25833333	379.5254254	379.5434692	376.2684395
6.425	379.4749283	379.4444181	376.1980459
6.59166667	379.3936632	379.3600255	376.1490006
6.75833333	379.33952	379.272763	376.0893008
6.925	379.2577768	379.198791	376.0152847
7.09166667	379.171456	379.1172716	375.9575736
7.25833333	379.0864801	379.0410911	375.9202209
7.425	379.0479629	378.9642381	375.8848358
7.59166667	378.9848344	378.8829903	375.7924438
7.75833333	378.9146084	378.8013187	375.7249611
7.925	378.8092699	378.6848589	375.6551299
8.09166667	378.7495873	378.6302508	375.5847832
8.25833333	378.7056345	378.5510037	375.5351472
8.425	378.6428833	378.4665398	375.4811557
8.59166667	378.5600578	378.3614962	375.3971796
8.75833333	378.4698199	378.287236	375.3211234
8.925	378.4296021	378.2313341	375.2966197
9.09166667	378.3595544	378.1935951	375.2404109
9.25833333	378.3040098	378.1155653	375.1635429
9.425	378.2798225	378.0652064	375.1186824
9.59166667	378.247719	378.0219845	375.0726704
9.75833333	378.1506242	377.9463053	375.0459231
9.925	378.1005323	377.8817229	374.9938913
10.0916667	378.0368547	377.7894242	374.9099342
10.2583333	377.9855442	377.7637378	374.8604904
10.425	377.9408784	377.7326109	374.8379975
10.5916667	377.9241576	377.6773053	374.783818
10.7583333	377.912136	377.649484	374.7661955
10.925	377.9242845	377.6015182	374.6900393
11.0916667	377.9554558	377.5958605	374.6641461
11.2583333	378.0457679	377.6264575	374.6426588
11.425	378.1714267	377.6278509	374.5900593
11.5916667	378.3847003	377.74344	374.6362622
11.7583333	378.6140907	377.821655	374.6139692
11.925	378.833991	377.93671	374.647055
12.0916667	379.1999036	378.1204954	374.7269795
12.2583333	379.5284769	378.3444869	374.8327045
12.425	379.9319772	378.6469264	375.0079648
12.5916667	380.3156012	378.9134841	375.1525734
12.7583333	380.723264	379.2123742	375.381809
12.925	381.0997773	379.5497683	375.5911633
13.0916667	381.4957293	379.8796167	375.8165306
13.2583333	381.9104797	380.2513817	376.1031254
13.425	382.3467258	380.6348198	376.3973885
13.5916667	382.7396607	381.0373457	376.7392868
13.7583333	383.1560466	381.4111156	377.0420312
13.925	383.5907728	381.793998	377.3371118
14.0916667	384.0539993	382.2528722	377.7217109
14.2583333	384.5096654	382.706312	378.0977814
14.425	384.9961904	383.1298338	378.4410091
14.5916667	385.4456463	383.5710422	378.8111873
14.7583333	385.9976044	384.0340438	379.1758238
14.925	386.5826831	384.5214465	379.5709934
15.0916667	387.1304908	385.0210282	379.9514319
15.2583333	387.7283398	385.5490055	380.4088834
15.425	388.3314432	386.0953167	380.8292511
15.5916667	388.970055	386.6424787	381.2878909
15.7583333	389.5804129	387.2037558	381.7683527
15.925	390.2439969	387.8109622	382.2394634
16.0916667	390.887512	388.4062178	382.7635902
16.2583333	391.5642505	389.0233859	383.2544539
16.425	392.2430388	389.6821869	383.8013588
16.5916667	392.9440274	390.3446128	384.390158
16.7583333	393.6481433	391.0142816	384.9658528
16.925	394.3722874	391.7010279	385.5400934
17.0916667	395.0664772	392.3821885	386.1235961
17.2583333	395.72374	393.0866383	386.7582065
17.425	396.4641131	393.7844259	387.4016029
17.5916667	397.1860408	394.4935556	388.0075273
17.7583333	397.9282307	395.2347022	388.6514082
17.925	398.6834916	395.9472433	389.2849904
18.0916667	399.448393	396.6856964	389.9336675
18.2583333	400.2331959	397.4175298	390.5738077
18.425	400.9795187	398.1611905	391.2638195
18.5916667	401.7799525	398.9704593	391.9568213
18.7583333	402.5751609	399.7732973	392.664191
18.925	403.3614337	400.5544376	393.3876652
19.0916667	404.2323423	401.3973108	394.1126403
19.2583333	405.0474446	402.2102084	394.7945656
19.425	405.8721275	402.979409	395.5142294
19.5916667	406.6746351	403.8152627	396.2817682
