time	NH3_Unaged	NO_Unaged	NO2_Unaged	N2O_Unaged
0.091666667	-2.36273E-09	3.39568E-06	3.44488E-06	-1.52655E-09
0.258333333	-1.44514E-09	3.39876E-06	3.44175E-06	-6.71849E-10
0.425	-1.49983E-09	3.39868E-06	3.44837E-06	-1.17451E-09
0.591666667	-1.63733E-09	3.40091E-06	3.44775E-06	-1.65208E-09
0.758333333	-1.23512E-09	3.3981E-06	3.44673E-06	-2.17989E-09
0.925	-1.39133E-09	3.4027E-06	3.43961E-06	-1.25265E-09
1.09166667	-1.11807E-09	3.39586E-06	3.44737E-06	-1.41324E-09
1.25833333	-1.09444E-09	3.40172E-06	3.43622E-06	-5.78726E-10
1.425	-2.11355E-09	3.40408E-06	3.44654E-06	-1.66438E-09
1.59166667	-1.60528E-09	3.3983E-06	3.43827E-06	-1.87173E-09
1.75833333	-2.22475E-09	3.39663E-06	3.44354E-06	-1.58745E-09
1.925	-2.16564E-09	3.40218E-06	3.43956E-06	1.54189E-10
2.09166667	-1.64972E-09	3.40649E-06	3.4422E-06	-2.12101E-10
2.25833333	-1.67571E-09	3.39835E-06	3.44048E-06	-8.77189E-10
2.425	-2.04712E-09	3.39873E-06	3.44788E-06	-1.00223E-09
2.59166667	-2.07232E-09	3.40082E-06	3.44546E-06	-8.5951E-10
2.75833333	-1.34407E-09	3.39719E-06	3.44661E-06	-8.8895E-10
2.925	-7.56695E-10	3.40303E-06	3.44306E-06	-2.40567E-09
3.09166667	-8.89474E-10	3.39362E-06	3.44952E-06	-2.33096E-09
3.25833333	-1.32076E-09	3.40047E-06	3.44364E-06	-4.5863E-12
3.425	-2.00979E-09	3.3996E-06	3.44039E-06	-1.10588E-09
3.59166667	-1.74884E-09	3.40269E-06	3.4498E-06	-2.07376E-09
3.75833333	-1.66969E-09	3.40107E-06	3.44606E-06	-1.6213E-09
3.925	-1.38753E-09	3.40066E-06	3.4488E-06	-3.43118E-09
4.09166667	-2.60416E-09	3.40292E-06	3.44315E-06	-1.86825E-09
4.25833333	-1.29035E-09	3.40398E-06	3.44429E-06	-4.87616E-10
4.425	-1.43927E-09	3.39958E-06	3.44589E-06	-7.77071E-10
4.59166667	-2.22221E-09	3.40031E-06	3.44729E-06	-4.30258E-10
4.75833333	-1.76387E-09	3.39678E-06	3.44663E-06	-1.17613E-09
4.925	-1.63727E-09	3.40034E-06	3.45249E-06	-1.08788E-09
5.09166667	-9.42529E-10	2.37588E-06	2.62945E-06	5.75618E-08
5.25833333	2.01503E-10	1.35454E-06	1.7427E-06	1.26633E-07
5.425	1.21521E-09	1.06344E-06	1.36165E-06	1.52439E-07
5.59166667	3.31373E-09	9.25813E-07	1.11957E-06	1.67802E-07
5.75833333	3.80418E-09	8.32067E-07	9.37407E-07	1.75876E-07
5.925	4.793E-09	7.74907E-07	8.14424E-07	1.85689E-07
6.09166667	6.05056E-09	7.24341E-07	7.16509E-07	1.90815E-07
6.25833333	6.87389E-09	6.83779E-07	6.36919E-07	1.94622E-07
6.425	7.57917E-09	6.53364E-07	5.74417E-07	1.98464E-07
6.59166667	7.61203E-09	6.24764E-07	5.22797E-07	2.00704E-07
6.75833333	9.82208E-09	6.06292E-07	4.77246E-07	2.03159E-07
6.925	9.53084E-09	5.86622E-07	4.41231E-07	2.05931E-07
7.09166667	1.02517E-08	5.70299E-07	4.09365E-07	2.06897E-07
7.25833333	1.1003E-08	5.54992E-07	3.82215E-07	2.09532E-07
7.425	1.19895E-08	5.39564E-07	3.5999E-07	2.11703E-07
7.59166667	1.26886E-08	5.26951E-07	3.36825E-07	2.13866E-07
7.75833333	1.29684E-08	5.149E-07	3.18808E-07	2.14476E-07
7.925	1.37522E-08	5.0231E-07	3.01842E-07	2.1657E-07
8.09166667	1.42596E-08	4.8553E-07	2.88423E-07	2.16431E-07
8.25833333	1.58272E-08	4.75036E-07	2.74416E-07	2.18991E-07
8.425	1.53991E-08	4.6939E-07	2.61111E-07	2.18796E-07
8.59166667	1.59526E-08	4.5611E-07	2.53807E-07	2.19869E-07
8.75833333	1.6571E-08	4.50315E-07	2.4206E-07	2.20724E-07
8.925	1.69852E-08	4.39583E-07	2.31822E-07	2.2356E-07
9.09166667	1.89255E-08	4.27496E-07	2.23594E-07	2.247E-07
9.25833333	1.96331E-08	4.24938E-07	2.15783E-07	2.23627E-07
9.425	2.01676E-08	4.1605E-07	2.09798E-07	2.2541E-07
9.59166667	2.03659E-08	4.04921E-07	2.02003E-07	2.2495E-07
9.75833333	2.10804E-08	4.02538E-07	1.9781E-07	2.27229E-07
9.925	2.13435E-08	3.95443E-07	1.91017E-07	2.26843E-07
10.0916667	2.21767E-08	3.82939E-07	1.82557E-07	2.28035E-07
10.2583333	2.24969E-08	3.80196E-07	1.79083E-07	2.29501E-07
10.425	2.36835E-08	3.76326E-07	1.73613E-07	2.29112E-07
10.5916667	2.43745E-08	3.66467E-07	1.69952E-07	2.29451E-07
10.7583333	2.50085E-08	3.59535E-07	1.66702E-07	2.307E-07
10.925	2.50958E-08	3.54594E-07	1.62829E-07	2.3192E-07
11.0916667	2.59172E-08	3.47518E-07	1.57803E-07	2.31092E-07
11.2583333	2.62143E-08	3.48783E-07	1.55607E-07	2.32074E-07
11.425	2.70298E-08	3.42635E-07	1.51895E-07	2.3263E-07
11.5916667	2.76946E-08	3.38948E-07	1.46613E-07	2.32001E-07
11.7583333	2.86605E-08	3.32422E-07	1.44478E-07	2.33792E-07
11.925	2.86313E-08	3.26753E-07	1.41734E-07	2.33068E-07
12.0916667	2.98992E-08	3.19827E-07	1.37904E-07	2.33471E-07
12.2583333	3.08141E-08	3.19777E-07	1.36075E-07	2.35708E-07
12.425	3.12185E-08	3.14225E-07	1.33132E-07	2.34748E-07
12.5916667	3.13197E-08	3.06865E-07	1.30328E-07	2.3585E-07
12.7583333	3.18885E-08	3.04946E-07	1.27101E-07	2.37743E-07
12.925	3.15312E-08	2.99664E-07	1.24192E-07	2.34885E-07
13.0916667	3.27827E-08	2.95722E-07	1.24367E-07	2.37811E-07
13.2583333	3.30936E-08	2.96582E-07	1.20962E-07	2.37274E-07
13.425	3.31047E-08	2.90954E-07	1.20084E-07	2.3832E-07
13.5916667	3.52901E-08	2.88606E-07	1.17612E-07	2.38783E-07
13.7583333	3.55785E-08	2.8257E-07	1.1637E-07	2.38343E-07
13.925	3.59721E-08	2.81697E-07	1.14619E-07	2.38593E-07
14.0916667	3.65346E-08	2.77507E-07	1.11959E-07	2.40033E-07
14.2583333	3.75594E-08	2.76929E-07	1.09196E-07	2.38843E-07
