time	H2O_Unaged	O2_Unaged	NH3_Unaged	NO_Unaged	NO2_Unaged
0.091666667	0.001131346	0.002323562	0	3.48534E-06	3.48534E-06
0.258333333	0.001134859	0.002323683	0	3.48552E-06	3.48552E-06
0.425	0.001135643	0.002323486	0	3.48523E-06	3.48523E-06
0.591666667	0.001136905	0.002323489	0	3.48523E-06	3.48523E-06
0.758333333	0.001135686	0.002323503	0	3.48526E-06	3.48526E-06
0.925	0.001133704	0.002323431	0	3.48515E-06	3.48515E-06
1.09166667	0.001134963	0.00232327	0	3.4849E-06	3.4849E-06
1.25833333	0.001133226	0.002323341	0	3.48501E-06	3.48501E-06
1.425	0.001137438	0.002323366	0	3.48505E-06	3.48505E-06
1.59166667	0.001133951	0.002323363	0	3.48504E-06	3.48504E-06
1.75833333	0.001133687	0.002323192	0	3.48479E-06	3.48479E-06
1.925	0.001135202	0.002323312	0	3.48497E-06	3.48497E-06
2.09166667	0.001135746	0.002323529	0	3.48529E-06	3.48529E-06
2.25833333	0.001136265	0.002323539	0	3.48531E-06	3.48531E-06
2.425	0.001134682	0.002323221	0	3.48483E-06	3.48483E-06
2.59166667	0.001137981	0.002323251	0	3.48488E-06	3.48488E-06
2.75833333	0.001136253	0.002323353	0	3.48503E-06	3.48503E-06
2.925	0.00113648	0.002323403	0	3.48511E-06	3.48511E-06
3.09166667	0.001134615	0.002323273	0	3.48491E-06	3.48491E-06
3.25833333	0.001133754	0.002323353	0	3.48503E-06	3.48503E-06
3.425	0.001137465	0.002323246	0	3.48487E-06	3.48487E-06
3.59166667	0.001139603	0.002323235	0	3.48485E-06	3.48485E-06
3.75833333	0.001137416	0.002323059	0	3.48459E-06	3.48459E-06
3.925	0.001135026	0.002323085	0	3.48463E-06	3.48463E-06
4.09166667	0.001134298	0.002323225	0	3.48484E-06	3.48484E-06
4.25833333	0.001136275	0.002323164	0	3.48475E-06	3.48475E-06
4.425	0.001135607	0.002323192	0	3.48479E-06	3.48479E-06
4.59166667	0.001136999	0.002323256	0	3.48488E-06	3.48488E-06
4.75833333	0.001135849	0.002323168	0	3.48475E-06	3.48475E-06
4.925	0.001133487	0.002323105	0	3.48466E-06	3.48466E-06
5.09166667	0.001141987	0.002323016	6.96905E-06	3.48452E-06	3.48452E-06
5.25833333	0.001143804	0.002321841	6.96552E-06	3.48276E-06	3.48276E-06
5.425	0.001143117	0.002319606	6.95882E-06	3.47941E-06	3.47941E-06
5.59166667	0.001143816	0.002317723	6.95317E-06	3.47658E-06	3.47658E-06
5.75833333	0.00114415	0.002316599	6.9498E-06	3.4749E-06	3.4749E-06
5.925	0.00114243	0.002316014	6.94804E-06	3.47402E-06	3.47402E-06
6.09166667	0.001140748	0.002315395	6.94618E-06	3.47309E-06	3.47309E-06
6.25833333	0.001137059	0.002315221	6.94566E-06	3.47283E-06	3.47283E-06
6.425	0.001135322	0.002314645	6.94394E-06	3.47197E-06	3.47197E-06
6.59166667	0.001134538	0.002314498	6.94349E-06	3.47175E-06	3.47175E-06
6.75833333	0.001136409	0.002314096	6.94229E-06	3.47114E-06	3.47114E-06
6.925	0.001134831	0.002313968	6.94191E-06	3.47095E-06	3.47095E-06
7.09166667	0.001138376	0.002313946	6.94184E-06	3.47092E-06	3.47092E-06
7.25833333	0.001138904	0.002313762	6.94129E-06	3.47064E-06	3.47064E-06
7.425	0.001138967	0.002313449	6.94035E-06	3.47017E-06	3.47017E-06
7.59166667	0.001138614	0.002313285	6.93985E-06	3.46993E-06	3.46993E-06
7.75833333	0.001140933	0.00231322	6.93966E-06	3.46983E-06	3.46983E-06
7.925	0.001140476	0.002313148	6.93944E-06	3.46972E-06	3.46972E-06
8.09166667	0.001139344	0.002313065	6.9392E-06	3.4696E-06	3.4696E-06
8.25833333	0.001140954	0.002312991	6.93897E-06	3.46949E-06	3.46949E-06
8.425	0.001139125	0.002313028	6.93908E-06	3.46954E-06	3.46954E-06
8.59166667	0.001138953	0.00231276	6.93828E-06	3.46914E-06	3.46914E-06
8.75833333	0.001137961	0.002312277	6.93683E-06	3.46842E-06	3.46842E-06
8.925	0.001138831	0.002312223	6.93667E-06	3.46833E-06	3.46833E-06
9.09166667	0.001140044	0.00231213	6.93639E-06	3.4682E-06	3.4682E-06
9.25833333	0.001141267	0.002312467	6.9374E-06	3.4687E-06	3.4687E-06
9.425	0.001139476	0.00231219	6.93657E-06	3.46828E-06	3.46828E-06
9.59166667	0.001141176	0.002312344	6.93703E-06	3.46852E-06	3.46852E-06
9.75833333	0.001137511	0.002312269	6.93681E-06	3.4684E-06	3.4684E-06
9.925	0.001139484	0.002312259	6.93678E-06	3.46839E-06	3.46839E-06
10.0916667	0.001141232	0.002312106	6.93632E-06	3.46816E-06	3.46816E-06
10.2583333	0.001139249	0.002311998	6.936E-06	3.468E-06	3.468E-06
10.425	0.001145096	0.002312057	6.93617E-06	3.46809E-06	3.46809E-06
10.5916667	0.001137998	0.002312148	6.93644E-06	3.46822E-06	3.46822E-06
10.7583333	0.00113693	0.002311969	6.93591E-06	3.46795E-06	3.46795E-06
10.925	0.001139061	0.002312201	6.9366E-06	3.4683E-06	3.4683E-06
11.0916667	0.001141701	0.002312008	6.93602E-06	3.46801E-06	3.46801E-06
11.2583333	0.001144909	0.002311906	6.93572E-06	3.46786E-06	3.46786E-06
11.425	0.001142586	0.002311853	6.93556E-06	3.46778E-06	3.46778E-06
11.5916667	0.001141741	0.002311772	6.93532E-06	3.46766E-06	3.46766E-06
11.7583333	0.001141674	0.002312007	6.93602E-06	3.46801E-06	3.46801E-06
11.925	0.001142075	0.002311965	6.9359E-06	3.46795E-06	3.46795E-06
12.0916667	0.001140333	0.002312303	6.93691E-06	3.46846E-06	3.46846E-06
12.2583333	0.001137233	0.002311806	6.93542E-06	3.46771E-06	3.46771E-06
12.425	0.001138194	0.002311946	6.93584E-06	3.46792E-06	3.46792E-06
12.5916667	0.001139111	0.002311942	6.93583E-06	3.46791E-06	3.46791E-06
12.7583333	0.001144167	0.002311994	6.93598E-06	3.46799E-06	3.46799E-06
12.925	0.00114348	0.002311945	6.93584E-06	3.46792E-06	3.46792E-06
13.0916667	0.00114055	0.00231193	6.93579E-06	3.4679E-06	3.4679E-06
13.2583333	0.001138878	0.0023119	6.9357E-06	3.46785E-06	3.46785E-06
13.425	0.001140811	0.002311968	6.9359E-06	3.46795E-06	3.46795E-06
13.5916667	0.001140515	0.002311699	6.9351E-06	3.46755E-06	3.46755E-06
13.7583333	0.001139888	0.002311762	6.93529E-06	3.46764E-06	3.46764E-06
13.925	0.001140207	0.002311649	6.93495E-06	3.46747E-06	3.46747E-06
14.0916667	0.001142077	0.002311689	6.93507E-06	3.46753E-06	3.46753E-06
14.2583333	0.001140082	0.002311535	6.93461E-06	3.4673E-06	3.4673E-06
14.425	0.001142201	0.002311672	6.93502E-06	3.46751E-06	3.46751E-06
14.5916667	0.001139595	0.002311594	6.93478E-06	3.46739E-06	3.46739E-06
14.7583333	0.001139894	0.00231157	6.93471E-06	3.46736E-06	3.46736E-06
14.925	0.00113997	0.00231133	6.93399E-06	3.467E-06	3.467E-06
15.0916667	0.001138103	0.002311453	6.93436E-06	3.46718E-06	3.46718E-06
15.2583333	0.001138763	0.002311302	6.93391E-06	3.46695E-06	3.46695E-06
15.425	0.001136689	0.002311315	6.93395E-06	3.46697E-06	3.46697E-06
15.5916667	0.001138128	0.002311307	6.93392E-06	3.46696E-06	3.46696E-06
15.7583333	0.00113886	0.002311361	6.93408E-06	3.46704E-06	3.46704E-06
15.925	0.001140905	0.002311188	6.93356E-06	3.46678E-06	3.46678E-06
16.0916667	0.001141105	0.002311298	6.93389E-06	3.46695E-06	3.46695E-06
16.2583333	0.001139591	0.002311303	6.93391E-06	3.46695E-06	3.46695E-06
16.425	0.001138961	0.002311383	6.93415E-06	3.46707E-06	3.46707E-06
16.5916667	0.001139045	0.002311198	6.93359E-06	3.4668E-06	3.4668E-06
16.7583333	0.001139006	0.00231115	6.93345E-06	3.46673E-06	3.46673E-06
16.925	0.0011384	0.002311259	6.93378E-06	3.46689E-06	3.46689E-06
17.0916667	0.001143245	0.002311321	6.93396E-06	3.46698E-06	3.46698E-06
17.2583333	0.001142742	0.002311132	6.9334E-06	3.4667E-06	3.4667E-06
17.425	0.001138545	0.002311308	6.93392E-06	3.46696E-06	3.46696E-06
17.5916667	0.001137268	0.002311133	6.9334E-06	3.4667E-06	3.4667E-06
17.7583333	0.001140688	0.002311293	6.93388E-06	3.46694E-06	3.46694E-06
17.925	0.001140195	0.0023114	6.9342E-06	3.4671E-06	3.4671E-06
18.0916667	0.001138334	0.002311296	6.93389E-06	3.46694E-06	3.46694E-06
18.2583333	0.001140957	0.00231155	6.93465E-06	3.46733E-06	3.46733E-06
18.425	0.00113925	0.002311366	6.9341E-06	3.46705E-06	3.46705E-06
18.5916667	0.001138699	0.002311484	6.93445E-06	3.46723E-06	3.46723E-06
18.7583333	0.001139697	0.002311406	6.93422E-06	3.46711E-06	3.46711E-06
18.925	0.001138521	0.00231129	6.93387E-06	3.46694E-06	3.46694E-06
19.0916667	0.001142165	0.002311178	6.93353E-06	3.46677E-06	3.46677E-06
19.2583333	0.001139513	0.002311268	6.9338E-06	3.4669E-06	3.4669E-06
19.425	0.001139497	0.002311436	6.93431E-06	3.46715E-06	3.46715E-06
19.5916667	0.00113758	0.002311427	6.93428E-06	3.46714E-06	3.46714E-06
19.7583333	0.001140167	0.002311358	6.93407E-06	3.46704E-06	3.46704E-06
19.925	0.001141133	0.002311392	6.93418E-06	3.46709E-06	3.46709E-06
20.0916667	0.001140732	0.002311402	6.93421E-06	3.4671E-06	3.4671E-06
20.2583333	0.001142581	0.002311611	6.93483E-06	3.46742E-06	3.46742E-06
20.425	0.001138994	0.002311128	6.93338E-06	3.46669E-06	3.46669E-06
20.5916667	0.001138447	0.002311188	6.93356E-06	3.46678E-06	3.46678E-06
20.7583333	0.001137421	0.002311515	6.93455E-06	3.46727E-06	3.46727E-06
20.925	0.001138444	0.002311308	6.93392E-06	3.46696E-06	3.46696E-06
21.0916667	0.001136352	0.002311325	6.93398E-06	3.46699E-06	3.46699E-06
21.2583333	0.001136712	0.002311429	6.93429E-06	3.46714E-06	3.46714E-06
21.425	0.001138625	0.002311351	6.93405E-06	3.46703E-06	3.46703E-06
21.5916667	0.001137152	0.002311253	6.93376E-06	3.46688E-06	3.46688E-06
21.7583333	0.001139377	0.002311252	6.93376E-06	3.46688E-06	3.46688E-06
21.925	0.001137088	0.002311339	6.93402E-06	3.46701E-06	3.46701E-06
22.0916667	0.001140031	0.00231144	6.93432E-06	3.46716E-06	3.46716E-06
22.2583333	0.001139006	0.002311237	6.93371E-06	3.46685E-06	3.46685E-06
22.425	0.001139395	0.002311265	6.9338E-06	3.4669E-06	3.4669E-06
22.5916667	0.001141033	0.002311326	6.93398E-06	3.46699E-06	3.46699E-06
22.7583333	0.001140761	0.002311523	6.93457E-06	3.46728E-06	3.46728E-06
22.925	0.001137393	0.002311258	6.93377E-06	3.46689E-06	3.46689E-06
23.0916667	0.001139672	0.002311149	6.93345E-06	3.46672E-06	3.46672E-06
23.2583333	0.001136933	0.002311194	6.93358E-06	3.46679E-06	3.46679E-06
23.425	0.001140055	0.002311337	6.93401E-06	3.46701E-06	3.46701E-06
23.5916667	0.001139653	0.002311343	6.93403E-06	3.46701E-06	3.46701E-06
23.7583333	0.001139216	0.002311422	6.93427E-06	3.46713E-06	3.46713E-06
23.925	0.001139608	0.002311503	6.93451E-06	3.46725E-06	3.46725E-06
24.0916667	0.001139254	0.002311466	6.9344E-06	3.4672E-06	3.4672E-06
24.2583333	0.001138541	0.002311525	6.93457E-06	3.46729E-06	3.46729E-06
24.425	0.001141024	0.002311377	6.93413E-06	3.46707E-06	3.46707E-06
24.5916667	0.001137561	0.002311256	6.93377E-06	3.46688E-06	3.46688E-06
24.7583333	0.001139591	0.002311011	6.93303E-06	3.46652E-06	3.46652E-06
24.925	0.001139968	0.002311091	6.93327E-06	3.46664E-06	3.46664E-06
25.0916667	0.001135982	0.002311559	6.93468E-06	3.46734E-06	3.46734E-06
25.2583333	0.001140435	0.002311318	6.93395E-06	3.46698E-06	3.46698E-06
25.425	0.00113782	0.002311137	6.93341E-06	3.4667E-06	3.4667E-06
25.5916667	0.001138981	0.002311247	6.93374E-06	3.46687E-06	3.46687E-06
25.7583333	0.001141494	0.002311285	6.93386E-06	3.46693E-06	3.46693E-06
25.925	0.001135762	0.002311135	6.9334E-06	3.4667E-06	3.4667E-06
26.0916667	0.001137169	0.002311395	6.93418E-06	3.46709E-06	3.46709E-06
26.2583333	0.001137554	0.002311352	6.93406E-06	3.46703E-06	3.46703E-06
26.425	0.001138826	0.002311288	6.93387E-06	3.46693E-06	3.46693E-06
26.5916667	0.001138852	0.002311484	6.93445E-06	3.46723E-06	3.46723E-06
26.7583333	0.001137296	0.002311367	6.9341E-06	3.46705E-06	3.46705E-06
26.925	0.001138824	0.00231131	6.93393E-06	3.46697E-06	3.46697E-06
27.0916667	0.001137113	0.002311148	6.93344E-06	3.46672E-06	3.46672E-06
27.2583333	0.001136157	0.002311338	6.93401E-06	3.46701E-06	3.46701E-06
27.425	0.001138383	0.002311269	6.93381E-06	3.4669E-06	3.4669E-06
27.5916667	0.00113917	0.002311198	6.93359E-06	3.4668E-06	3.4668E-06
27.7583333	0.001136513	0.002311221	6.93366E-06	3.46683E-06	3.46683E-06
27.925	0.001137174	0.002311168	6.9335E-06	3.46675E-06	3.46675E-06
28.0916667	0.001136442	0.002311073	6.93322E-06	3.46661E-06	3.46661E-06
28.2583333	0.0011377	0.002311328	6.93399E-06	3.46699E-06	3.46699E-06
28.425	0.001138463	0.002311099	6.9333E-06	3.46665E-06	3.46665E-06
28.5916667	0.001135876	0.002311124	6.93337E-06	3.46669E-06	3.46669E-06
28.7583333	0.00113679	0.002311282	6.93385E-06	3.46692E-06	3.46692E-06
