time	T
0.091666667	524.6060745
0.258333333	524.578887
0.425	524.623205
0.591666667	524.6225032
0.758333333	524.6193304
0.925	524.6355887
1.09166667	524.6720633
1.25833333	524.6559627
1.425	524.650474
1.59166667	524.6510056
1.75833333	524.6897762
1.925	524.6626209
2.09166667	524.6135291
2.25833333	524.6112957
2.425	524.6831547
2.59166667	524.6764236
2.75833333	524.6533735
2.925	524.6419395
3.09166667	524.6713915
3.25833333	524.6533576
3.425	524.677432
3.59166667	524.6799793
3.75833333	524.7197086
3.925	524.7139052
4.09166667	524.6822408
4.25833333	524.6960525
4.425	524.6895762
4.59166667	524.6753022
4.75833333	524.6950303
4.925	524.7093634
5.09166667	524.729453
5.25833333	524.9948845
5.425	525.5006994
5.59166667	525.9277554
5.75833333	526.1830055
5.925	526.3157311
6.09166667	526.4565751
6.25833333	526.496065
6.425	526.6270532
6.59166667	526.6606491
6.75833333	526.7519583
6.925	526.7811181
7.09166667	526.7862791
7.25833333	526.8280629
7.425	526.899345
7.59166667	526.9368162
7.75833333	526.9515996
7.925	526.9679456
8.09166667	526.9867474
8.25833333	527.0037652
8.425	526.9952212
8.59166667	527.0562594
8.75833333	527.1664381
8.925	527.1787378
9.09166667	527.1998598
9.25833333	527.1231372
9.425	527.1863184
9.59166667	527.1511616
9.75833333	527.1681519
9.925	527.1705238
10.0916667	527.2055287
10.2583333	527.2299584
10.425	527.2165692
10.5916667	527.1958018
10.7583333	527.2365699
10.925	527.1838404
11.0916667	527.2277451
11.2583333	527.2509396
11.425	527.2632073
11.5916667	527.281639
11.7583333	527.2279107
11.925	527.2375517
12.0916667	527.160417
12.2583333	527.2737431
12.425	527.2419693
12.5916667	527.242751
12.7583333	527.2309666
12.925	527.2421412
13.0916667	527.2454608
13.2583333	527.2525155
13.425	527.2370039
13.5916667	527.2982538
13.7583333	527.2839037
13.925	527.3096443
14.0916667	527.3005659
14.2583333	527.3355502
14.425	527.3043341
14.5916667	527.3221785
14.7583333	527.3275817
14.925	527.3823514
15.0916667	527.3544405
15.2583333	527.3887575
15.425	527.3858067
15.5916667	527.3876131
15.7583333	527.3753064
15.925	527.4148416
16.0916667	527.3897654
16.2583333	527.3885935
16.425	527.3703863
16.5916667	527.4125361
16.7583333	527.4233937
16.925	527.3985267
17.0916667	527.3845785
17.2583333	527.4275615
17.425	527.3873839
17.5916667	527.4274776
17.7583333	527.390902
17.925	527.3663555
18.0916667	527.3902129
18.2583333	527.3322109
18.425	527.3741674
18.5916667	527.3473121
18.7583333	527.3650312
18.925	527.3915096
19.0916667	527.4170414
19.2583333	527.3965437
19.425	527.3582626
19.5916667	527.3603703
19.7583333	527.3759876
19.925	527.3682249
20.0916667	527.3659988
20.2583333	527.3182431
20.425	527.4285547
20.5916667	527.4148511
20.7583333	527.3401511
20.925	527.3874948
21.0916667	527.3835206
21.2583333	527.3598135
21.425	527.3775946
21.5916667	527.4001045
21.7583333	527.400148
21.925	527.3804222
22.0916667	527.3572649
22.2583333	527.4037558
22.425	527.397207
22.5916667	527.3832921
22.7583333	527.3383423
22.925	527.398939
23.0916667	527.4236341
23.2583333	527.4134152
23.425	527.3807317
23.5916667	527.3795379
23.7583333	527.3614226
23.925	527.342887
24.0916667	527.3512921
24.2583333	527.3380205
24.425	527.3716015
24.5916667	527.3993729
24.7583333	527.4553341
24.925	527.4369121
25.0916667	527.3301393
25.2583333	527.3851474
25.425	527.4265624
25.5916667	527.401333
25.7583333	527.3926637
25.925	527.4269912
26.0916667	527.3676514
26.2583333	527.3774742
26.425	527.3919112
26.5916667	527.3472215
26.7583333	527.3738929
26.925	527.3869904
27.0916667	527.4240129
27.2583333	527.3806619
27.425	527.3964547
27.5916667	527.4126414
27.7583333	527.4074017
27.925	527.4193407
28.0916667	527.4410073
28.2583333	527.3828123
28.425	527.4350733
28.5916667	527.4294549
28.7583333	527.3933529
28.925	527.417868
29.0916667	527.4076966
29.2583333	527.3918652
29.425	527.3578897
29.5916667	527.3972297
29.7583333	527.3937459
29.925	527.3732344
30.0916667	527.4104748
30.2583333	527.395683
30.425	527.4179131
30.5916667	527.4003714
30.7583333	527.4047494
30.925	527.3840602
31.0916667	527.384777
31.2583333	527.4143692
31.425	527.4623808
31.5916667	527.3707393
31.7583333	527.3955703
31.925	527.3968239
32.0916667	527.3645423
32.2583333	527.3272284
32.425	527.3797955
32.5916667	527.3936452
32.7583333	527.3664271
32.925	527.3873634
33.0916667	527.361561
33.2583333	527.3488723
33.425	527.3901676
33.5916667	527.3717237
33.7583333	527.3851746
33.925	527.4061116
34.0916667	527.4053738
34.2583333	527.3783672
34.425	527.3748373
34.5916667	527.4310875
34.7583333	527.48144
34.925	527.4417784
35.0916667	527.4655875
35.2583333	527.4365239
35.425	527.4044003
35.5916667	527.3739455
35.7583333	527.4833333
35.925	527.4670106
36.0916667	527.4419534
36.2583333	527.4290788
36.425	527.4264919
36.5916667	527.4228683
36.7583333	527.4270381
36.925	527.3912037
37.0916667	527.449321
37.2583333	527.4232862
37.425	527.4334771
37.5916667	527.4597924
37.7583333	527.4308777
37.925	527.4532458
38.0916667	527.4754557
38.2583333	527.4924076
38.425	527.5398508
38.5916667	527.5032383
38.7583333	527.4738979
38.925	527.4688181
39.0916667	527.5120163
39.2583333	527.4749504
39.425	527.4846608
39.5916667	527.4651168
39.7583333	527.4283868
39.925	527.4409627
40.0916667	527.4519602
40.2583333	527.493625
40.425	527.480381
40.5916667	527.4210373
40.7583333	527.4576074
40.925	527.451161
41.0916667	527.4326437
41.2583333	527.4250969
41.425	527.4418488
41.5916667	527.4164987
41.7583333	527.4390967
41.925	527.4945257
42.0916667	527.4452253
42.2583333	527.5042304
42.425	527.4690549
42.5916667	527.4640423
42.7583333	527.4790855
42.925	527.485046
43.0916667	527.4691729
43.2583333	527.4596391
43.425	527.5115572
43.5916667	527.559556
43.7583333	527.4612733
43.925	527.4467302
44.0916667	527.4928143
44.2583333	527.5298348
44.425	527.4881659
44.5916667	527.4722632
44.7583333	527.5156596
44.925	527.5432206
45.0916667	527.4788214
45.2583333	527.4780325
45.425	527.4654659
45.5916667	527.4883805
45.7583333	527.4197931
45.925	527.3917332
46.0916667	527.3648759
46.2583333	527.4330494
46.425	527.3626583
46.5916667	527.382855
46.7583333	527.3639345
46.925	527.4236991
47.0916667	527.4591115
47.2583333	527.4635543
47.425	527.4278449
47.5916667	527.4160041
47.7583333	527.407948
47.925	527.471459
48.0916667	527.4871089
48.2583333	527.4850625
48.425	527.4243064
48.5916667	527.4494186
48.7583333	527.4412785
48.925	527.5167293
49.0916667	527.4170973
49.2583333	527.4728339
49.425	527.4296174
49.5916667	527.421773
49.7583333	527.437744
49.925	527.4751038
50.0916667	527.4774774
50.2583333	527.5017183
50.425	527.4681343
50.5916667	527.4856141
50.7583333	527.4810153
50.925	527.4531561
51.0916667	527.4310968
51.2583333	527.3973953
51.425	527.4264274
51.5916667	527.4076049
51.7583333	527.4227649
51.925	527.4005045
52.0916667	527.4654387
52.2583333	527.4445819
52.425	527.4635007
52.5916667	527.5091427
52.7583333	527.5457899
52.925	527.4890514
53.0916667	527.5173112
53.2583333	527.4818545
53.425	527.5037912
53.5916667	527.4768286
53.7583333	527.4453752
53.925	527.4576871
54.0916667	527.495657
54.2583333	527.4874211
54.425	527.54266
54.5916667	527.5160727
54.7583333	527.519855
54.925	527.5203162
55.0916667	527.5053065
55.2583333	527.5109309
55.425	527.4937755
55.5916667	527.5291755
55.7583333	527.5170932
55.925	527.4972529
56.0916667	527.4292878
56.2583333	527.5234101
56.425	527.4862723
56.5916667	527.4629351
56.7583333	527.491255
56.925	527.4938478
57.0916667	527.5024178
57.2583333	527.4877244
57.425	527.4121279
57.5916667	527.4218722
57.7583333	527.4758388
57.925	527.5024975
58.0916667	527.53503
58.2583333	527.5684561
58.425	527.5319994
58.5916667	527.4976928
58.7583333	527.56702
58.925	527.5557855
59.0916667	527.5359951
59.2583333	527.571918
59.425	527.5837173
59.5916667	527.5770334
59.7583333	527.5251364
59.925	527.5946963
60.0916667	527.573988
60.2583333	527.5479108
60.425	527.6044
60.5916667	527.5128414
60.7583333	527.5271855
60.925	527.528535
61.0916667	527.4848371
61.2583333	527.4995703
61.425	527.4888794
61.5916667	527.5013783
61.7583333	527.4773119
61.925	527.459059
62.0916667	527.4711129
62.2583333	527.5445638
62.425	527.5441336
62.5916667	527.4911841
62.7583333	527.6145575
62.925	527.5278366
63.0916667	527.5697032
63.2583333	527.5563564
63.425	527.5713032
63.5916667	527.505318
63.7583333	527.530098
63.925	527.5698859
64.0916667	527.5065756
64.2583333	527.5235114
64.425	527.578205
64.5916667	527.5348011
64.7583333	527.5697092
64.925	527.5791485
65.0916667	527.5231259
65.2583333	527.5414114
65.425	527.5607036
65.5916667	527.537376
65.7583333	527.5176219
65.925	527.5101258
66.0916667	527.4472182
66.2583333	527.4638552
66.425	527.4567511
66.5916667	527.3876442
66.7583333	527.2872562
66.925	527.1988308
67.0916667	527.018461
67.2583333	526.8947935
67.425	526.7374382
67.5916667	526.6179239
67.7583333	526.411352
67.925	526.1792456
68.0916667	525.954384
68.2583333	525.6808913
68.425	525.4655071
68.5916667	525.2144062
68.7583333	524.9866043
68.925	524.6913745
69.0916667	524.4402456
69.2583333	524.175661
69.425	523.9539717
69.5916667	523.6629119
69.7583333	523.3808794
69.925	523.1002137
70.0916667	522.7675972
70.2583333	522.5649124
70.425	522.2582999
70.5916667	521.9617436
70.7583333	521.6714639
70.925	521.3597709
71.0916667	521.0886248
71.2583333	520.8412961
71.425	520.5259553
71.5916667	520.2061904
71.7583333	519.9743947
71.925	519.7101091
72.0916667	519.4640547
72.2583333	519.1092633
72.425	518.8754974
72.5916667	518.5898939
72.7583333	518.3229341
72.925	518.100717
73.0916667	517.8108185
73.2583333	517.4887201
73.425	517.2093832
73.5916667	516.900263
73.7583333	516.6001722
73.925	516.3647958
74.0916667	516.0969315
74.2583333	515.8379872
74.425	515.5537327
74.5916667	515.2634394
74.7583333	514.9798554
74.925	514.7139094
75.0916667	514.4365223
75.2583333	514.1539663
75.425	513.8339463
75.5916667	513.5611583
75.7583333	513.3454617
75.925	513.0529295
76.0916667	512.7682214
76.2583333	512.4079012
76.425	512.1730413
76.5916667	511.9130077
76.7583333	511.6503407
76.925	511.3702074
77.0916667	511.0580888
77.2583333	510.762721
77.425	510.4464312
77.5916667	510.1756824
77.7583333	509.9994409
77.925	509.7381829
78.0916667	509.3888922
78.2583333	509.1365581
78.425	508.8783966
78.5916667	508.5859791
78.7583333	508.3244544
78.925	508.0838984
79.0916667	507.7635471
79.2583333	507.4083874
79.425	507.2141493
79.5916667	506.9138711
79.7583333	506.6589907
79.925	506.3923959
80.0916667	506.0910433
