time	NH3_Unaged	NO_Unaged	NO2_Unaged	N2O_Unaged
0.091666667	-1.22612E-10	6.71143E-06	1.48891E-07	5.41536E-10
0.258333333	-6.37688E-10	6.70581E-06	1.52235E-07	3.91346E-10
0.425	-6.94293E-10	6.70604E-06	1.51693E-07	7.87194E-10
0.591666667	-2.16583E-10	6.70974E-06	1.51038E-07	-6.25989E-10
0.758333333	-6.91958E-10	6.70869E-06	1.51465E-07	-1.16749E-09
0.925	-1.06766E-09	6.70353E-06	1.51795E-07	1.92145E-11
1.09166667	-9.18877E-10	6.70342E-06	1.51549E-07	5.86734E-10
1.25833333	-9.17065E-10	6.69702E-06	1.50851E-07	-4.60198E-10
1.425	-6.36753E-10	6.70639E-06	1.50272E-07	7.87474E-10
1.59166667	-9.90925E-10	6.70251E-06	1.50838E-07	-7.27023E-12
1.75833333	-9.99374E-10	6.70706E-06	1.50478E-07	-3.20649E-10
1.925	-2.19171E-10	6.69987E-06	1.502E-07	-2.04488E-10
2.09166667	-1.15318E-09	6.70508E-06	1.501E-07	7.49272E-10
2.25833333	2.9119E-10	6.70229E-06	1.50768E-07	-7.12275E-11
2.425	-3.69262E-10	6.70802E-06	1.49165E-07	-2.02186E-09
2.59166667	-1.06675E-09	6.7026E-06	1.49296E-07	-6.38212E-11
2.75833333	-4.81603E-10	6.69936E-06	1.51285E-07	-7.59712E-10
2.925	-2.9615E-10	6.69948E-06	1.5111E-07	-7.61107E-10
3.09166667	-1.54556E-09	6.70286E-06	1.50806E-07	-7.95477E-11
3.25833333	-2.77993E-10	6.69664E-06	1.51334E-07	-3.53394E-10
3.425	-1.02416E-09	6.70163E-06	1.51029E-07	-6.58003E-10
3.59166667	-3.96846E-10	6.70049E-06	1.50652E-07	3.33605E-10
3.75833333	-6.20959E-10	6.70292E-06	1.50051E-07	-2.11033E-11
3.925	-6.78848E-11	6.70807E-06	1.51009E-07	3.47202E-10
4.09166667	-4.75797E-10	6.70174E-06	1.50146E-07	-2.69471E-10
4.25833333	7.3867E-11	6.69636E-06	1.51932E-07	-6.74655E-10
4.425	-9.51069E-10	6.70082E-06	1.50413E-07	-3.9386E-10
4.59166667	-9.76731E-10	6.70281E-06	1.50257E-07	4.23816E-11
4.75833333	4.56223E-11	6.70851E-06	1.50935E-07	1.72732E-10
4.925	-1.18978E-09	6.69721E-06	1.50728E-07	-6.4888E-10
5.09166667	-6.81352E-11	5.9471E-06	1.32693E-07	1.42795E-08
5.25833333	1.39772E-09	4.69819E-06	1.00611E-07	3.4278E-08
5.425	3.97273E-09	4.06034E-06	8.34319E-08	4.4412E-08
5.59166667	6.52702E-09	3.58968E-06	6.87081E-08	5.31639E-08
5.75833333	8.4734E-09	3.23678E-06	6.00316E-08	6.01115E-08
5.925	1.14401E-08	2.93966E-06	4.74334E-08	6.73731E-08
6.09166667	1.41158E-08	2.69147E-06	4.10293E-08	7.29559E-08
6.25833333	1.63455E-08	2.49302E-06	3.41579E-08	7.74215E-08
6.425	1.94152E-08	2.31671E-06	3.11568E-08	8.06629E-08
6.59166667	2.17555E-08	2.16945E-06	2.42942E-08	8.37866E-08
6.75833333	2.48073E-08	2.04176E-06	2.23412E-08	8.82105E-08
6.925	2.73554E-08	1.93026E-06	2.12152E-08	9.01091E-08
7.09166667	3.05539E-08	1.8266E-06	1.90627E-08	9.36126E-08
7.25833333	3.31877E-08	1.73765E-06	1.63816E-08	9.57599E-08
7.425	3.50431E-08	1.65548E-06	1.48038E-08	9.83839E-08
7.59166667	3.85435E-08	1.58545E-06	1.34426E-08	9.94855E-08
7.75833333	3.97203E-08	1.5177E-06	1.19061E-08	1.01314E-07
7.925	4.34658E-08	1.46033E-06	9.93727E-09	1.03747E-07
8.09166667	4.58618E-08	1.40481E-06	9.27147E-09	1.06057E-07
8.25833333	4.88498E-08	1.35707E-06	8.50581E-09	1.07613E-07
8.425	5.09973E-08	1.30399E-06	7.79858E-09	1.08558E-07
8.59166667	5.31159E-08	1.26094E-06	7.24258E-09	1.09489E-07
8.75833333	5.63399E-08	1.21946E-06	7.29483E-09	1.10751E-07
8.925	5.8606E-08	1.18378E-06	5.6805E-09	1.13255E-07
9.09166667	6.12539E-08	1.14591E-06	5.94081E-09	1.1296E-07
9.25833333	6.38987E-08	1.11402E-06	5.6326E-09	1.13379E-07
9.425	6.59358E-08	1.0888E-06	4.87148E-09	1.15119E-07
9.59166667	6.85768E-08	1.05582E-06	5.42999E-09	1.16779E-07
9.75833333	7.15654E-08	1.02988E-06	4.77321E-09	1.1533E-07
9.925	7.3357E-08	9.99608E-07	5.27687E-09	1.17646E-07
10.0916667	7.66008E-08	9.77652E-07	3.98266E-09	1.18405E-07
10.2583333	7.80541E-08	9.54603E-07	3.51981E-09	1.20005E-07
10.425	8.14102E-08	9.35067E-07	3.93118E-09	1.19769E-07
10.5916667	8.36418E-08	9.15045E-07	4.0513E-09	1.20704E-07
10.7583333	8.59698E-08	8.92572E-07	4.60882E-09	1.2141E-07
10.925	8.71807E-08	8.76871E-07	1.79655E-09	1.2192E-07
