time	H2O_Unaged	O2_Unaged	NH3_Unaged	NO_Unaged	NO2_Unaged
0.091666667	0.001136309	0.002322775	0	6.96833E-06	0
0.258333333	0.001134924	0.002322515	0	6.96755E-06	0
0.425	0.001134198	0.002322525	0	6.96758E-06	0
0.591666667	0.001137071	0.002322451	0	6.96735E-06	0
0.758333333	0.00113393	0.002322327	0	6.96698E-06	0
0.925	0.001138941	0.002322276	0	6.96683E-06	0
1.09166667	0.001135667	0.002322126	0	6.96638E-06	0
1.25833333	0.001134969	0.002322155	0	6.96646E-06	0
1.425	0.001138141	0.002322194	0	6.96658E-06	0
1.59166667	0.001135267	0.002322016	0	6.96605E-06	0
1.75833333	0.001135623	0.002322231	0	6.96669E-06	0
1.925	0.001136995	0.002322117	0	6.96635E-06	0
2.09166667	0.001139779	0.002322496	0	6.96749E-06	0
2.25833333	0.001140466	0.002322534	0	6.9676E-06	0
2.425	0.001137155	0.002322592	0	6.96778E-06	0
2.59166667	0.001140408	0.00232246	0	6.96738E-06	0
2.75833333	0.001140564	0.002322341	0	6.96702E-06	0
2.925	0.001140788	0.002322438	0	6.96731E-06	0
3.09166667	0.001139603	0.002322491	0	6.96747E-06	0
3.25833333	0.001138352	0.002322452	0	6.96736E-06	0
3.425	0.001139855	0.00232225	0	6.96675E-06	0
3.59166667	0.001139564	0.0023223	0	6.9669E-06	0
3.75833333	0.001137428	0.002322106	0	6.96632E-06	0
3.925	0.00113913	0.002322279	0	6.96684E-06	0
4.09166667	0.00113687	0.002321787	0	6.96536E-06	0
4.25833333	0.0011382	0.002321986	0	6.96596E-06	0
4.425	0.001137837	0.002321794	0	6.96538E-06	0
4.59166667	0.001137321	0.002322023	0	6.96607E-06	0
4.75833333	0.001134631	0.00232198	0	6.96594E-06	0
4.925	0.001137326	0.002321814	0	6.96544E-06	0
5.09166667	0.001142104	0.002321711	6.96513E-06	6.96513E-06	0
5.25833333	0.001147262	0.002321074	6.96322E-06	6.96322E-06	0
5.425	0.001143316	0.002319418	6.95825E-06	6.95825E-06	0
5.59166667	0.001145962	0.002317772	6.95332E-06	6.95332E-06	0
5.75833333	0.001146729	0.002316755	6.95026E-06	6.95026E-06	0
5.925	0.00114408	0.002316082	6.94824E-06	6.94824E-06	0
6.09166667	0.001140916	0.002315499	6.9465E-06	6.9465E-06	0
6.25833333	0.001143374	0.002315203	6.94561E-06	6.94561E-06	0
6.425	0.00113867	0.002314607	6.94382E-06	6.94382E-06	0
6.59166667	0.001143056	0.002314119	6.94236E-06	6.94236E-06	0
6.75833333	0.001143198	0.002313674	6.94102E-06	6.94102E-06	0
6.925	0.001140161	0.002313357	6.94007E-06	6.94007E-06	0
7.09166667	0.001140184	0.002312951	6.93885E-06	6.93885E-06	0
7.25833333	0.001142678	0.002312499	6.9375E-06	6.9375E-06	0
7.425	0.001141245	0.002312512	6.93754E-06	6.93754E-06	0
7.59166667	0.001142442	0.002312298	6.93689E-06	6.93689E-06	0
7.75833333	0.001145664	0.002312006	6.93602E-06	6.93602E-06	0
7.925	0.001140429	0.002311735	6.9352E-06	6.9352E-06	0
8.09166667	0.001140609	0.002311764	6.93529E-06	6.93529E-06	0
8.25833333	0.001140577	0.002311851	6.93555E-06	6.93555E-06	0
8.425	0.001144013	0.002311353	6.93406E-06	6.93406E-06	0
8.59166667	0.001143409	0.002311456	6.93437E-06	6.93437E-06	0
8.75833333	0.001143424	0.002311198	6.93359E-06	6.93359E-06	0
8.925	0.001142283	0.00231103	6.93309E-06	6.93309E-06	0
9.09166667	0.001138058	0.002310914	6.93274E-06	6.93274E-06	0
9.25833333	0.001141759	0.002310887	6.93266E-06	6.93266E-06	0
9.425	0.001142059	0.00231047	6.93141E-06	6.93141E-06	0
9.59166667	0.001141081	0.0023104	6.9312E-06	6.9312E-06	0
9.75833333	0.001141765	0.002310359	6.93108E-06	6.93108E-06	0
9.925	0.001142598	0.002310249	6.93075E-06	6.93075E-06	0
10.0916667	0.001144667	0.002310259	6.93078E-06	6.93078E-06	0
10.2583333	0.001143062	0.002310086	6.93026E-06	6.93026E-06	0
10.425	0.001144877	0.002309954	6.92986E-06	6.92986E-06	0
10.5916667	0.001142399	0.002309832	6.9295E-06	6.9295E-06	0
10.7583333	0.001143756	0.00230963	6.92889E-06	6.92889E-06	0
10.925	0.001144442	0.002309747	6.92924E-06	6.92924E-06	0
11.0916667	0.001144287	0.002309895	6.92968E-06	6.92968E-06	0
11.2583333	0.001140511	0.002309773	6.92932E-06	6.92932E-06	0
11.425	0.00114213	0.002309485	6.92846E-06	6.92846E-06	0
11.5916667	0.001145238	0.002309737	6.92921E-06	6.92921E-06	0
11.7583333	0.001143652	0.002309755	6.92926E-06	6.92926E-06	0
11.925	0.001141605	0.002309725	6.92918E-06	6.92918E-06	0
12.0916667	0.001144787	0.002309624	6.92887E-06	6.92887E-06	0
12.2583333	0.001141458	0.002309477	6.92843E-06	6.92843E-06	0
12.425	0.001139949	0.002309462	6.92839E-06	6.92839E-06	0
12.5916667	0.001144154	0.002309564	6.92869E-06	6.92869E-06	0
12.7583333	0.001143205	0.002309334	6.928E-06	6.928E-06	0
12.925	0.00114041	0.002309214	6.92764E-06	6.92764E-06	0
13.0916667	0.001143685	0.00230929	6.92787E-06	6.92787E-06	0
13.2583333	0.001142616	0.002309071	6.92721E-06	6.92721E-06	0
13.425	0.00114177	0.002309112	6.92734E-06	6.92734E-06	0
13.5916667	0.001141265	0.002308971	6.92691E-06	6.92691E-06	0
13.7583333	0.001141976	0.002308857	6.92657E-06	6.92657E-06	0
13.925	0.001139859	0.002309	6.927E-06	6.927E-06	0
14.0916667	0.001139775	0.002309014	6.92704E-06	6.92704E-06	0
14.2583333	0.001143572	0.002309148	6.92744E-06	6.92744E-06	0
14.425	0.001144171	0.002309041	6.92712E-06	6.92712E-06	0
14.5916667	0.001142618	0.002308812	6.92644E-06	6.92644E-06	0
14.7583333	0.001142589	0.002308965	6.92689E-06	6.92689E-06	0
14.925	0.001141867	0.002308644	6.92593E-06	6.92593E-06	0
15.0916667	0.001141555	0.002308978	6.92694E-06	6.92694E-06	0
15.2583333	0.001142843	0.002308624	6.92587E-06	6.92587E-06	0
15.425	0.001142657	0.002308942	6.92682E-06	6.92682E-06	0
15.5916667	0.001143049	0.002308661	6.92598E-06	6.92598E-06	0
15.7583333	0.001140904	0.002308801	6.9264E-06	6.9264E-06	0
15.925	0.001143636	0.002308679	6.92604E-06	6.92604E-06	0
16.0916667	0.001145346	0.002309005	6.92702E-06	6.92702E-06	0
16.2583333	0.001141163	0.00230875	6.92625E-06	6.92625E-06	0
16.425	0.001140389	0.002308693	6.92608E-06	6.92608E-06	0
16.5916667	0.001142472	0.002308538	6.92562E-06	6.92562E-06	0
16.7583333	0.001141272	0.002308485	6.92546E-06	6.92546E-06	0
16.925	0.00114174	0.002308416	6.92525E-06	6.92525E-06	0
17.0916667	0.00114009	0.002308246	6.92474E-06	6.92474E-06	0
17.2583333	0.001144186	0.002308362	6.92509E-06	6.92509E-06	0
17.425	0.001144734	0.002308425	6.92527E-06	6.92527E-06	0
17.5916667	0.001146899	0.002308341	6.92502E-06	6.92502E-06	0
17.7583333	0.001143521	0.002308443	6.92533E-06	6.92533E-06	0
17.925	0.00114268	0.002308459	6.92538E-06	6.92538E-06	0
18.0916667	0.001142265	0.002308176	6.92453E-06	6.92453E-06	0
18.2583333	0.001139312	0.002308334	6.925E-06	6.925E-06	0
18.425	0.001140579	0.00230847	6.92541E-06	6.92541E-06	0
18.5916667	0.001142609	0.002308374	6.92512E-06	6.92512E-06	0
18.7583333	0.001137389	0.002308257	6.92477E-06	6.92477E-06	0
18.925	0.001142375	0.002308284	6.92485E-06	6.92485E-06	0
19.0916667	0.00114322	0.002308272	6.92482E-06	6.92482E-06	0
19.2583333	0.001141869	0.002308446	6.92534E-06	6.92534E-06	0
19.425	0.001142949	0.002308057	6.92417E-06	6.92417E-06	0
19.5916667	0.001141921	0.002308145	6.92444E-06	6.92444E-06	0
19.7583333	0.001143208	0.002308108	6.92432E-06	6.92432E-06	0
19.925	0.001141265	0.002308166	6.9245E-06	6.9245E-06	0
20.0916667	0.001141887	0.002308061	6.92418E-06	6.92418E-06	0
20.2583333	0.001141342	0.002308128	6.92438E-06	6.92438E-06	0
20.425	0.001140043	0.002308236	6.92471E-06	6.92471E-06	0
20.5916667	0.001141517	0.002308018	6.92405E-06	6.92405E-06	0
20.7583333	0.001140816	0.002307991	6.92397E-06	6.92397E-06	0
20.925	0.001141852	0.002308156	6.92447E-06	6.92447E-06	0
21.0916667	0.001147289	0.002308046	6.92414E-06	6.92414E-06	0
21.2583333	0.001144899	0.002307984	6.92395E-06	6.92395E-06	0
21.425	0.001143195	0.002308097	6.92429E-06	6.92429E-06	0
21.5916667	0.001142187	0.002308	6.924E-06	6.924E-06	0
21.7583333	0.001143086	0.002308095	6.92429E-06	6.92429E-06	0
