time	T
0.091666667	524.783795
0.258333333	524.8425039
0.425	524.840271
0.591666667	524.8570263
0.758333333	524.8850453
0.925	524.8966845
1.09166667	524.9305072
1.25833333	524.9240312
1.425	524.915206
1.59166667	524.9553314
1.75833333	524.9068275
1.925	524.9325935
2.09166667	524.8468095
2.25833333	524.8384126
2.425	524.8251976
2.59166667	524.8549756
2.75833333	524.8818549
2.925	524.8600126
3.09166667	524.8479315
3.25833333	524.8567843
3.425	524.9024615
3.59166667	524.8912593
3.75833333	524.9349774
3.925	524.8960356
4.09166667	525.0071382
4.25833333	524.9621932
4.425	525.0056646
4.59166667	524.9538238
4.75833333	524.9635922
4.925	525.0011655
5.09166667	525.0244466
5.25833333	525.1685556
5.425	525.5434207
5.59166667	525.9166166
5.75833333	526.1475254
5.925	526.3004777
6.09166667	526.4327863
6.25833333	526.5003031
6.425	526.6358355
6.59166667	526.7467735
6.75833333	526.8481291
6.925	526.9203389
7.09166667	527.0128725
7.25833333	527.1157708
7.425	527.1127653
7.59166667	527.1617375
7.75833333	527.2282422
7.925	527.2900995
8.09166667	527.2833278
8.25833333	527.2634923
8.425	527.3772114
8.59166667	527.3537558
8.75833333	527.4124832
8.925	527.4508816
9.09166667	527.4773644
9.25833333	527.4836076
9.425	527.5787656
9.59166667	527.5947369
9.75833333	527.6040862
9.925	527.6291734
10.0916667	527.6270203
10.2583333	527.6663593
10.425	527.6964835
10.5916667	527.7244327
10.7583333	527.7705507
10.925	527.7438706
11.0916667	527.7101613
11.2583333	527.7378928
11.425	527.8036694
11.5916667	527.7461535
11.7583333	527.7421494
11.925	527.7488095
12.0916667	527.7720542
12.2583333	527.8056502
12.425	527.809045
12.5916667	527.785748
12.7583333	527.8381705
12.925	527.8657306
13.0916667	527.8482967
13.2583333	527.8982829
13.425	527.8889392
13.5916667	527.921309
13.7583333	527.947211
13.925	527.914568
14.0916667	527.9113114
14.2583333	527.8808707
14.425	527.9052481
14.5916667	527.9575491
14.7583333	527.9226844
14.925	527.9961028
15.0916667	527.9195432
15.2583333	528.0005324
15.425	527.9279817
15.5916667	527.9922273
15.7583333	527.960098
15.925	527.9879893
16.0916667	527.9134167
16.2583333	527.9718654
16.425	527.9848763
16.5916667	528.0201685
16.7583333	528.0323778
16.925	528.0482338
17.0916667	528.0870443
17.2583333	528.0605236
17.425	528.0462216
17.5916667	528.0652821
17.7583333	528.0419882
17.925	528.0382273
18.0916667	528.1031191
18.2583333	528.0669088
18.425	528.03588
18.5916667	528.057788
18.7583333	528.0845107
18.925	528.0782904
19.0916667	528.0811307
19.2583333	528.0412126
19.425	528.1302127
19.5916667	528.1101367
19.7583333	528.1185818
19.925	528.1053673
20.0916667	528.1293429
20.2583333	528.1141299
20.425	528.0893743
20.5916667	528.1393162
20.7583333	528.1454438
20.925	528.1076294
21.0916667	528.1328893
21.2583333	528.1469716
21.425	528.1211795
21.5916667	528.1433696
21.7583333	528.1215845
21.925	528.1053427
22.0916667	528.1037984
22.2583333	528.135017
22.425	528.1712271
22.5916667	528.1276598
22.7583333	528.1341291
22.925	528.1256477
23.0916667	528.1699044
23.2583333	528.1821525
23.425	528.2381567
23.5916667	528.2052383
23.7583333	528.2106761
23.925	528.1843457
24.0916667	528.1811164
24.2583333	528.1933812
24.425	528.1966233
24.5916667	528.1601473
24.7583333	528.2147341
24.925	528.1803988
25.0916667	528.1806002
25.2583333	528.1309691
25.425	528.1516259
25.5916667	528.1801161
25.7583333	528.1709187
25.925	528.1059032
26.0916667	528.2038961
26.2583333	528.1578285
26.425	528.2319597
26.5916667	528.196481
26.7583333	528.1801442
26.925	528.2115363
27.0916667	528.2208958
27.2583333	528.2153466
27.425	528.1946293
27.5916667	528.1812234
27.7583333	528.2581812
27.925	528.2457107
28.0916667	528.2121337
28.2583333	528.1798658
28.425	528.1356941
28.5916667	528.1838849
28.7583333	528.1890096
28.925	528.1623451
29.0916667	528.1840266
29.2583333	528.1483154
29.425	528.1448184
29.5916667	528.1725457
29.7583333	528.1958752
29.925	528.2119082
30.0916667	528.1737719
30.2583333	528.1982985
30.425	528.2455707
30.5916667	528.1586047
30.7583333	528.2243902
30.925	528.1612395
31.0916667	528.2448465
31.2583333	528.2527412
31.425	528.2019867
31.5916667	528.2005947
31.7583333	528.1852316
31.925	528.2219717
32.0916667	528.2029793
32.2583333	528.1793181
32.425	528.2036884
32.5916667	528.1667309
32.7583333	528.1463514
32.925	528.163996
33.0916667	528.1572208
33.2583333	528.1344191
33.425	528.0757963
33.5916667	528.0573544
33.7583333	528.1138004
33.925	528.132194
34.0916667	528.132798
34.2583333	528.1686412
34.425	528.169661
34.5916667	528.133583
34.7583333	528.1556603
34.925	528.1624824
35.0916667	528.1300763
35.2583333	528.1570392
35.425	528.1313029
35.5916667	528.1156357
35.7583333	528.1257011
35.925	528.118099
36.0916667	528.1357943
36.2583333	528.1616353
36.425	528.0753698
36.5916667	528.1031474
36.7583333	528.1263997
36.925	528.0888882
37.0916667	528.107311
37.2583333	528.1692545
37.425	528.1710711
37.5916667	528.1247697
37.7583333	528.144045
37.925	528.1198486
38.0916667	528.1691308
38.2583333	528.1662446
38.425	528.2225052
38.5916667	528.2237421
38.7583333	528.1733389
38.925	528.2005233
39.0916667	528.1391581
39.2583333	528.1650307
39.425	528.1905572
39.5916667	528.1637375
39.7583333	528.125361
39.925	528.1667668
40.0916667	528.1691831
40.2583333	528.1569496
40.425	528.1284763
40.5916667	528.1435795
40.7583333	528.1495567
40.925	528.1906446
41.0916667	528.153471
41.2583333	528.1248986
41.425	528.1723699
41.5916667	528.1329629
41.7583333	528.1165471
41.925	528.1416746
42.0916667	528.1439496
42.2583333	528.1671013
42.425	528.1494711
42.5916667	528.1538766
42.7583333	528.1350231
42.925	528.1496781
43.0916667	528.1803591
43.2583333	528.2061628
43.425	528.2011369
43.5916667	528.1410483
43.7583333	528.160019
43.925	528.178257
44.0916667	528.1409112
44.2583333	528.1842088
44.425	528.151826
44.5916667	528.2059567
44.7583333	528.1737057
44.925	528.1552413
45.0916667	528.1068409
45.2583333	528.1345643
45.425	528.1315812
45.5916667	528.101614
45.7583333	528.1387282
45.925	528.109023
46.0916667	528.1391744
46.2583333	528.1482335
46.425	528.1730096
46.5916667	528.120217
46.7583333	528.1804854
46.925	528.141297
47.0916667	528.143108
47.2583333	528.1906587
47.425	528.1642215
47.5916667	528.0850259
47.7583333	528.1348732
47.925	528.1126848
48.0916667	528.1767261
48.2583333	528.1548718
48.425	528.1645524
48.5916667	528.1883369
48.7583333	528.1556569
48.925	528.1563978
49.0916667	528.1403159
49.2583333	528.1194815
49.425	528.1450265
49.5916667	528.1479763
49.7583333	528.1660889
49.925	528.1097234
50.0916667	528.0878876
50.2583333	527.9430987
50.425	527.8255306
50.5916667	527.7758771
50.7583333	527.5625823
50.925	527.4076778
51.0916667	527.2341283
51.2583333	526.9890887
51.425	526.8105314
51.5916667	526.5490774
51.7583333	526.335529
51.925	526.106915
52.0916667	525.8461877
52.2583333	525.5896371
52.425	525.3576168
52.5916667	525.1209056
52.7583333	524.8230183
52.925	524.5527348
53.0916667	524.3086568
53.2583333	524.0252118
53.425	523.7948654
53.5916667	523.465449
53.7583333	523.185034
53.925	522.9070662
54.0916667	522.6746515
54.2583333	522.3854913
54.425	522.1314928
54.5916667	521.8380106
54.7583333	521.5293894
54.925	521.2215173
55.0916667	521.0075802
55.2583333	520.6661401
55.425	520.4460512
55.5916667	520.1612524
55.7583333	519.8595678
55.925	519.5884481
56.0916667	519.3055715
56.2583333	519.0505655
56.425	518.7767148
56.5916667	518.492089
