time	NH3_Unaged	NO_Unaged	NO2_Unaged	N2O_Unaged	NH3_2hr	NO_2hr	NO2_2hr	N2O_2hr	NH3_4hr	NO_4hr	NO2_4hr	N2O_4hr	NH3_8hr	NO_8hr	NO2_8hr	N2O_8hr	NH3_16hr	NO_16hr	NO2_16hr	N2O_16hr
0.091666667	-5.61527E-10	-3.53485E-09	-6.48472E-09	-2.1131E-09	6.51479E-11	-4.10533E-09	-7.58699E-09	-1.36025E-09	-1.48021E-09	-7.6583E-09	-6.1672E-09	-2.70375E-09	-9.81103E-11	1.2118E-11	-5.20491E-09	-1.94146E-09	-2.34051E-10	-2.64516E-09	-6.31468E-09	-8.04043E-10
0.258333333	-1.02814E-09	-3.33079E-09	-5.85356E-09	-2.04755E-09	-4.43747E-10	-6.02479E-09	-7.14317E-09	-1.80024E-09	-1.10849E-10	-3.37726E-09	-6.11214E-09	-2.49655E-09	-2.66214E-10	3.6385E-10	-5.24462E-09	-1.43971E-09	1.34743E-11	-4.18936E-09	-7.57627E-09	-1.3924E-09
0.425	-1.22668E-09	-5.65512E-10	-5.32531E-09	-2.5413E-09	-3.58445E-10	-3.65065E-09	-7.60071E-09	-2.60807E-09	-8.95669E-11	-4.7167E-09	-6.4728E-09	-2.13313E-09	4.04032E-10	-1.44215E-09	-7.8597E-09	-1.6067E-09	-3.038E-10	-6.60681E-09	-7.29476E-09	-1.3913E-09
0.591666667	-7.48154E-10	-4.01109E-09	-6.78193E-09	-2.47562E-09	-4.25978E-10	-7.39029E-10	-7.50681E-09	-1.79209E-09	-7.7248E-10	-4.7851E-09	-7.16532E-09	-1.97763E-09	8.00039E-11	-6.47566E-10	-6.90256E-09	-1.28821E-09	-9.86416E-10	-4.37696E-09	-6.39212E-09	-1.4345E-09
0.758333333	-6.96333E-10	-1.69526E-09	-6.71029E-09	-1.81118E-09	-5.94283E-10	-3.1112E-09	-6.58983E-09	-9.27364E-10	-2.23075E-10	-4.80362E-09	-7.38009E-09	-1.7964E-09	2.22948E-10	-2.76464E-09	-6.68368E-09	-1.34821E-09	-8.08076E-10	-4.8898E-09	-7.06811E-09	-1.17779E-09
0.925	-9.11637E-10	-1.51307E-09	-6.38728E-09	-1.45416E-09	-2.07464E-10	-6.26207E-09	-6.55116E-09	-2.43556E-09	-2.48133E-10	-4.96135E-09	-5.47102E-09	-1.75367E-09	-8.06319E-10	-1.35737E-09	-6.99003E-09	-1.23531E-09	-6.54319E-10	-5.32879E-09	-6.49051E-09	-1.08177E-09
1.09166667	-1.01382E-09	-2.52961E-09	-6.11336E-09	-1.71523E-09	-2.90166E-10	-7.26055E-09	-6.81378E-09	-2.72932E-09	-2.38552E-10	-3.81645E-10	-5.82592E-09	-2.85179E-09	-2.28399E-11	-5.05521E-09	-7.30116E-09	-6.48126E-10	-8.44987E-10	-1.95844E-09	-7.36491E-09	-2.61714E-10
1.25833333	-8.31093E-10	-1.02557E-09	-7.34157E-09	-1.25337E-09	-5.06907E-10	-3.28451E-09	-6.64481E-09	-2.80961E-09	1.32686E-10	-2.69516E-09	-6.27319E-09	-2.96166E-09	-3.2459E-10	2.67458E-12	-5.84717E-09	-1.84569E-09	-4.8325E-10	-5.61769E-09	-6.83855E-09	-5.28858E-10
1.425	-3.083E-10	-4.30606E-09	-6.18206E-09	-8.28422E-10	-3.70114E-10	-3.31648E-09	-5.88586E-09	-1.12665E-09	-7.79387E-10	-6.51355E-09	-6.39524E-09	-2.57822E-09	3.23464E-10	8.70493E-10	-5.37507E-09	-4.14747E-10	-6.66623E-10	-4.89048E-09	-5.98466E-09	-2.08047E-09
1.59166667	-9.26217E-10	-2.46786E-09	-6.64617E-09	-1.72687E-09	-6.94658E-10	-1.52603E-09	-6.32163E-09	-1.63643E-09	-1.6742E-10	-3.82014E-09	-6.67561E-09	-1.35848E-09	7.68603E-11	-1.7939E-09	-6.44863E-09	-2.08138E-09	1.97307E-11	-4.74082E-09	-8.34849E-09	-2.09536E-10
1.75833333	-7.23617E-10	-1.28957E-09	-7.30433E-09	-2.07511E-09	-8.05155E-10	-5.09914E-09	-6.18615E-09	-1.23099E-09	-3.56292E-10	-2.55688E-09	-7.21284E-09	-2.25329E-09	-2.48199E-10	-9.35398E-10	-6.0378E-09	-6.39227E-10	-4.07574E-10	-4.34975E-09	-6.63108E-09	-1.72658E-09
1.925	-1.17346E-09	-1.04754E-09	-6.4819E-09	-2.40532E-09	-1.26661E-09	-3.19288E-09	-6.89373E-09	-1.40133E-09	-4.58183E-10	-6.23208E-09	-6.82326E-09	-3.72738E-09	-3.02963E-10	-1.82947E-09	-7.59124E-09	-1.32262E-09	-5.10195E-10	-6.31836E-09	-7.16483E-09	-9.95641E-10
2.09166667	3.7966E-09	9.55787E-09	-1.62543E-09	2.78926E-09	1.16508E-08	9.41865E-09	-1.41089E-09	4.9882E-09	1.83351E-08	9.56449E-09	-1.37738E-09	2.85968E-09	3.68286E-08	1.78255E-08	-9.32803E-10	3.57913E-09	4.5822E-08	1.35274E-08	-3.30968E-10	5.21845E-09
2.25833333	4.68175E-08	1.15916E-08	-2.78487E-09	6.2669E-09	1.69031E-07	1.24625E-08	-2.85516E-09	8.00035E-09	2.43369E-07	1.78218E-08	-2.30183E-09	7.53142E-09	3.59798E-07	2.04414E-08	-2.96671E-09	7.65508E-09	4.31493E-07	1.64613E-08	-2.51134E-09	7.26475E-09
2.425	1.25301E-07	1.05955E-08	-5.37859E-09	5.61697E-09	5.20449E-07	1.10668E-08	-6.95125E-09	5.85828E-09	7.46017E-07	1.25963E-08	-6.26077E-09	4.59962E-09	1.02339E-06	1.698E-08	-5.55354E-09	5.07903E-09	1.19544E-06	1.65245E-08	-6.67313E-09	4.54148E-09
2.59166667	2.36625E-07	9.59533E-09	-4.23698E-09	4.46581E-09	1.05416E-06	1.07708E-08	-6.19433E-09	2.68486E-09	1.45688E-06	1.11542E-08	-6.39352E-09	2.56744E-09	1.86667E-06	1.5901E-08	-5.97237E-09	7.71062E-10	2.11023E-06	1.24087E-08	-6.68295E-09	7.23161E-10
2.75833333	3.88826E-07	8.89903E-09	-5.40282E-09	3.25524E-09	1.6855E-06	1.08208E-08	-6.81873E-09	9.21194E-10	2.21376E-06	1.06355E-08	-7.55406E-09	-7.36655E-10	2.67626E-06	1.33629E-08	-6.25177E-09	-4.29465E-10	2.9354E-06	5.79222E-09	-7.38881E-09	-6.16478E-10
2.925	5.8633E-07	6.86473E-09	-6.44138E-09	1.4908E-09	2.31621E-06	9.56139E-09	-8.11922E-09	-6.19537E-11	2.8931E-06	9.2537E-09	-7.17128E-09	-1.06869E-09	3.33272E-06	1.11823E-08	-6.67177E-09	-1.15319E-09	3.57995E-06	1.09524E-08	-5.91773E-09	-1.1731E-09
3.09166667	8.24071E-07	8.69612E-09	-6.15768E-09	1.83942E-09	2.88276E-06	1.01503E-08	-6.9141E-09	-2.21336E-09	3.44463E-06	7.47228E-09	-6.65579E-09	-1.34364E-09	3.82607E-06	1.24636E-08	-6.74674E-09	-8.65366E-10	4.04492E-06	6.03512E-09	-7.1416E-09	-1.05884E-09
3.25833333	1.09885E-06	5.67844E-09	-6.93859E-09	4.37277E-10	3.36079E-06	8.02978E-09	-7.76213E-09	-1.14926E-09	3.86976E-06	7.39144E-09	-6.93414E-09	-2.9307E-09	4.18641E-06	9.30578E-09	-7.30019E-09	-2.42341E-09	4.3607E-06	8.82489E-09	-7.92285E-09	-2.01662E-09
3.425	1.40055E-06	9.12492E-09	-6.57819E-09	-7.16511E-10	3.74978E-06	8.37835E-09	-7.35E-09	-1.39964E-09	4.19247E-06	8.50302E-09	-7.74431E-09	-2.45673E-09	4.42963E-06	1.06962E-08	-6.81495E-09	-1.23123E-09	4.57342E-06	6.79942E-09	-8.17714E-09	-2.10786E-09
3.59166667	1.7136E-06	7.41255E-09	-5.19861E-09	-1.53192E-09	4.05667E-06	8.26409E-09	-7.27549E-09	-1.09088E-09	4.41724E-06	1.09632E-08	-6.98406E-09	-2.59036E-09	4.60081E-06	1.16233E-08	-6.26536E-09	-1.07611E-09	4.71591E-06	6.14508E-09	-7.67353E-09	-1.2484E-09
3.75833333	2.03206E-06	1.07127E-08	-6.40139E-09	-1.58404E-09	4.28692E-06	1.03056E-08	-7.70252E-09	-1.85287E-09	4.58032E-06	8.88314E-09	-6.40737E-09	-3.07263E-09	4.7232E-06	9.50552E-09	-6.0063E-09	-1.42667E-09	4.82632E-06	6.89061E-09	-7.052E-09	-1.92584E-09
3.925	2.34873E-06	7.90733E-09	-7.03213E-09	-2.02057E-09	4.46405E-06	9.36583E-09	-7.62298E-09	-2.32003E-09	4.70471E-06	7.971E-09	-6.47228E-09	-3.37359E-09	4.82171E-06	1.11567E-08	-5.92072E-09	-1.48091E-09	4.91135E-06	8.67241E-09	-6.99051E-09	-8.75848E-10
4.09166667	2.65248E-06	6.94982E-09	-7.01262E-09	-2.6211E-09	4.59572E-06	7.14393E-09	-8.31714E-09	-2.82726E-09	4.79622E-06	9.59159E-09	-6.99739E-09	-3.20119E-09	4.89323E-06	8.37926E-09	-7.62057E-09	-2.22685E-09	4.97409E-06	1.03701E-08	-6.78422E-09	-1.99434E-09
4.25833333	2.93758E-06	7.24566E-09	-7.31604E-09	-2.34862E-09	4.7014E-06	1.14134E-08	-7.07104E-09	-1.49202E-09	4.87228E-06	1.10099E-08	-7.59554E-09	-4.52643E-09	4.95084E-06	1.14186E-08	-7.40063E-09	-2.20072E-09	5.02633E-06	5.30296E-09	-6.59538E-09	-1.8156E-09
4.425	3.2003E-06	8.13123E-09	-6.78992E-09	-1.4689E-09	4.78528E-06	3.73381E-09	-7.52104E-09	-3.07317E-09	4.93567E-06	1.07948E-08	-6.49123E-09	-3.19344E-09	4.99752E-06	1.04763E-08	-5.90648E-09	-2.30156E-09	5.06769E-06	8.64364E-09	-7.01524E-09	-2.52163E-09
4.59166667	3.44894E-06	7.86337E-09	-8.10916E-09	-1.45094E-09	4.85681E-06	9.76501E-09	-8.1025E-09	-2.09405E-09	4.98437E-06	9.92372E-09	-6.93867E-09	-3.00027E-09	5.03617E-06	1.2801E-08	-7.05596E-09	-1.79479E-09	5.10713E-06	1.10474E-08	-7.75676E-09	-1.85953E-09
4.75833333	3.6771E-06	9.94075E-09	-7.16516E-09	-2.45087E-09	4.90855E-06	8.21077E-09	-7.77282E-09	-1.9073E-09	5.02789E-06	8.25765E-09	-5.328E-09	-2.76813E-09	5.07059E-06	1.28181E-08	-6.80824E-09	-1.95546E-09	5.13255E-06	5.79187E-09	-8.11296E-09	-2.13063E-09
4.925	3.87652E-06	1.04219E-08	-6.84096E-09	-1.17079E-09	4.95972E-06	9.37645E-09	-7.99071E-09	-2.03606E-09	5.06502E-06	7.95586E-09	-6.32702E-09	-3.76763E-09	5.10054E-06	1.27857E-08	-6.47987E-09	-1.5943E-09	5.15868E-06	8.92867E-09	-7.91042E-09	-2.80241E-09
5.09166667	4.06092E-06	1.05998E-08	-7.88359E-09	-3.11954E-09	4.99397E-06	9.40884E-09	-6.87472E-09	-1.95976E-09	5.09596E-06	9.86659E-09	-7.79719E-09	-2.64573E-09	5.13019E-06	9.80043E-09	-7.00152E-09	-2.30519E-09	5.17782E-06	7.10885E-09	-7.1583E-09	-2.32199E-09
5.25833333	4.2233E-06	6.22956E-09	-6.66634E-09	-1.37628E-09	5.02915E-06	9.08672E-09	-6.74924E-09	-2.23854E-09	5.1229E-06	9.48836E-09	-7.79095E-09	-2.56146E-09	5.14786E-06	1.19247E-08	-7.85839E-09	-2.55671E-09	5.19368E-06	8.9685E-09	-7.46979E-09	-1.62497E-09
5.425	4.35534E-06	5.67945E-09	-5.68419E-09	-3.93286E-09	5.06381E-06	1.20976E-08	-8.01419E-09	-2.60323E-09	5.14618E-06	1.004E-08	-8.19542E-09	-2.92609E-09	5.16935E-06	1.39987E-08	-6.12151E-09	-1.97619E-09	5.20644E-06	7.38661E-09	-7.95464E-09	-2.61001E-09
5.59166667	4.46815E-06	5.78267E-09	-6.96729E-09	-2.26994E-09	5.08799E-06	6.50739E-09	-8.59743E-09	-2.66841E-09	5.16496E-06	1.06424E-08	-6.67856E-09	-2.17519E-09	5.17921E-06	1.32786E-08	-6.91266E-09	-1.96705E-09	5.21685E-06	1.02797E-08	-8.18842E-09	-1.61306E-09
5.75833333	4.56563E-06	1.10508E-08	-7.18252E-09	-2.56545E-09	5.11343E-06	9.7287E-09	-6.54798E-09	-1.51514E-09	5.18387E-06	8.34101E-09	-5.63542E-09	-3.58718E-09	5.19446E-06	1.3157E-08	-6.43821E-09	-2.22264E-09	5.22747E-06	7.98433E-09	-6.45564E-09	-2.35593E-09
5.925	4.64785E-06	1.26913E-08	-6.16127E-09	-2.41609E-09	5.13133E-06	7.57335E-09	-6.37689E-09	-2.68389E-09	5.19639E-06	7.19229E-09	-6.65959E-09	-3.33104E-09	5.20531E-06	7.7075E-09	-6.53649E-09	-1.01225E-09	5.23982E-06	8.86651E-09	-6.60717E-09	-2.54003E-09
6.09166667	4.7173E-06	1.17263E-08	-6.29864E-09	-2.72084E-09	5.14952E-06	1.16895E-08	-8.19246E-09	-2.04112E-09	5.21009E-06	8.87385E-09	-6.8414E-09	-2.98182E-09	5.21464E-06	1.47897E-08	-5.64915E-09	-3.05921E-09	5.24851E-06	9.08599E-09	-7.06435E-09	-1.99483E-09
6.25833333	4.78192E-06	9.39861E-09	-6.89578E-09	-2.59892E-09	5.1613E-06	9.80905E-09	-7.42178E-09	-2.52759E-09	5.22115E-06	7.79774E-09	-6.89819E-09	-3.10641E-09	5.22891E-06	9.86876E-09	-6.27983E-09	-2.32683E-09	5.25325E-06	6.30886E-09	-8.01694E-09	-1.47911E-09
6.425	4.83267E-06	1.20629E-08	-7.15393E-09	-2.208E-09	5.18041E-06	1.10153E-08	-7.6218E-09	-2.87547E-09	5.23179E-06	1.11014E-08	-6.65177E-09	-2.31699E-09	5.23397E-06	1.14319E-08	-5.27032E-09	-1.22161E-09	5.26055E-06	9.60842E-09	-7.50231E-09	-2.4276E-09
6.59166667	4.87764E-06	1.24236E-08	-7.26647E-09	-1.69711E-09	5.19143E-06	7.19477E-09	-7.62962E-09	-2.29921E-09	5.24833E-06	7.29007E-09	-6.85946E-09	-3.33714E-09	5.23859E-06	8.02024E-09	-7.44423E-09	-2.83117E-09	5.26799E-06	1.18282E-08	-7.90926E-09	-1.85331E-09
6.75833333	4.91577E-06	8.86887E-09	-6.49896E-09	-3.34666E-09	5.20102E-06	1.02734E-08	-7.48681E-09	-2.19492E-09	5.25069E-06	1.16423E-08	-6.53053E-09	-3.24624E-09	5.24643E-06	1.2804E-08	-5.18673E-09	-1.38984E-09	5.27133E-06	9.32122E-09	-7.57542E-09	-1.42418E-09
6.925	4.94856E-06	9.05875E-09	-5.67127E-09	-2.79594E-09	5.20884E-06	1.13086E-08	-8.73268E-09	-2.41113E-09	5.26068E-06	1.02362E-08	-6.49032E-09	-3.54788E-09	5.2523E-06	1.15664E-08	-6.41661E-09	-2.28262E-09	5.27687E-06	5.4221E-09	-8.03848E-09	-3.4243E-09
7.09166667	4.97325E-06	7.87689E-09	-6.33842E-09	-2.64073E-09	5.21654E-06	6.84453E-09	-6.38261E-09	-3.01302E-09	5.26726E-06	1.02308E-08	-8.1488E-09	-3.49208E-09	5.25812E-06	1.17592E-08	-5.33248E-09	-2.36476E-09	5.27892E-06	8.28458E-09	-7.7124E-09	-1.97061E-09
7.25833333	5.00006E-06	9.92007E-09	-5.6831E-09	-2.65114E-09	5.22943E-06	6.27557E-09	-6.48359E-09	-1.48043E-09	5.27551E-06	1.05465E-08	-6.87289E-09	-3.93652E-09	5.26365E-06	1.31648E-08	-6.08359E-09	-2.4533E-09	5.28141E-06	1.04333E-08	-8.85878E-09	-7.13908E-10
7.425	5.02046E-06	1.10269E-08	-7.79628E-09	-2.13056E-09	5.23668E-06	9.22515E-09	-7.68828E-09	-1.65137E-09	5.2835E-06	9.50768E-09	-7.50775E-09	-4.15828E-09	5.26898E-06	1.44655E-08	-6.94561E-09	-1.7405E-09	5.28655E-06	1.01788E-08	-8.68502E-09	-2.37047E-09
7.59166667	5.03724E-06	1.24826E-08	-6.45683E-09	-3.59344E-09	5.24177E-06	8.3997E-09	-7.65574E-09	-2.01584E-09	5.28561E-06	8.42745E-09	-5.5267E-09	-3.1134E-09	5.27197E-06	1.10217E-08	-6.37013E-09	-1.88381E-09	5.2879E-06	8.64688E-09	-6.73265E-09	-2.80584E-09
7.75833333	5.05498E-06	1.08545E-08	-5.69435E-09	-2.49009E-09	5.24508E-06	9.16228E-09	-7.6445E-09	-2.11231E-09	5.28673E-06	9.05479E-09	-7.49748E-09	-2.59132E-09	5.28015E-06	1.06519E-08	-6.39424E-09	-2.7316E-09	5.28918E-06	9.9038E-09	-7.07454E-09	-1.30035E-09
7.925	5.06471E-06	9.49583E-09	-6.68743E-09	-2.14676E-09	5.24993E-06	1.08093E-08	-6.75068E-09	-2.74825E-09	5.29707E-06	7.60979E-09	-6.77795E-09	-4.22976E-09	5.28133E-06	1.46915E-08	-6.78784E-09	-1.57247E-09	5.29411E-06	1.02231E-08	-7.39325E-09	-2.58015E-09
8.09166667	5.0815E-06	1.25895E-08	-6.60831E-09	-2.28107E-09	5.25722E-06	8.14545E-09	-8.3182E-09	-1.68479E-09	5.29614E-06	1.14995E-08	-7.36335E-09	-3.58546E-09	5.28331E-06	1.22606E-08	-6.54322E-09	-2.87487E-09	5.29363E-06	9.75151E-09	-7.57457E-09	-2.63287E-09
8.25833333	5.09728E-06	7.16134E-09	-7.16081E-09	-2.87796E-09	5.26473E-06	7.59816E-09	-7.13242E-09	-1.63272E-09	5.30162E-06	8.68487E-09	-6.33035E-09	-3.48183E-09	5.28801E-06	9.07735E-09	-5.92677E-09	-2.19048E-09	5.29556E-06	6.16269E-09	-7.25245E-09	-1.77021E-09
8.425	5.10266E-06	1.09993E-08	-7.57503E-09	-3.47557E-09	5.26542E-06	8.12512E-09	-7.91879E-09	-2.38627E-09	5.30557E-06	8.08655E-09	-6.30834E-09	-3.54611E-09	5.29324E-06	1.14753E-08	-7.86465E-09	-1.97601E-09	5.29116E-06	5.94644E-09	-7.30577E-09	-9.55976E-10
