time	H2O_NOSCR	O2_NOSCR	NH3_NOSCR	NO_NOSCR	NO2_NOSCR	H2O_FastSCR	O2_FastSCR	NH3_FastSCR	NO_FastSCR	NO2_FastSCR	H2O_NO2SCR	O2_NO2SCR	NH3_NO2SCR	NO_NO2SCR	NO2_NO2SCR
0.091666667	0.001136309	0.002322775	0	6.96833E-06	0	0.001131346	0.002323562	0	3.48534E-06	3.48534E-06	0.00072959	0.001486496	0	6.67065E-09	3.28431E-06
0.258333333	0.001134924	0.002322515	0	6.96755E-06	0	0.001134859	0.002323683	0	3.48552E-06	3.48552E-06	0.00072957	0.001486456	0	6.67047E-09	3.28422E-06
0.425	0.001134198	0.002322525	0	6.96758E-06	0	0.001135643	0.002323486	0	3.48523E-06	3.48523E-06	0.000729555	0.001486424	0	6.67033E-09	3.28416E-06
0.591666667	0.001137071	0.002322451	0	6.96735E-06	0	0.001136905	0.002323489	0	3.48523E-06	3.48523E-06	0.000729586	0.001486489	0	6.67062E-09	3.2843E-06
0.758333333	0.00113393	0.002322327	0	6.96698E-06	0	0.001135686	0.002323503	0	3.48526E-06	3.48526E-06	0.000729555	0.001486424	0	6.67033E-09	3.28416E-06
0.925	0.001138941	0.002322276	0	6.96683E-06	0	0.001133704	0.002323431	0	3.48515E-06	3.48515E-06	0.000729562	0.00148644	0	6.6704E-09	3.28419E-06
1.09166667	0.001135667	0.002322126	0	6.96638E-06	0	0.001134963	0.00232327	0	3.4849E-06	3.4849E-06	0.000729565	0.001486444	0	6.67042E-09	3.2842E-06
1.25833333	0.001134969	0.002322155	0	6.96646E-06	0	0.001133226	0.002323341	0	3.48501E-06	3.48501E-06	0.00072951	0.001486334	0	6.66992E-09	3.28396E-06
1.425	0.001138141	0.002322194	0	6.96658E-06	0	0.001137438	0.002323366	0	3.48505E-06	3.48505E-06	0.000729517	0.001486347	0	6.66998E-09	3.28398E-06
1.59166667	0.001135267	0.002322016	0	6.96605E-06	0	0.001133951	0.002323363	0	3.48504E-06	3.48504E-06	0.000729518	0.001486349	0	6.66999E-09	3.28399E-06
1.75833333	0.001135623	0.002322231	0	6.96669E-06	0	0.001133687	0.002323192	0	3.48479E-06	3.48479E-06	0.000729522	0.001486358	0	6.67003E-09	3.28401E-06
