time	NH3_NOSCR	NO_NOSCR	NO2_NOSCR	N2O_NOSCR	NH3_FastSCR	NO_FastSCR	NO2_FastSCR	N2O_FastSCR	NH3_NO2SCR	NO_NO2SCR	NO2_NO2SCR	N2O_NO2SCR
0.091666667	-1.22612E-10	6.71143E-06	1.48891E-07	5.41536E-10	-2.36273E-09	3.39568E-06	3.44488E-06	-1.52655E-09	1.89214E-11	2.33938E-06	8.1557E-07	3.71407E-09
0.258333333	-6.37688E-10	6.70581E-06	1.52235E-07	3.91346E-10	-1.44514E-09	3.39876E-06	3.44175E-06	-6.71849E-10	-2.37648E-10	2.32526E-06	8.0824E-07	3.94719E-09
0.425	-6.94293E-10	6.70604E-06	1.51693E-07	7.87194E-10	-1.49983E-09	3.39868E-06	3.44837E-06	-1.17451E-09	-5.64546E-10	2.29424E-06	7.95286E-07	4.75023E-09
0.591666667	-2.16583E-10	6.70974E-06	1.51038E-07	-6.25989E-10	-1.63733E-09	3.40091E-06	3.44775E-06	-1.65208E-09	-6.10347E-10	2.267E-06	7.80043E-07	4.53094E-09
0.758333333	-6.91958E-10	6.70869E-06	1.51465E-07	-1.16749E-09	-1.23512E-09	3.3981E-06	3.44673E-06	-2.17989E-09	-4.90466E-10	2.25025E-06	7.73756E-07	4.50737E-09
0.925	-1.06766E-09	6.70353E-06	1.51795E-07	1.92145E-11	-1.39133E-09	3.4027E-06	3.43961E-06	-1.25265E-09	-6.8549E-10	2.25531E-06	7.74232E-07	4.23342E-09
1.09166667	-9.18877E-10	6.70342E-06	1.51549E-07	5.86734E-10	-1.11807E-09	3.39586E-06	3.44737E-06	-1.41324E-09	-3.11487E-10	2.26887E-06	7.80089E-07	4.21534E-09
1.25833333	-9.17065E-10	6.69702E-06	1.50851E-07	-4.60198E-10	-1.09444E-09	3.40172E-06	3.43622E-06	-5.78726E-10	-7.60594E-10	2.28905E-06	7.90238E-07	3.93708E-09
1.425	-6.36753E-10	6.70639E-06	1.50272E-07	7.87474E-10	-2.11355E-09	3.40408E-06	3.44654E-06	-1.66438E-09	-5.4886E-10	2.30603E-06	7.987E-07	4.05236E-09
1.59166667	-9.90925E-10	6.70251E-06	1.50838E-07	-7.27023E-12	-1.60528E-09	3.3983E-06	3.43827E-06	-1.87173E-09	-2.01947E-10	2.32653E-06	8.08738E-07	4.0291E-09
1.75833333	-9.99374E-10	6.70706E-06	1.50478E-07	-3.20649E-10	-2.22475E-09	3.39663E-06	3.44354E-06	-1.58745E-09	-2.62742E-10	2.3374E-06	8.15176E-07	3.5938E-09
1.925	-2.19171E-10	6.69987E-06	1.502E-07	-2.04488E-10	-2.16564E-09	3.40218E-06	3.43956E-06	1.54189E-10	-2.66234E-10	2.34215E-06	8.2038E-07	4.40918E-09
2.09166667	-1.15318E-09	6.70508E-06	1.501E-07	7.49272E-10	-1.64972E-09	3.40649E-06	3.4422E-06	-2.12101E-10	-5.4018E-10	1.32741E-06	3.63082E-07	1.34503E-07
2.25833333	2.9119E-10	6.70229E-06	1.50768E-07	-7.12275E-11	-1.67571E-09	3.39835E-06	3.44048E-06	-8.77189E-10	-1.59147E-10	1.09324E-06	1.93726E-07	1.32339E-07
2.425	-3.69262E-10	6.70802E-06	1.49165E-07	-2.02186E-09	-2.04712E-09	3.39873E-06	3.44788E-06	-1.00223E-09	5.29816E-10	1.09996E-06	1.79082E-07	1.30478E-07
2.59166667	-1.06675E-09	6.7026E-06	1.49296E-07	-6.38212E-11	-2.07232E-09	3.40082E-06	3.44546E-06	-8.5951E-10	4.51934E-10	1.10186E-06	1.7643E-07	1.29412E-07
2.75833333	-4.81603E-10	6.69936E-06	1.51285E-07	-7.59712E-10	-1.34407E-09	3.39719E-06	3.44661E-06	-8.8895E-10	4.75114E-10	1.10492E-06	1.75291E-07	1.29978E-07
2.925	-2.9615E-10	6.69948E-06	1.5111E-07	-7.61107E-10	-7.56695E-10	3.40303E-06	3.44306E-06	-2.40567E-09	7.06488E-10	1.10366E-06	1.75846E-07	1.2917E-07
3.09166667	-1.54556E-09	6.70286E-06	1.50806E-07	-7.95477E-11	-8.89474E-10	3.39362E-06	3.44952E-06	-2.33096E-09	8.07753E-10	1.10669E-06	1.75349E-07	1.28457E-07
3.25833333	-2.77993E-10	6.69664E-06	1.51334E-07	-3.53394E-10	-1.32076E-09	3.40047E-06	3.44364E-06	-4.5863E-12	5.11652E-10	1.10653E-06	1.75149E-07	1.28425E-07
3.425	-1.02416E-09	6.70163E-06	1.51029E-07	-6.58003E-10	-2.00979E-09	3.3996E-06	3.44039E-06	-1.10588E-09	1.96863E-09	1.1091E-06	1.75217E-07	1.28414E-07
3.59166667	-3.96846E-10	6.70049E-06	1.50652E-07	3.33605E-10	-1.74884E-09	3.40269E-06	3.4498E-06	-2.07376E-09	1.4227E-09	1.11125E-06	1.75483E-07	1.28477E-07
3.75833333	-6.20959E-10	6.70292E-06	1.50051E-07	-2.11033E-11	-1.66969E-09	3.40107E-06	3.44606E-06	-1.6213E-09	1.24959E-09	1.10856E-06	1.75385E-07	1.28043E-07
3.925	-6.78848E-11	6.70807E-06	1.51009E-07	3.47202E-10	-1.38753E-09	3.40066E-06	3.4488E-06	-3.43118E-09	1.67487E-09	1.1088E-06	1.74903E-07	1.27203E-07
4.09166667	-4.75797E-10	6.70174E-06	1.50146E-07	-2.69471E-10	-2.60416E-09	3.40292E-06	3.44315E-06	-1.86825E-09	1.52641E-09	1.11055E-06	1.76113E-07	1.27841E-07
4.25833333	7.3867E-11	6.69636E-06	1.51932E-07	-6.74655E-10	-1.29035E-09	3.40398E-06	3.44429E-06	-4.87616E-10	8.13712E-10	1.11358E-06	1.75506E-07	1.28564E-07
4.425	-9.51069E-10	6.70082E-06	1.50413E-07	-3.9386E-10	-1.43927E-09	3.39958E-06	3.44589E-06	-7.77071E-10	1.78016E-09	1.11295E-06	1.76178E-07	1.28082E-07
4.59166667	-9.76731E-10	6.70281E-06	1.50257E-07	4.23816E-11	-2.22221E-09	3.40031E-06	3.44729E-06	-4.30258E-10	1.39319E-09	1.11026E-06	1.75262E-07	1.27699E-07
4.75833333	4.56223E-11	6.70851E-06	1.50935E-07	1.72732E-10	-1.76387E-09	3.39678E-06	3.44663E-06	-1.17613E-09	1.75124E-09	1.11154E-06	1.75908E-07	1.27011E-07
4.925	-1.18978E-09	6.69721E-06	1.50728E-07	-6.4888E-10	-1.63727E-09	3.40034E-06	3.45249E-06	-1.08788E-09	9.71604E-10	1.10936E-06	1.76098E-07	1.27773E-07
5.09166667	-6.81352E-11	5.9471E-06	1.32693E-07	1.42795E-08	-9.42529E-10	2.37588E-06	2.62945E-06	5.75618E-08	1.27183E-09	1.1132E-06	1.75641E-07	1.26746E-07
