time	T_in_NOSCR	T_mid_NOSCR	T_out_NOSCR	T_in_FastSCR	T_mid_FastSCR	T_out_FastSCR	T_in_NO2SCR	T_mid_NO2SCR	T_out_NO2SCR
0.091666667	523.9230949	525.5173112	524.783795	523.4398549	525.1092515	524.6060745	819.4714193	820.6603207	820.1575564
0.258333333	523.9621435	525.5673039	524.8425039	523.3909968	525.068821	524.578887	819.5125882	820.6760949	820.1664789
0.425	523.9596453	525.6079427	524.840271	523.4372602	525.0725382	524.623205	819.5440477	820.6838748	820.1871061
0.591666667	524.0220862	525.6086146	524.8570263	523.4526682	525.063122	524.6225032	819.5229706	820.6632713	820.1477662
0.758333333	523.9878167	525.6400065	524.8850453	523.4599031	525.1068995	524.6193304	819.4770736	820.6997733	820.175609
0.925	524.0071348	525.6209153	524.8966845	523.5066986	525.1324966	524.6355887	819.5483406	820.6938765	820.2025739
1.09166667	524.0827592	525.657492	524.9305072	523.5211926	525.125631	524.6720633	819.5212094	820.6996833	820.2098448
1.25833333	524.0385295	525.6707995	524.9240312	523.5044363	525.1059013	524.6559627	819.5484576	820.7157357	820.2186691
1.425	524.0534437	525.6380995	524.915206	523.5173313	525.1301836	524.650474	819.5366992	820.708615	820.2016318
1.59166667	524.0612412	525.6692634	524.9553314	523.4877769	525.129065	524.6510056	819.5715323	820.7491353	820.1793724
1.75833333	524.0602458	525.676648	524.9068275	523.4790193	525.1505614	524.6897762	819.600543	820.7229682	820.1869496
1.925	524.0768912	525.6805719	524.9325935	523.5145893	525.1438779	524.6626209	819.558037	820.7031017	820.1529619
2.09166667	524.0225519	525.6199989	524.8468095	523.5211637	525.1169466	524.6135291	819.5780315	821.0401857	820.2057264
2.25833333	524.0139024	525.6221674	524.8384126	523.5343197	525.1333927	524.6112957	819.6382227	822.3130894	820.6236797
2.425	524.0040517	525.6273302	524.8251976	523.5139508	525.1798986	524.6831547	819.6880716	822.9922604	821.2771521
2.59166667	524.030057	525.6510889	524.8549756	523.5666782	525.1888718	524.6764236	819.6753524	823.153906	821.5814576
2.75833333	524.0588389	525.6525307	524.8818549	523.5480235	525.1631851	524.6533735	819.7102911	823.2052322	821.668323
2.925	524.0220724	525.6601227	524.8600126	523.5814948	525.1610679	524.6419395	819.727465	823.2399795	821.7705852
3.09166667	524.0759553	525.669166	524.8479315	523.5627199	525.1806663	524.6713915	819.7186887	823.2397332	821.8282062
3.25833333	524.0409976	525.6714351	524.8567843	523.5648114	525.1651949	524.6533576	819.7446304	823.2978933	821.8454273
3.425	524.0916794	525.6469766	524.9024615	523.5776961	525.2002591	524.677432	819.7177473	823.3193955	821.8787762
3.59166667	524.0962621	525.6754778	524.8912593	523.58483	525.2024494	524.6799793	819.7988374	823.3648382	821.9272476
3.75833333	524.0683302	525.7239495	524.9349774	523.5971702	525.198955	524.7197086	819.7703033	823.3386816	821.9724493
3.925	524.0642702	525.6958744	524.8960356	523.635575	525.2242427	524.7139052	819.7804286	823.3795073	821.9385744
4.09166667	524.1515929	525.7455931	525.0071382	523.6127288	525.1884287	524.6822408	819.7341601	823.3188007	821.9087512
4.25833333	524.1306622	525.7445013	524.9621932	523.627876	525.2265657	524.6960525	819.707277	823.351805	821.9528635
4.425	524.1734129	525.7730897	525.0056646	523.6043072	525.2373183	524.6895762	819.7327224	823.3612804	821.9581089
4.59166667	524.1684858	525.7875131	524.9538238	523.6061871	525.2205647	524.6753022	819.7304203	823.3536006	821.9711529
4.75833333	524.18511	525.7436874	524.9635922	523.5958932	525.2237002	524.6950303	819.74098	823.3254722	821.9646236
4.925	524.1595758	525.817845	525.0011655	523.6235196	525.2495065	524.7093634	819.5832595	823.3199527	821.9217124
5.09166667	524.1775617	525.9034374	525.0244466	523.6505228	525.4516501	524.729453	819.5428064	823.3591067	821.9384607
5.25833333	524.2054237	526.504002	525.1685556	523.700632	526.3032128	524.9948845	819.543722	823.370457	821.9510444
5.425	524.2263562	527.1258717	525.5434207	523.6389647	527.1235182	525.5006994	819.5053234	823.3488054	821.9341475
5.59166667	524.2069363	527.5049023	525.9166166	523.6573797	527.502169	525.9277554	819.5441071	823.3673116	821.9456425
5.75833333	524.2417279	527.7105404	526.1475254	523.6626717	527.677952	526.1830055	819.5833454	823.3869113	822.0057299
5.925	524.2332934	527.8599107	526.3004777	523.6155578	527.7632749	526.3157311	819.5718252	823.3881614	822.0009059
6.09166667	524.209142	528.0059589	526.4327863	523.6683809	527.8330458	526.4565751	819.5409945	823.3927328	821.9988603
6.25833333	524.1802017	528.1025781	526.5003031	523.6594887	527.849741	526.496065	819.5827499	823.3824261	822.013163
6.425	524.2134876	528.198653	526.6358355	523.6921481	527.9713295	526.6270532	819.5565857	823.3971232	822.0070827
6.59166667	524.2133563	528.2903446	526.7467735	523.6682126	527.988162	526.6606491	819.566219	823.4302856	822.0274688
6.75833333	524.1821006	528.3676572	526.8481291	523.6536641	528.0197927	526.7519583	819.5948943	823.4620109	822.0335761
6.925	524.1944208	528.4223148	526.9203389	523.6689527	528.0402893	526.7811181	819.623002	823.4451903	822.054501
7.09166667	524.233112	528.5155855	527.0128725	523.7034006	528.0625118	526.7862791	819.5827723	823.4719685	822.0800687
7.25833333	524.2285065	528.5694253	527.1157708	523.6895311	528.1212305	526.8280629	819.6045205	823.4714711	822.085496
7.425	524.2552728	528.5757513	527.1127653	523.7051241	528.1210335	526.899345	819.6293047	823.4833402	822.1092884
7.59166667	524.2284703	528.614363	527.1617375	523.6930094	528.1165237	526.9368162	819.6240605	823.4820151	822.089221
7.75833333	524.2286664	528.6619589	527.2282422	523.7187755	528.1574433	526.9515996	819.5975135	823.4742903	822.0750025
7.925	524.2692284	528.7245799	527.2900995	523.6792867	528.1547687	526.9679456	819.5422011	823.4517052	822.0789691
8.09166667	524.2975735	528.7100073	527.2833278	523.6818188	528.1555308	526.9867474	819.6037898	823.443263	822.0222085
8.25833333	524.2077573	528.6862141	527.2634923	523.6988853	528.182538	527.0037652	819.5394239	823.4125433	822.0217261
8.425	524.2421385	528.7396678	527.3772114	523.6977803	528.2005056	526.9952212	819.6162675	823.4736445	822.0373701
8.59166667	524.2561643	528.759366	527.3537558	523.6929825	528.2114141	527.0562594	819.5799558	823.487553	822.0596375
8.75833333	524.2656236	528.7858956	527.4124832	523.769294	528.2753854	527.1664381	819.5791679	823.4493989	822.0333075
8.925	524.2736786	528.8019925	527.4508816	523.7426827	528.2958567	527.1787378	819.5917386	823.4361314	821.9760355
9.09166667	524.2712025	528.8065124	527.4773644	523.7546268	528.3287828	527.1998598	819.6425703	823.476085	822.0040673
9.25833333	524.2975105	528.8555173	527.4836076	523.7072527	528.2663896	527.1231372	819.5916013	823.4372607	822.0197508
9.425	524.2993132	528.8973739	527.5787656	523.6653417	528.2902303	527.1863184	819.6219778	823.4602323	822.018982
9.59166667	524.3248025	528.9084782	527.5947369	523.6964105	528.2861564	527.1511616	819.6395177	823.4454176	822.0519697
9.75833333	524.3211601	528.9247321	527.6040862	523.691245	528.2730811	527.1681519	819.6577933	823.4785554	822.0625553
9.925	524.3033457	528.8974394	527.6291734	523.7278485	528.2569085	527.1705238	819.605363	823.4492465	822.0163131
10.0916667	524.327739	528.9434074	527.6270203	523.6985991	528.2433626	527.2055287	819.6708979	823.4636127	822.0223479
10.2583333	524.3075389	528.9514359	527.6663593	523.7342816	528.2789658	527.2299584	819.5520451	823.4948717	821.985699
10.425	524.3295727	529.0090246	527.6964835	523.692746	528.2779985	527.2165692	819.3309676	823.4377767	821.8609329
10.5916667	524.3797966	529.0080044	527.7244327	523.6964146	528.3057385	527.1958018	819.1124901	823.3067796	821.6834553
10.7583333	524.3818583	529.034579	527.7705507	523.7273905	528.3018097	527.2365699	818.7415324	823.0484992	821.3204375
10.925	524.3645955	529.013671	527.7438706	523.692691	528.2566416	527.1838404	818.3726807	822.7416471	820.8677558
11.0916667	524.3508604	529.0001743	527.7101613	523.742389	528.2871333	527.2277451	817.9329777	822.2945295	820.3023375
11.2583333	524.34762	528.9785815	527.7378928	523.7154204	528.3236653	527.2509396	817.5083133	821.8082465	819.6958471
11.425	524.353892	529.0510302	527.8036694	523.728599	528.3067262	527.2632073	817.0203515	821.2888907	818.997518
11.5916667	524.3472126	529.0347138	527.7461535	523.7669938	528.308619	527.281639	816.4605997	820.6933878	818.2651093
11.7583333	524.3671659	529.0516154	527.7421494	523.7508051	528.279318	527.2279107	815.9370351	820.0730724	817.5215339
11.925	524.3601726	529.0531546	527.7488095	523.7183767	528.2747934	527.2375517	815.2727235	819.3909142	816.6404513
12.0916667	524.3463544	529.0157147	527.7720542	523.66019	528.2715226	527.160417	814.61954	818.6794571	815.8070709
12.2583333	524.4052736	529.060958	527.8056502	523.7364873	528.3186576	527.2737431	813.9408026	817.9832096	814.9405002
12.425	524.3761445	529.0640588	527.809045	523.7150741	528.3220609	527.2419693	813.2508183	817.2683101	814.067435
12.5916667	524.3685398	529.0652441	527.785748	523.7114623	528.2676939	527.242751	812.5754049	816.4985815	813.1860813
12.7583333	524.4209592	529.1076063	527.8381705	523.734166	528.2825445	527.2309666	811.880015	815.7777374	812.2896268
12.925	524.3803685	529.101585	527.8657306	523.7102442	528.2770616	527.2421412	811.1308356	814.9912002	811.3979374
13.0916667	524.3796374	529.106313	527.8482967	523.7001198	528.2956371	527.2454608	810.4329181	814.2318174	810.5117189
13.2583333	524.3906684	529.1159452	527.8982829	523.703691	528.2755665	527.2525155	809.6842937	813.4372032	809.5484633
13.425	524.4057703	529.1279732	527.8889392	523.686784	528.2911867	527.2370039	808.9611691	812.6763556	808.6987746
13.5916667	524.4559641	529.1520312	527.921309	523.728443	528.3092717	527.2982538	808.2358761	811.8694772	807.7859282
13.7583333	524.4494077	529.1608465	527.947211	523.6864038	528.3041029	527.2839037	807.5118964	811.1145947	806.9457245
13.925	524.4407261	529.1283267	527.914568	523.6877135	528.294542	527.3096443	806.7569303	810.3254123	805.9977723
14.0916667	524.4530241	529.1476467	527.9113114	523.7022377	528.3194019	527.3005659	806.0370804	809.5199306	805.1240225
14.2583333	524.4407397	529.1236214	527.8808707	523.7098256	528.3096535	527.3355502	805.2724064	808.726453	804.197794
14.425	524.4096927	529.1389736	527.9052481	523.7062478	528.3331172	527.3043341	804.5639673	807.9654319	803.3647009
14.5916667	524.4387631	529.1500564	527.9575491	523.6873089	528.2851561	527.3221785	803.8213694	807.1390375	802.4371553
14.7583333	524.4677024	529.1598394	527.9226844	523.6938909	528.3384491	527.3275817	803.0003485	806.3568899	801.560889
14.925	524.4836056	529.1677925	527.9961028	523.7395129	528.3444684	527.3823514	802.2773088	805.5613627	800.6455109
15.0916667	524.4541282	529.1550361	527.9195432	523.7249417	528.3291596	527.3544405	801.5745515	804.7833888	799.8178211
15.2583333	524.4647394	529.1879317	528.0005324	523.7395306	528.3040617	527.3887575	800.8332857	803.9639947	798.9542727
15.425	524.487071	529.1939029	527.9279817	523.774295	528.3479495	527.3858067	800.1260387	803.1850402	798.072332
15.5916667	524.5058928	529.1774102	527.9922273	523.7404019	528.3407479	527.3876131	799.3601831	802.4219939	797.2126163
15.7583333	524.5137546	529.201958	527.960098	523.7320306	528.3581089	527.3753064	798.6156692	801.6339197	796.3815959
15.925	524.4882396	529.2191994	527.9879893	523.7054815	528.3898738	527.4148416	797.8661936	800.832341	795.5218604
16.0916667	524.4651915	529.2097485	527.9134167	523.7209583	528.364231	527.3897654	797.1680959	800.0933575	794.6562954
16.2583333	524.4504294	529.180053	527.9718654	523.713577	528.336521	527.3885935	796.4404905	799.2987162	793.8297796
16.425	524.4665297	529.1944031	527.9848763	523.7050324	528.3438163	527.3703863	795.698068	798.5530995	793.0067713
16.5916667	524.4884885	529.2169856	528.0201685	523.6990734	528.3507485	527.4125361	794.9915424	797.7908779	792.1823995
16.7583333	524.5337305	529.2492824	528.0323778	523.7067309	528.3180844	527.4233937	794.2243012	797.0066685	791.2974304
16.925	524.5064757	529.2677732	528.0482338	523.7082373	528.3310449	527.3985267	793.5211405	796.2742244	790.5522818
17.0916667	524.4750242	529.2639468	528.0870443	523.6763002	528.3239598	527.3845785	792.8227973	795.5177793	789.7600969
17.2583333	524.5466703	529.2729425	528.0605236	523.7012148	528.3931604	527.4275615	792.1754082	794.7704394	788.940746
17.425	524.5099197	529.2585094	528.0462216	523.6930144	528.3424651	527.3873839	791.4032287	794.0012206	788.0879524
17.5916667	524.4914313	529.2526622	528.0652821	523.7534729	528.3606307	527.4274776	790.7401472	793.2817257	787.3192743
17.7583333	524.4914988	529.2608103	528.0419882	523.6948842	528.2876267	527.390902	790.0048391	792.5463896	786.5464886
17.925	524.505025	529.2358074	528.0382273	523.6593755	528.3136838	527.3663555	789.2857705	791.7847869	785.7647267
18.0916667	524.5026225	529.2623161	528.1031191	523.6917332	528.3183436	527.3902129	788.6412915	791.0647946	784.9938622
18.2583333	524.5511574	529.2889089	528.0669088	523.6614702	528.2704268	527.3322109	787.9043144	790.3680493	784.2285405
18.425	524.5461759	529.2632134	528.03588	523.676686	528.3308716	527.3741674	787.1882777	789.5963929	783.3996009
18.5916667	524.5601624	529.2474543	528.057788	523.732832	528.3265426	527.3473121	786.5241942	788.8823117	782.6962692
18.7583333	524.5523435	529.2463425	528.0845107	523.7241124	528.2906108	527.3650312	785.7976689	788.1595934	781.8856821
18.925	524.5915244	529.297292	528.0782904	523.7212995	528.3369467	527.3915096	785.1090072	787.4284219	781.1455794
19.0916667	524.5369088	529.25431	528.0811307	523.7398616	528.3194787	527.4170414	784.4299186	786.6842802	780.3502103
19.2583333	524.5483796	529.2665633	528.0412126	523.6844393	528.343598	527.3965437	783.7774293	786.0804372	779.6808735
19.425	524.5651069	529.2907707	528.1302127	523.684478	528.3285443	527.3582626	783.1483914	785.3305868	778.9142627
19.5916667	524.6093853	529.3019957	528.1101367	523.6907484	528.3608756	527.3603703	782.4718384	784.6446709	778.2125118
19.7583333	524.5413823	529.286462	528.1185818	523.7301844	528.3458237	527.3759876	781.9068102	784.0124669	777.5347951
19.925	524.559938	529.2687072	528.1053673	523.7168696	528.3353275	527.3682249	781.364882	783.3934013	776.9003497
20.0916667	524.5795091	529.2980973	528.1293429	523.7144992	528.3181559	527.3659988	780.8632842	782.8436889	776.3875311
20.2583333	524.5717518	529.2995753	528.1141299	523.6743701	528.2887545	527.3182431	780.4441774	782.3481019	775.9369592
20.425	524.5555669	529.2893381	528.0893743	523.7324692	528.2949747	527.4285547	780.0418248	781.9220796	775.5570744
