time	O2_Unaged	H2O_Unaged	NH3_Unaged	NO_Unaged	NO2_Unaged	N2O_Unaged	O2_2hr	H2O_2hr	NH3_2hr	NO_2hr	NO2_2hr	N2O_2hr	O2_4hr	H2O_4hr	NH3_4hr	NO_4hr	NO2_4hr	N2O_4hr	O2_8hr	H2O_8hr	NH3_8hr	NO_8hr	NO2_8hr	N2O_8hr	O2_16hr	H2O_16hr	NH3_16hr	NO_16hr	NO2_16hr	N2O_16hr
0.091666667	0.002330029	0.001161315	-9.01043E-10	-1.1823E-09	-6.09358E-09	-2.76832E-09	0.002330029	0.001156054	-1.1847E-10	-4.24709E-09	-1.08236E-08	-2.6093E-09	0.002330029	0.001173904	7.53611E-10	-4.75724E-09	-5.492E-09	-2.13233E-09	0.002330029	0.001161348	7.09792E-10	-6.46401E-09	-7.03967E-09	-2.29152E-09	0.002330029	0.001155237	-1.91836E-10	-1.06261E-08	-9.04432E-09	-1.34949E-09
0.258333333	0.002330029	0.001161268	-4.62569E-10	-2.08052E-09	-6.96446E-09	-2.61898E-09	0.002330029	0.001154403	-6.20417E-11	-3.69922E-09	-9.12238E-09	-1.48116E-09	0.002330029	0.001175294	4.52736E-10	-2.67664E-09	-6.28065E-09	-2.51124E-09	0.002330029	0.001162734	1.20124E-09	-3.51083E-09	-6.75229E-09	-2.10367E-09	0.002330029	0.001153404	-1.59395E-10	-6.20537E-09	-1.01646E-08	-1.81203E-09
0.425	0.002330029	0.001161609	-1.72448E-10	-5.50606E-09	-8.60755E-09	-2.65369E-09	0.002330029	0.001154184	1.00346E-09	-7.10692E-09	-8.83724E-09	-3.03399E-09	0.002330029	0.001174196	4.73919E-10	-4.56311E-09	-5.67136E-09	-3.09777E-09	0.002330029	0.001162632	1.13533E-09	-1.61938E-09	-6.18933E-09	-1.85677E-09	0.002330029	0.001158674	1.06236E-09	-7.57498E-09	-9.57651E-09	-1.65677E-09
0.591666667	0.002330029	0.001171493	-1.4968E-09	7.36101E-10	-7.20311E-09	-2.28996E-09	0.002330029	0.001151539	-6.98426E-10	-5.42112E-09	-9.45028E-09	-2.36253E-09	0.002330029	0.001170638	1.49709E-09	-5.31251E-09	-4.85692E-09	-3.2264E-09	0.002330029	0.001164075	1.12083E-09	-3.43816E-09	-5.44627E-09	-2.04355E-09	0.002330029	0.001157027	2.20684E-10	-8.63218E-09	-9.71216E-09	-2.08377E-09
0.758333333	0.002330029	0.001179343	-8.32198E-10	-2.57802E-09	-6.24963E-09	-1.31786E-09	0.002330029	0.001151701	-1.05859E-09	-5.34469E-09	-9.25699E-09	-2.31504E-09	0.002330029	0.00116775	7.64357E-10	-3.1251E-09	-5.9743E-09	-2.12504E-09	0.002330029	0.001166344	4.83891E-10	-6.1971E-09	-6.11895E-09	-1.15176E-09	0.002330029	0.001156935	3.94253E-10	-6.1198E-09	-1.0587E-08	-1.39792E-09
0.925	0.002330029	0.001167788	-9.32534E-10	-1.60775E-09	-6.93771E-09	-2.04396E-09	0.002330029	0.001157579	3.32658E-10	-6.55156E-09	-1.01518E-08	-2.82036E-09	0.002330029	0.001172554	4.70174E-10	-2.50458E-09	-6.05652E-09	-2.08661E-09	0.002330029	0.00116278	1.40775E-09	-2.48448E-09	-7.04608E-09	-1.83706E-09	0.002330029	0.001154771	7.81851E-10	-6.27206E-09	-9.90133E-09	-2.49879E-09
1.09166667	0.002330029	0.001169696	7.67954E-10	-1.69653E-09	-6.76991E-09	-2.13045E-09	0.002330029	0.001153754	-5.10985E-10	-3.85952E-09	-9.02257E-09	-1.60335E-09	0.002330029	0.001172232	2.15988E-09	-5.39998E-09	-7.02703E-09	-1.97336E-09	0.002330029	0.001160259	7.44174E-10	-6.11242E-09	-7.37745E-09	-2.09991E-09	0.002330029	0.001155939	2.35426E-10	-7.34806E-09	-1.00807E-08	-1.6029E-09
1.25833333	0.002330029	0.001186058	-1.22982E-09	-4.03502E-09	-7.43208E-09	-2.10729E-09	0.002330029	0.001155826	-5.60167E-10	-4.87029E-09	-8.73965E-09	-1.60656E-09	0.002330029	0.001175399	9.32781E-10	-2.85982E-09	-5.13022E-09	-3.01966E-09	0.002330029	0.001160365	7.40362E-10	-2.96149E-09	-6.40923E-09	-1.77685E-09	0.002330029	0.001155833	7.08245E-10	-6.56661E-09	-1.00998E-08	-1.52626E-09
1.425	0.002330029	0.001171631	-1.29083E-09	-3.07855E-10	-6.49875E-09	-2.05912E-09	0.002330029	0.001152365	-4.49831E-10	-8.00937E-09	-9.06079E-09	-2.41217E-09	0.002330029	0.001173599	1.10164E-09	-8.14724E-09	-6.19754E-09	-3.05814E-09	0.002330029	0.001159973	1.29724E-10	4.44204E-10	-6.17325E-09	-1.69144E-09	0.002330029	0.001156939	6.62928E-10	-6.18927E-09	-8.04571E-09	-2.00746E-09
1.59166667	0.002330029	0.001183968	-1.15274E-09	-3.67542E-09	-7.64158E-09	-2.8719E-09	0.002330029	0.001155299	-1.62373E-10	-1.62189E-09	-9.00582E-09	-2.29521E-09	0.002330029	0.001174204	5.79439E-10	-5.96239E-09	-5.94367E-09	-2.10273E-09	0.002330029	0.001144621	1.09958E-09	-1.7488E-09	-6.14315E-09	-1.82732E-09	0.002330029	0.001154949	5.93645E-10	-1.04813E-08	-9.5998E-09	-2.58126E-09
1.75833333	0.002330029	0.001179744	-7.27591E-10	-3.41836E-09	-6.99148E-09	-2.70357E-09	0.002330029	0.001152027	-5.2791E-10	-6.69162E-09	-9.98449E-09	-1.61191E-09	0.002330029	0.001174535	5.82666E-10	-4.53442E-09	-7.93011E-09	-3.03596E-09	0.002330029	0.001141743	1.92557E-09	-4.60104E-10	-5.50894E-09	-1.74749E-09	0.002330029	0.001156993	-3.33835E-10	-7.5288E-09	-8.64511E-09	-1.4875E-09
1.925	0.002101686	0.001168033	-1.90183E-09	-9.43261E-10	-7.25026E-09	-1.03797E-09	0.002330029	0.001155478	-8.27351E-10	-5.48617E-09	-8.05751E-09	-2.60476E-09	0.002101686	0.00117287	1.25087E-07	-4.49431E-09	-6.3216E-09	-2.74167E-09	0.002101686	0.0011492	9.73631E-10	-2.61447E-09	-6.42309E-09	-1.01769E-09	0.002101686	0.001154434	-6.17598E-11	-4.53225E-09	-9.39892E-09	-1.89046E-09
2.09166667	4.66006E-05	0.001179344	5.9258E-06	8.89172E-09	-8.53108E-09	-3.956E-09	4.66006E-05	0.001155225	5.82808E-06	7.93153E-09	-8.98745E-09	-3.47713E-09	4.66006E-05	0.001176131	6.6666E-06	1.0578E-08	-6.65975E-09	-3.80761E-09	4.66006E-05	0.001152598	5.98537E-06	9.72629E-09	-8.78365E-09	-1.91292E-09	4.66006E-05	0.001160037	6.05013E-06	6.99902E-09	-8.4905E-09	-3.05438E-09
2.25833333	4.66006E-05	0.001178231	6.89069E-06	1.10149E-08	-7.40326E-09	-4.59066E-09	4.66006E-05	0.001154936	6.91759E-06	1.20844E-08	-9.58699E-09	-4.11111E-09	4.66006E-05	0.001175246	6.92103E-06	1.00713E-08	-8.09851E-09	-4.80954E-09	4.66006E-05	0.001133002	6.88693E-06	1.34109E-08	-4.95205E-09	-3.72202E-09	4.66006E-05	0.001156888	6.8712E-06	7.34326E-09	-1.02468E-08	-2.93242E-09
2.425	4.66006E-05	0.001170118	6.92136E-06	1.48048E-08	-5.78655E-09	-3.93069E-09	4.66006E-05	0.00115326	6.90495E-06	9.74602E-09	-1.05467E-08	-4.20677E-09	4.66006E-05	0.001178032	6.93829E-06	9.28148E-09	-6.89294E-09	-4.53805E-09	4.66006E-05	0.001133449	6.89503E-06	1.49061E-08	-8.41477E-09	-2.39357E-09	4.66006E-05	0.001158891	6.86737E-06	5.62547E-09	-9.37331E-09	-3.38211E-09
2.59166667	4.66006E-05	0.001174021	6.93624E-06	1.41361E-08	-6.77025E-09	-4.20578E-09	4.66006E-05	0.001155092	6.90128E-06	9.68206E-09	-1.08202E-08	-3.91303E-09	4.66006E-05	0.001174668	6.92872E-06	1.14575E-08	-7.69193E-09	-4.84116E-09	4.66006E-05	0.001135488	6.90156E-06	9.57973E-09	-8.09544E-09	-3.80122E-09	4.66006E-05	0.001159731	6.86601E-06	4.92593E-09	-9.85544E-09	-3.66415E-09
2.75833333	4.66006E-05	0.001184043	6.9337E-06	1.02759E-08	-8.39192E-09	-3.40681E-09	4.66006E-05	0.001153962	6.92946E-06	1.62569E-08	-1.1788E-08	-4.06279E-09	4.66006E-05	0.001176403	6.93574E-06	5.14366E-09	-6.38868E-09	-4.7865E-09	4.66006E-05	0.001133304	6.89836E-06	9.18927E-09	-6.72982E-09	-4.55865E-09	4.66006E-05	0.001159917	6.88466E-06	1.02323E-08	-1.03449E-08	-3.22727E-09
