time	N2O	NO	NH3	CO	HC
0.091666667	1.14851E-06	3.14739E-05	2.0521E-08	0.000167642	2.46976E-05
0.258333333	1.18586E-06	3.15794E-05	2.24335E-08	0.000168405	2.50056E-05
0.425	1.21578E-06	3.17227E-05	2.39283E-08	0.000168415	2.49846E-05
0.591666667	1.23495E-06	3.16607E-05	2.30296E-08	0.000168394	2.49475E-05
0.758333333	1.24819E-06	3.15691E-05	2.37842E-08	0.000168543	2.48693E-05
0.925	1.26308E-06	3.14973E-05	2.33445E-08	0.000168186	2.46894E-05
1.09166667	1.27526E-06	3.13836E-05	2.3465E-08	0.000168114	2.47152E-05
1.25833333	1.28576E-06	3.13472E-05	2.46385E-08	0.000167696	2.47582E-05
1.425	1.29485E-06	3.12763E-05	2.41623E-08	0.000167467	2.45394E-05
1.59166667	1.30159E-06	3.12353E-05	2.47713E-08	0.000167367	2.44899E-05
1.75833333	1.30708E-06	3.11382E-05	2.52126E-08	0.000167264	2.46241E-05
1.925	1.31203E-06	3.10945E-05	2.64329E-08	0.000167215	2.48196E-05
2.09166667	1.31752E-06	3.10839E-05	2.65599E-08	0.000167255	2.50813E-05
2.25833333	1.32136E-06	3.10411E-05	2.56597E-08	0.000167201	2.50092E-05
2.425	1.32629E-06	3.10172E-05	2.57146E-08	0.000166981	2.48355E-05
2.59166667	1.32509E-06	3.09327E-05	2.59141E-08	0.000166563	2.42161E-05
2.75833333	1.32774E-06	3.09469E-05	2.50973E-08	0.000166855	2.44284E-05
2.925	1.32976E-06	3.09393E-05	2.64531E-08	0.000166729	2.50366E-05
3.09166667	1.33259E-06	3.09634E-05	2.6416E-08	0.000166849	2.48573E-05
3.25833333	1.32951E-06	3.09191E-05	2.53348E-08	0.00016685	2.46392E-05
3.425	1.32934E-06	3.08973E-05	2.59711E-08	0.000166782	2.47087E-05
3.59166667	1.32973E-06	3.09067E-05	2.61464E-08	0.000166713	2.45145E-05
3.75833333	1.32676E-06	3.08404E-05	2.61232E-08	0.00016647	2.46124E-05
3.925	1.32475E-06	3.08697E-05	2.68011E-08	0.000166477	2.45116E-05
4.09166667	1.32377E-06	3.0858E-05	2.67289E-08	0.000166533	2.42171E-05
4.25833333	1.32332E-06	3.08872E-05	2.56894E-08	0.000166569	2.41888E-05
4.425	1.32019E-06	3.08654E-05	2.68898E-08	0.000166588	2.43826E-05
4.59166667	1.31609E-06	3.0882E-05	2.54516E-08	0.000166555	2.44704E-05
4.75833333	1.3125E-06	3.08519E-05	2.67809E-08	0.000166482	2.43974E-05
4.925	1.31076E-06	3.08928E-05	2.56021E-08	0.000166473	2.4326E-05
5.09166667	1.30635E-06	3.08911E-05	2.67637E-08	0.000166415	2.40872E-05
5.25833333	1.30143E-06	3.09022E-05	2.52207E-08	0.000166429	2.43891E-05
5.425	1.29834E-06	3.09568E-05	2.633E-08	0.000166617	2.46682E-05
5.59166667	1.29483E-06	3.09518E-05	2.65227E-08	0.000166579	2.4802E-05
5.75833333	1.29084E-06	3.0932E-05	2.61237E-08	0.000166669	2.45531E-05
5.925	1.28817E-06	3.0969E-05	2.55264E-08	0.00016656	2.41761E-05
6.09166667	1.28389E-06	3.10001E-05	2.68325E-08	0.000166576	2.40697E-05
6.25833333	1.27769E-06	3.1001E-05	2.6039E-08	0.000166379	2.41489E-05
6.425	1.27233E-06	3.10372E-05	2.63271E-08	0.000166704	2.43653E-05
6.59166667	1.26774E-06	3.10651E-05	2.5388E-08	0.000166755	2.44236E-05
6.75833333	1.26499E-06	3.10911E-05	2.44406E-08	0.000166743	2.4526E-05
6.925	1.26149E-06	3.11437E-05	2.2569E-08	0.000166856	2.47344E-05
7.09166667	1.25445E-06	3.11426E-05	2.31025E-08	0.000166777	2.49103E-05
7.25833333	1.25048E-06	3.11784E-05	2.11665E-08	0.000166978	2.47315E-05
7.425	1.24633E-06	3.12158E-05	2.15661E-08	0.000167247	2.46036E-05
7.59166667	1.2424E-06	3.12214E-05	2.23441E-08	0.000167186	2.45942E-05
7.75833333	1.23398E-06	3.12257E-05	2.04232E-08	0.000167043	2.46469E-05
7.925	1.23013E-06	3.12509E-05	2.01635E-08	0.000166832	2.46607E-05
