time	T_in	T_mid	T_out
0.091666667	377.0009059	378.3391477	370.4276834
0.258333333	377.2254831	378.5256515	370.7848174
0.425	377.4244667	378.6646149	371.0964848
0.591666667	377.6045122	378.7916099	371.4255777
0.758333333	377.7681346	378.9142897	371.7057963
0.925	377.9175675	379.0037257	371.9426191
1.09166667	378.0450544	379.1146288	372.1940169
1.25833333	378.1873233	379.1959864	372.4367964
1.425	378.3191182	379.2890547	372.680128
1.59166667	378.4129432	379.3804866	372.8761925
1.75833333	378.5279784	379.436412	373.0763443
1.925	378.6068583	379.4499692	373.2421295
2.09166667	378.6750984	379.4763311	373.3950237
2.25833333	378.7421298	379.5331734	373.5321899
2.425	378.7818406	379.5430544	373.6334577
2.59166667	378.8720061	379.5543551	373.7972939
2.75833333	378.8933593	379.5768301	373.9132887
2.925	378.9659503	379.588909	374.0352035
3.09166667	378.9878363	379.5881094	374.0941639
3.25833333	379.0477981	379.5998291	374.1997561
3.425	379.0679906	379.6056514	374.2885314
3.59166667	379.0634467	379.583213	374.3258655
3.75833333	379.0460237	379.5485427	374.3894764
3.925	379.1031798	379.5060416	374.4451431
4.09166667	379.1058363	379.4998488	374.4947228
4.25833333	379.1376193	379.4862786	374.5606214
4.425	379.1388361	379.4450813	374.5673339
4.59166667	379.0963039	379.3972952	374.625318
4.75833333	379.0951518	379.3609155	374.6586595
4.925	379.0758842	379.3186898	374.6811937
5.09166667	379.0576643	379.2516792	374.6809475
5.25833333	379.0545694	379.2136742	374.6830199
5.425	379.0467432	379.1845161	374.7144673
5.59166667	379.0305305	379.1550134	374.7201585
5.75833333	378.9972862	379.0822286	374.7182149
5.925	378.9505895	379.0183345	374.703066
6.09166667	378.9255656	378.9537132	374.7137654
6.25833333	378.9023496	378.9128691	374.7123319
6.425	378.9245315	378.8969223	374.7489848
6.59166667	378.8449758	378.8060164	374.7058812
6.75833333	378.8035789	378.7236016	374.6827611
6.925	378.7941335	378.7052722	374.6649482
7.09166667	378.7445348	378.641274	374.6621615
7.25833333	378.673264	378.5498298	374.632804
7.425	378.6413443	378.4882866	374.5930543
7.59166667	378.62123	378.4402653	374.5695749
7.75833333	378.5929366	378.3553973	374.5652941
7.925	378.5446771	378.3081651	374.5345214
8.09166667	378.5194569	378.2833827	374.5380408
8.25833333	378.4386894	378.1829747	374.4573892
8.425	378.4032119	378.0933948	374.4330735
8.59166667	378.3939258	378.0681647	374.4149864
8.75833333	378.3252708	378.0182771	374.3737965
8.925	378.2509708	377.9377479	374.3451764
9.09166667	378.241452	377.9071873	374.3249077
9.25833333	378.1862342	377.8175455	374.2858472
9.425	378.165587	377.8214656	374.2684171
9.59166667	378.0891209	377.698506	374.2086124
9.75833333	378.0478777	377.6676954	374.1941649
9.925	377.9988637	377.5983065	374.1686738
10.0916667	377.9429706	377.5451233	374.1110911
10.2583333	377.9071553	377.4701337	374.0993753
10.425	377.8880771	377.445395	374.0580484
10.5916667	377.8315891	377.3931869	374.0028748
10.7583333	377.8305608	377.3216737	373.9741589
10.925	377.8055313	377.2877575	373.9343143
11.0916667	377.8913903	377.283026	373.9015755
11.2583333	378.0135742	377.2866939	373.8760625
11.425	378.134875	377.3251919	373.8873218
11.5916667	378.3425166	377.4049948	373.8609635
11.7583333	378.571873	377.489008	373.9201861
11.925	378.8671394	377.6226393	373.9440461
12.0916667	379.1703703	377.7689783	374.0201513
12.2583333	379.5288112	378.0237946	374.1326272
12.425	379.880414	378.2600702	374.2644099
12.5916667	380.286137	378.5396514	374.4512785
12.7583333	380.682861	378.8166442	374.6365059
12.925	381.0898413	379.1679923	374.8589856
13.0916667	381.5130811	379.5026259	375.0906929
13.2583333	381.9322008	379.8647095	375.3886135
13.425	382.306592	380.2085229	375.6680749
13.5916667	382.7363983	380.6071667	375.989696
13.7583333	383.1768561	381.0331676	376.3391627
13.925	383.6209719	381.4179436	376.6635213
14.0916667	384.0340673	381.8335251	376.9960189
14.2583333	384.4722821	382.2250406	377.336918
14.425	384.9694815	382.6537179	377.6843571
14.5916667	385.4436419	383.1100232	378.0627369
14.7583333	385.9928719	383.5827939	378.4224918
14.925	386.5481529	384.0606745	378.8327769
15.0916667	387.0756662	384.5535346	379.2427964
15.2583333	387.6660274	385.0586432	379.6581545
15.425	388.2485996	385.5472005	380.0651815
15.5916667	388.9305558	386.1227087	380.546713
15.7583333	389.5676068	386.6864116	381.0090751
15.925	390.23806	387.335409	381.517945
16.0916667	390.8929765	387.9170998	381.9932845
16.2583333	391.6144699	388.5555743	382.5493961
16.425	392.2551521	389.175526	383.0754779
16.5916667	392.9652551	389.8313293	383.6341368
16.7583333	393.6655424	390.5008599	384.2203238
16.925	394.3734807	391.1922316	384.7952247
17.0916667	395.0518967	391.8746775	385.3871919
17.2583333	395.7647642	392.5786128	386.003717
17.425	396.5060416	393.2449953	386.622936
17.5916667	397.2180571	393.9642985	387.2407883
17.7583333	397.9515556	394.6850717	387.8782323
17.925	398.7609035	395.4211663	388.5365794
18.0916667	399.4764373	396.1805614	389.1743688
18.2583333	400.2671853	396.9176182	389.8340872
18.425	401.0049446	397.6644358	390.5371607
18.5916667	401.7919083	398.4461598	391.2175307
18.7583333	402.6266151	399.2339732	391.9311255
18.925	403.4577665	400.0315694	392.619752
19.0916667	404.2547557	400.8303374	393.3220986
19.2583333	405.091037	401.656973	394.0294043
19.425	405.9420572	402.4972615	394.8029458
19.5916667	406.8021655	403.30557	395.5797127
19.7583333	407.5990086	404.1175539	396.3007542
19.925	408.451244	405.0247754	397.0830751
20.0916667	409.341304	405.8911369	397.8637878
20.2583333	410.1712415	406.7859787	398.6907838
20.425	411.015238	407.6332428	399.4553177
20.5916667	411.8721208	408.5210034	400.2769648
20.7583333	412.7437007	409.4060013	401.0798965
20.925	413.6191279	410.3428669	401.9252035
21.0916667	414.5389183	411.2296316	402.7493867
21.2583333	415.4061492	412.1494579	403.5803475
21.425	416.3108355	413.1021439	404.4644706
21.5916667	417.1683335	414.0184695	405.3502181
21.7583333	418.0815867	414.9501756	406.203633
21.925	418.9644839	415.878398	407.0512514
22.0916667	419.8573399	416.8227293	407.9378238
22.2583333	420.7819945	417.7945276	408.8404556
22.425	421.6950264	418.7369729	409.7317542
22.5916667	422.6179973	419.7415417	410.6534646
22.7583333	423.5451099	420.7028644	411.5726479
22.925	424.4887219	421.7216236	412.4960366
23.0916667	425.4208528	422.7192803	413.4379424
23.2583333	426.3164174	423.7420322	414.4111509
23.425	427.271527	424.7601763	415.375471
23.5916667	428.1923099	425.7725778	416.3344694
23.7583333	429.1199974	426.7898893	417.3167987
23.925	430.1057676	427.8456693	418.3048227
24.0916667	431.0461857	428.8859481	419.2529904
24.2583333	432.0100996	429.9422103	420.2442154
24.425	432.9554387	431.0066193	421.2677335
24.5916667	433.9315221	432.118408	422.3190565
24.7583333	434.8768613	433.1803883	423.3150077
24.925	435.8112992	434.2546044	424.3399678
25.0916667	436.7935256	435.3570456	425.3703965
25.2583333	437.744284	436.4558286	426.4114048
25.425	438.7006811	437.5896315	427.5128301
25.5916667	439.7025631	438.7470388	428.6142281
25.7583333	440.6812286	439.8940339	429.6696446
25.925	441.6391329	441.0385851	430.7549604
26.0916667	442.604087	442.1896586	431.8513838
26.2583333	443.5960484	443.366025	432.9893844
26.425	444.6041516	444.5916324	434.1107188
26.5916667	445.624459	445.8037667	435.2604956
26.7583333	446.5334137	447.0183903	436.3992236
26.925	447.5636778	448.2552167	437.563953
27.0916667	448.536685	449.5074917	438.7386811
27.2583333	449.526487	450.7680712	439.9218362
27.425	450.5364813	452.0580745	441.1466217
27.5916667	451.5357708	453.4124451	442.385402
