time	N2O	NO	NH3	CO	HC
0.091666667	1.35101E-06	3.18382E-05	2.18698E-08	0.00017373	1.96674E-05
0.258333333	1.37392E-06	3.17919E-05	2.23087E-08	0.000173757	1.97015E-05
0.425	1.39224E-06	3.1706E-05	2.32985E-08	0.000173619	1.96345E-05
0.591666667	1.40865E-06	3.16413E-05	2.31982E-08	0.000173488	1.96037E-05
0.758333333	1.42229E-06	3.15127E-05	2.29449E-08	0.000173412	1.96189E-05
0.925	1.43172E-06	3.13675E-05	2.24185E-08	0.000172872	1.9531E-05
1.09166667	1.44502E-06	3.13168E-05	2.30993E-08	0.000172742	1.9471E-05
1.25833333	1.45573E-06	3.12455E-05	2.42917E-08	0.000172502	1.94093E-05
1.425	1.46421E-06	3.11579E-05	2.55045E-08	0.00017238	1.94735E-05
1.59166667	1.46985E-06	3.11154E-05	2.57093E-08	0.000172311	1.95261E-05
1.75833333	1.47937E-06	3.10879E-05	2.57686E-08	0.000172176	1.94768E-05
1.925	1.48942E-06	3.10462E-05	2.59678E-08	0.000172271	1.94965E-05
2.09166667	1.49465E-06	3.10265E-05	2.60739E-08	0.000172149	1.94735E-05
2.25833333	1.50108E-06	3.09905E-05	2.69797E-08	0.000171994	1.9462E-05
2.425	1.50429E-06	3.09667E-05	2.72449E-08	0.00017211	1.9562E-05
2.59166667	1.51072E-06	3.09467E-05	2.68808E-08	0.000171975	1.95292E-05
2.75833333	1.50679E-06	3.09443E-05	2.63558E-08	0.000171859	1.95725E-05
2.925	1.5104E-06	3.08791E-05	2.5591E-08	0.000171757	1.96494E-05
3.09166667	1.50983E-06	3.0906E-05	2.7511E-08	0.000171888	1.95258E-05
3.25833333	1.5041E-06	3.08675E-05	2.52605E-08	0.000171728	1.94725E-05
3.425	1.50077E-06	3.08616E-05	2.44894E-08	0.000171697	1.94869E-05
3.59166667	1.49816E-06	3.08756E-05	2.5195E-08	0.000171564	1.94639E-05
3.75833333	1.49742E-06	3.08784E-05	2.50982E-08	0.00017136	1.94935E-05
3.925	1.49348E-06	3.08628E-05	2.52402E-08	0.000171344	1.95107E-05
4.09166667	1.49081E-06	3.0867E-05	2.47463E-08	0.000171552	1.94139E-05
4.25833333	1.48572E-06	3.0885E-05	2.36126E-08	0.000171484	1.94376E-05
4.425	1.47546E-06	3.08757E-05	2.44057E-08	0.000171328	1.94059E-05
4.59166667	1.46821E-06	3.08904E-05	2.5383E-08	0.000171431	1.94252E-05
4.75833333	1.46326E-06	3.08875E-05	2.42979E-08	0.000171254	1.94051E-05
4.925	1.45992E-06	3.09142E-05	2.34806E-08	0.000171221	1.94329E-05
5.09166667	1.45488E-06	3.09324E-05	2.30789E-08	0.000171282	1.92819E-05
5.25833333	1.44886E-06	3.09298E-05	2.43335E-08	0.000171525	1.93317E-05
5.425	1.44516E-06	3.09567E-05	2.339E-08	0.0001714	1.94695E-05
5.59166667	1.43896E-06	3.09531E-05	2.30625E-08	0.000171369	1.95081E-05
5.75833333	1.43527E-06	3.09779E-05	2.24408E-08	0.000171195	1.94692E-05
5.925	1.42809E-06	3.09771E-05	2.2841E-08	0.000171403	1.93965E-05
6.09166667	1.42177E-06	3.10029E-05	2.38132E-08	0.000171416	1.93006E-05
6.25833333	1.41895E-06	3.10204E-05	2.32229E-08	0.000171366	1.9304E-05
6.425	1.41197E-06	3.10332E-05	2.38907E-08	0.000171261	1.93568E-05
6.59166667	1.40651E-06	3.1046E-05	2.30928E-08	0.000171207	1.93746E-05
6.75833333	1.40157E-06	3.10898E-05	2.27602E-08	0.000171473	1.94092E-05
6.925	1.39711E-06	3.10885E-05	2.32687E-08	0.000171356	1.93579E-05
7.09166667	1.39042E-06	3.11202E-05	2.36611E-08	0.000171322	1.94388E-05
7.25833333	1.38715E-06	3.11145E-05	2.18568E-08	0.000171212	1.95479E-05
7.425	1.38134E-06	3.11596E-05	2.17065E-08	0.000171609	1.95943E-05
7.59166667	1.37734E-06	3.1166E-05	2.25167E-08	0.00017143	1.95601E-05
7.75833333	1.37045E-06	3.11707E-05	2.17177E-08	0.000171451	1.94294E-05
7.925	1.36783E-06	3.1206E-05	2.19182E-08	0.000171404	1.93137E-05
8.09166667	1.36068E-06	3.12608E-05	2.07779E-08	0.00017138	1.93375E-05
8.25833333	1.35522E-06	3.12699E-05	2.04505E-08	0.000171365	1.93589E-05
8.425	1.35273E-06	3.12775E-05	1.95275E-08	0.000171661	1.93617E-05
8.59166667	1.34918E-06	3.13472E-05	1.88093E-08	0.00017159	1.94007E-05
8.75833333	1.34296E-06	3.13277E-05	1.86355E-08	0.000171516	1.9422E-05
8.925	1.33657E-06	3.13692E-05	1.65515E-08	0.000171543	1.9478E-05
9.09166667	1.33362E-06	3.1483E-05	1.72706E-08	0.000171797	1.95607E-05
9.25833333	1.32635E-06	3.14802E-05	1.66425E-08	0.000171575	1.96961E-05
9.425	1.32313E-06	3.14943E-05	1.66971E-08	0.00017207	1.96046E-05
9.59166667	1.3189E-06	3.15566E-05	1.66399E-08	0.00017203	1.95549E-05
9.75833333	1.31363E-06	3.15489E-05	1.74665E-08	0.000171802	1.96085E-05
9.925	1.30951E-06	3.15746E-05	1.60585E-08	0.000171977	1.95403E-05
10.0916667	1.30238E-06	3.15775E-05	1.73195E-08	0.000171937	1.94686E-05
10.2583333	1.30004E-06	3.16001E-05	1.68287E-08	0.000171918	1.95257E-05
10.425	1.29333E-06	3.16074E-05	1.49127E-08	0.000171904	1.96118E-05
10.5916667	1.29068E-06	3.16324E-05	1.48272E-08	0.000171777	1.9691E-05
10.7583333	1.28638E-06	3.16478E-05	1.61325E-08	0.000171874	1.96985E-05
10.925	1.28218E-06	3.16605E-05	1.6758E-08	0.000171732	1.96555E-05
11.0916667	1.2772E-06	3.16426E-05	1.43386E-08	0.000171823	1.97048E-05
11.2583333	1.27256E-06	3.1657E-05	1.55891E-08	0.000171781	1.97275E-05
11.425	1.2679E-06	3.1683E-05	1.62595E-08	0.0001718	1.97558E-05
11.5916667	1.2661E-06	3.17087E-05	1.48937E-08	0.000172097	1.96654E-05
11.7583333	1.26353E-06	3.17291E-05	1.50868E-08	0.000171967	1.95251E-05
11.925	1.26093E-06	3.17468E-05	1.39253E-08	0.00017188	1.95082E-05
12.0916667	1.25468E-06	3.1759E-05	1.45114E-08	0.000171856	1.94807E-05
12.2583333	1.25172E-06	3.17629E-05	1.40707E-08	0.000172026	1.95899E-05
12.425	1.25013E-06	3.17905E-05	1.49865E-08	0.000172267	1.95033E-05
12.5916667	1.24606E-06	3.17749E-05	1.39542E-08	0.000171924	1.94271E-05
12.7583333	1.2419E-06	3.17689E-05	1.35449E-08	0.000171915	1.95696E-05
12.925	1.23891E-06	3.17948E-05	1.4575E-08	0.000172063	1.9547E-05
13.0916667	1.23741E-06	3.18273E-05	1.45011E-08	0.000172168	1.95794E-05
13.2583333	1.23518E-06	3.18277E-05	1.37075E-08	0.000171982	1.95184E-05
13.425	1.23211E-06	3.18309E-05	1.33243E-08	0.000172135	1.94694E-05
13.5916667	1.22956E-06	3.18417E-05	1.41655E-08	0.000172054	1.95264E-05
13.7583333	1.23011E-06	3.19064E-05	1.30366E-08	0.000172469	1.95058E-05
13.925	1.22697E-06	3.18467E-05	1.29327E-08	0.000172163	1.95184E-05
14.0916667	1.22578E-06	3.19079E-05	1.35916E-08	0.000172246	1.94208E-05
14.2583333	1.22371E-06	3.18728E-05	1.4528E-08	0.000172216	1.94599E-05
14.425	1.22182E-06	3.18857E-05	1.36455E-08	0.000172035	1.95377E-05
14.5916667	1.2183E-06	3.19138E-05	1.40456E-08	0.000172273	1.96473E-05
14.7583333	1.2157E-06	3.18802E-05	1.32866E-08	0.000172348	1.96721E-05
14.925	1.21387E-06	3.19034E-05	1.30209E-08	0.000172436	1.96904E-05
15.0916667	1.21064E-06	3.18654E-05	1.32973E-08	0.000172047	1.97415E-05
15.2583333	1.21124E-06	3.18746E-05	1.2834E-08	0.000172154	1.95466E-05
15.425	1.20997E-06	3.19528E-05	1.40344E-08	0.000172563	1.95136E-05
15.5916667	1.20809E-06	3.18998E-05	1.36658E-08	0.000172139	1.94478E-05
15.7583333	1.2102E-06	3.19425E-05	1.32878E-08	0.000172238	1.93963E-05
15.925	1.20511E-06	3.19036E-05	1.38703E-08	0.000172054	1.94244E-05
16.0916667	1.20459E-06	3.19178E-05	1.32327E-08	0.000172168	1.94704E-05
16.2583333	1.20315E-06	3.19409E-05	1.29546E-08	0.000172386	1.94578E-05
16.425	1.20115E-06	3.19247E-05	1.24396E-08	0.000172257	1.95977E-05
16.5916667	1.20228E-06	3.19323E-05	1.34659E-08	0.000172089	1.97413E-05
16.7583333	1.20246E-06	3.19707E-05	1.46004E-08	0.000172618	1.96422E-05
16.925	1.20143E-06	3.19669E-05	1.27155E-08	0.000172448	1.95971E-05
17.0916667	1.20162E-06	3.19434E-05	1.2821E-08	0.000172321	1.95506E-05
17.2583333	1.20017E-06	3.19309E-05	1.35381E-08	0.00017216	1.95346E-05
17.425	1.1969E-06	3.18976E-05	1.27144E-08	0.000171905	1.95298E-05
17.5916667	1.19889E-06	3.19249E-05	1.3758E-08	0.000172065	1.94755E-05
17.7583333	1.19905E-06	3.19388E-05	1.25595E-08	0.000172006	1.94751E-05
17.925	1.19843E-06	3.19104E-05	1.33822E-08	0.000171845	1.95069E-05
18.0916667	1.19888E-06	3.19464E-05	1.37548E-08	0.000172222	1.96107E-05
18.2583333	1.19661E-06	3.19306E-05	1.29915E-08	0.000172104	1.95844E-05
18.425	1.19875E-06	3.19156E-05	1.29658E-08	0.000172133	1.95911E-05
18.5916667	1.19899E-06	3.19559E-05	1.3526E-08	0.000172179	1.95973E-05
18.7583333	1.19785E-06	3.19134E-05	1.31347E-08	0.000172029	1.97309E-05
18.925	1.19545E-06	3.18467E-05	1.23715E-08	0.000171744	1.96674E-05
19.0916667	1.19796E-06	3.18813E-05	1.21449E-08	0.000171827	1.96613E-05
19.2583333	1.19862E-06	3.19129E-05	1.2778E-08	0.000172027	1.95879E-05
19.425	1.19807E-06	3.19065E-05	1.34253E-08	0.00017196	1.96381E-05
19.5916667	1.1995E-06	3.18935E-05	1.33399E-08	0.000171933	1.96236E-05
19.7583333	1.19845E-06	3.18892E-05	1.26971E-08	0.000172044	1.96138E-05
19.925	1.20089E-06	3.19209E-05	1.3462E-08	0.000172195	1.95553E-05
20.0916667	1.20032E-06	3.18849E-05	1.27297E-08	0.000171974	1.94854E-05
20.2583333	1.20176E-06	3.1896E-05	1.32288E-08	0.000171758	1.94053E-05
20.425	1.20214E-06	3.18969E-05	1.25599E-08	0.000172023	1.94339E-05
20.5916667	1.20133E-06	3.18974E-05	1.43652E-08	0.00017207	1.94959E-05
20.7583333	1.20377E-06	3.19112E-05	1.28333E-08	0.000172006	1.93939E-05
20.925	1.2058E-06	3.18988E-05	1.2872E-08	0.000172026	1.93694E-05
21.0916667	1.20511E-06	3.18848E-05	1.25028E-08	0.00017202	1.93942E-05
21.2583333	1.20691E-06	3.18616E-05	1.38377E-08	0.000171877	1.95078E-05
21.425	1.20659E-06	3.18878E-05	1.20461E-08	0.000172008	1.9504E-05
21.5916667	1.20592E-06	3.18585E-05	1.35506E-08	0.000171791	1.9485E-05
21.7583333	1.20712E-06	3.1851E-05	1.28582E-08	0.000171868	1.95255E-05
21.925	1.20776E-06	3.1852E-05	1.43654E-08	0.000171637	1.94761E-05
22.0916667	1.20684E-06	3.18499E-05	1.37414E-08	0.000171983	1.95122E-05
22.2583333	1.2099E-06	3.18697E-05	1.45009E-08	0.000171982	1.94752E-05
22.425	1.20906E-06	3.18601E-05	1.3197E-08	0.000171706	1.9565E-05
22.5916667	1.20984E-06	3.18415E-05	1.20551E-08	0.000171657	1.94617E-05
22.7583333	1.21096E-06	3.18336E-05	1.29427E-08	0.000171978	1.94868E-05
22.925	1.21289E-06	3.18647E-05	1.36468E-08	0.000171962	1.94747E-05
23.0916667	1.21324E-06	3.18476E-05	1.2979E-08	0.000171944	1.94198E-05
23.2583333	1.21244E-06	3.18377E-05	1.36469E-08	0.000171801	1.95559E-05
23.425	1.21401E-06	3.18427E-05	1.28093E-08	0.000171843	1.9546E-05
23.5916667	1.21388E-06	3.18257E-05	1.41791E-08	0.00017186	1.96311E-05
23.7583333	1.21469E-06	3.18234E-05	1.36634E-08	0.000171839	1.95939E-05
23.925	1.21616E-06	3.18531E-05	1.45573E-08	0.000171956	1.95262E-05
24.0916667	1.21617E-06	3.18291E-05	1.35351E-08	0.000171982	1.96037E-05
24.2583333	1.21698E-06	3.18572E-05	1.35635E-08	0.00017201	1.96436E-05
24.425	1.21732E-06	3.18422E-05	1.30931E-08	0.000171814	1.96308E-05
24.5916667	1.21889E-06	3.18155E-05	1.32254E-08	0.000171729	1.94897E-05
24.7583333	1.21936E-06	3.18071E-05	1.41239E-08	0.000171727	1.9442E-05
24.925	1.21906E-06	3.17964E-05	1.24689E-08	0.000171804	1.94147E-05
25.0916667	1.22111E-06	3.18171E-05	1.34939E-08	0.000171834	1.95201E-05
25.2583333	1.22181E-06	3.18223E-05	1.33906E-08	0.000171803	1.95064E-05
25.425	1.22106E-06	3.17954E-05	1.36983E-08	0.000171803	1.94791E-05
25.5916667	1.22054E-06	3.1783E-05	1.35279E-08	0.000171668	1.95777E-05
25.7583333	1.22158E-06	3.17709E-05	1.37784E-08	0.000171716	1.95714E-05
25.925	1.2213E-06	3.17788E-05	1.35035E-08	0.000171677	1.9546E-05
26.0916667	1.22393E-06	3.18255E-05	1.40463E-08	0.000171899	1.9556E-05
26.2583333	1.22251E-06	3.17959E-05	1.27438E-08	0.000171806	1.95912E-05
26.425	1.22403E-06	3.17958E-05	1.37884E-08	0.000172	1.95871E-05
26.5916667	1.22362E-06	3.17835E-05	1.35513E-08	0.000171904	1.95943E-05
26.7583333	1.22566E-06	3.18116E-05	1.22795E-08	0.000171666	1.94805E-05
26.925	1.22541E-06	3.17653E-05	1.26225E-08	0.000171642	1.95103E-05
27.0916667	1.22566E-06	3.17841E-05	1.41458E-08	0.000171684	1.94296E-05
27.2583333	1.22908E-06	3.178E-05	1.28702E-08	0.000171784	1.9483E-05
27.425	1.22722E-06	3.17466E-05	1.34011E-08	0.000171455	1.93899E-05
27.5916667	1.22578E-06	3.17384E-05	1.39803E-08	0.00017149	1.93738E-05
27.7583333	1.22865E-06	3.17686E-05	1.33582E-08	0.00017159	1.93178E-05
27.925	1.22779E-06	3.17451E-05	1.3964E-08	0.000171718	1.93865E-05
28.0916667	1.2293E-06	3.17839E-05	1.38812E-08	0.000171687	1.94339E-05
28.2583333	1.22916E-06	3.17651E-05	1.4336E-08	0.000171643	1.9427E-05
28.425	1.22682E-06	3.17243E-05	1.33862E-08	0.000171513	1.95053E-05
28.5916667	1.22729E-06	3.17236E-05	1.38866E-08	0.000171393	1.94377E-05
28.7583333	1.22893E-06	3.17253E-05	1.26823E-08	0.000171634	1.94443E-05
28.925	1.23103E-06	3.1742E-05	1.39826E-08	0.000171603	1.94386E-05
29.0916667	1.22938E-06	3.17091E-05	1.47554E-08	0.000171273	1.94727E-05
29.2583333	1.22878E-06	3.1722E-05	1.37382E-08	0.000171531	1.93633E-05
29.425	1.22895E-06	3.17112E-05	1.46637E-08	0.000171377	1.95935E-05
29.5916667	1.23057E-06	3.17293E-05	1.28787E-08	0.000171551	1.95187E-05
29.7583333	1.22958E-06	3.17055E-05	1.41893E-08	0.000171583	1.95957E-05
29.925	1.22949E-06	3.16919E-05	1.39478E-08	0.00017124	1.95669E-05
30.0916667	1.22979E-06	3.17114E-05	1.4178E-08	0.000171311	1.95352E-05
30.2583333	1.22935E-06	3.16816E-05	1.46546E-08	0.000171307	1.96618E-05
30.425	1.22936E-06	3.16956E-05	1.40729E-08	0.000171301	1.96045E-05
30.5916667	1.22965E-06	3.16971E-05	1.40989E-08	0.000171292	1.96815E-05
30.7583333	1.23262E-06	3.17273E-05	1.28929E-08	0.000171629	1.96156E-05
30.925	1.23201E-06	3.17089E-05	1.4234E-08	0.000171574	1.96349E-05
31.0916667	1.23589E-06	3.17144E-05	1.46515E-08	0.00017164	1.95903E-05
31.2583333	1.24056E-06	3.17064E-05	1.38227E-08	0.000171545	1.96483E-05
31.425	1.24462E-06	3.16422E-05	1.35593E-08	0.000171437	1.96085E-05
31.5916667	1.25577E-06	3.16608E-05	1.40421E-08	0.000171555	1.94907E-05
31.7583333	1.26284E-06	3.16085E-05	1.39058E-08	0.000171488	1.95184E-05
31.925	1.27623E-06	3.15838E-05	1.53999E-08	0.000171424	1.93844E-05
32.0916667	1.28965E-06	3.15189E-05	1.42436E-08	0.000171376	1.94094E-05
32.2583333	1.30496E-06	3.14344E-05	1.48436E-08	0.000171316	1.94307E-05
32.425	1.3245E-06	3.13528E-05	1.48045E-08	0.000171271	1.95521E-05
32.5916667	1.34057E-06	3.12417E-05	1.64555E-08	0.000170941	1.9619E-05
32.7583333	1.36199E-06	3.11747E-05	1.50186E-08	0.000170898	1.9589E-05
32.925	1.38384E-06	3.10305E-05	1.61685E-08	0.000170915	1.95837E-05
33.0916667	1.40526E-06	3.09492E-05	1.65645E-08	0.00017079	1.94909E-05
33.2583333	1.42754E-06	3.0846E-05	1.77179E-08	0.000170509	1.93871E-05
33.425	1.45093E-06	3.07377E-05	1.87934E-08	0.000170375	1.94034E-05
33.5916667	1.47979E-06	3.06406E-05	1.9577E-08	0.000170136	1.93205E-05
33.7583333	1.51198E-06	3.05098E-05	2.07382E-08	0.000169995	1.93306E-05
33.925	1.53859E-06	3.03913E-05	2.01782E-08	0.000169823	1.93527E-05
34.0916667	1.56313E-06	3.03009E-05	2.02445E-08	0.000169486	1.93123E-05
34.2583333	1.58788E-06	3.01978E-05	2.16236E-08	0.000169318	1.9324E-05
34.425	1.61571E-06	3.00664E-05	2.27E-08	0.000169214	1.9322E-05
34.5916667	1.64287E-06	2.99537E-05	2.34441E-08	0.000169166	1.93322E-05
34.7583333	1.67275E-06	2.98386E-05	2.38663E-08	0.000168947	1.93519E-05
34.925	1.70099E-06	2.97037E-05	2.45896E-08	0.000168733	1.92667E-05
35.0916667	1.73433E-06	2.95734E-05	2.65212E-08	0.000168654	1.92432E-05
35.2583333	1.76491E-06	2.94289E-05	2.67965E-08	0.000168487	1.92675E-05
35.425	1.80572E-06	2.92991E-05	2.85017E-08	0.000168254	1.92826E-05
35.5916667	1.85956E-06	2.91673E-05	3.08094E-08	0.000168046	1.92375E-05
35.7583333	1.89773E-06	2.90209E-05	3.19508E-08	0.000167696	1.91571E-05
35.925	1.9354E-06	2.88615E-05	3.28815E-08	0.000167479	1.9175E-05
36.0916667	1.97379E-06	2.86927E-05	3.50176E-08	0.000167285	1.917E-05
36.2583333	2.01066E-06	2.85262E-05	3.7767E-08	0.000167068	1.91433E-05
36.425	2.04623E-06	2.83364E-05	3.94022E-08	0.000166735	1.90139E-05
36.5916667	2.08678E-06	2.816E-05	4.17876E-08	0.000166494	1.90753E-05
36.7583333	2.12718E-06	2.79455E-05	4.41778E-08	0.000166131	1.89614E-05
36.925	2.1664E-06	2.77499E-05	4.52128E-08	0.000165957	1.89553E-05
37.0916667	2.20898E-06	2.75504E-05	4.85754E-08	0.000165608	1.89505E-05
37.2583333	2.24803E-06	2.73878E-05	5.19139E-08	0.000165503	1.89553E-05
37.425	2.28556E-06	2.71751E-05	5.44315E-08	0.000165035	1.90791E-05
37.5916667	2.32714E-06	2.6993E-05	5.73785E-08	0.000164816	1.89438E-05
37.7583333	2.36556E-06	2.67674E-05	6.16814E-08	0.000164419	1.89895E-05
