time	T_in	T_mid	T_out
0.091666667	376.6261062	377.3024774	369.4065884
0.258333333	376.7816464	377.4956421	369.7644957
0.425	377.0149658	377.632286	370.1189132
0.591666667	377.2175301	377.8430719	370.4483009
0.758333333	377.3697976	377.9866648	370.7212756
0.925	377.530812	378.0771554	370.9949132
1.09166667	377.7212369	378.2347615	371.249717
1.25833333	377.8317612	378.3560799	371.5020028
1.425	377.9534373	378.46836	371.7179907
1.59166667	378.0830115	378.5719444	371.9566895
1.75833333	378.2034143	378.6545001	372.1739163
1.925	378.2963461	378.72351	372.3512932
2.09166667	378.4063306	378.763871	372.5341142
2.25833333	378.4869562	378.8274866	372.705611
2.425	378.5664249	378.9087226	372.861951
2.59166667	378.6222535	378.9405829	373.0072197
2.75833333	378.6674118	378.9569477	373.1219274
2.925	378.7443328	379.0089934	373.2787347
3.09166667	378.7787259	379.0084825	373.3732806
3.25833333	378.835574	379.0368837	373.5034714
3.425	378.858773	379.0514605	373.5615983
3.59166667	378.8926681	379.0340151	373.6503469
3.75833333	378.9194776	379.0346583	373.7168347
3.925	378.9304501	379.0757237	373.7835657
4.09166667	378.9736054	379.06376	373.8543012
4.25833333	378.9495853	378.9648997	373.8912942
4.425	378.9461365	378.9817845	373.9601025
4.59166667	378.9506944	378.9757827	374.0058987
4.75833333	378.9484683	378.9300168	374.0466942
4.925	378.9431372	378.8900111	374.0667887
5.09166667	378.9252518	378.8154651	374.090102
5.25833333	378.8799601	378.801712	374.0847513
5.425	378.9077807	378.8050863	374.1015037
5.59166667	378.8953975	378.78205	374.1387565
5.75833333	378.8568581	378.698401	374.1563834
5.925	378.8150566	378.6263009	374.1379614
6.09166667	378.8160057	378.5924885	374.1422026
6.25833333	378.7787329	378.5310613	374.1334673
6.425	378.7622038	378.4815028	374.1113753
6.59166667	378.7436579	378.4713336	374.1505055
6.75833333	378.6909767	378.4266484	374.1420006
6.925	378.6398039	378.3111163	374.1077826
7.09166667	378.5902625	378.2500335	374.0776742
7.25833333	378.6051299	378.2444149	374.0884824
7.425	378.5653391	378.1923012	374.0554716
7.59166667	378.525116	378.1363968	374.0309492
7.75833333	378.4670291	378.0508939	374.0375521
7.925	378.4424862	378.0165649	374.0183721
8.09166667	378.4037239	377.9644503	373.9970914
8.25833333	378.3705234	377.9212252	373.958233
8.425	378.3285077	377.8718337	373.9437777
8.59166667	378.2825952	377.7920547	373.9304714
8.75833333	378.2057685	377.6943093	373.8618097
8.925	378.168129	377.6607848	373.8666279
9.09166667	378.153454	377.6090288	373.8460056
9.25833333	378.1060945	377.5605894	373.8298528
9.425	378.0449407	377.492086	373.7834462
9.59166667	378.0211299	377.4369076	373.7650344
9.75833333	377.9413285	377.3908988	373.7447871
9.925	377.906109	377.317358	373.693843
10.0916667	377.8500957	377.2529668	373.6641065
10.2583333	377.8199031	377.2235527	373.6414496
10.425	377.7789478	377.1969421	373.6148439
10.5916667	377.715309	377.1161575	373.5776021
10.7583333	377.6534802	377.0603974	373.5428787
10.925	377.6336728	377.0260753	373.5212355
11.0916667	377.6073359	376.9721192	373.4882557
11.2583333	377.5620567	376.9138773	373.4507834
11.425	377.5127065	376.8532112	373.4233459
11.5916667	377.4931163	376.8161473	373.4104283
11.7583333	377.4668915	376.8450134	373.3854399
11.925	377.4475024	376.7965502	373.3564949
12.0916667	377.3841526	376.7341241	373.3239228
12.2583333	377.3356083	376.7039025	373.2888266
12.425	377.3185491	376.6656603	373.3023202
12.5916667	377.2764772	376.6338264	373.2506043
12.7583333	377.2728769	376.5832812	373.2082181
12.925	377.2189507	376.5754503	373.1976386
13.0916667	377.176197	376.528109	373.1709113
13.2583333	377.1845597	376.5393602	373.1937297
13.425	377.1585417	376.4965955	373.1202874
13.5916667	377.1220151	376.4906496	373.1360312
13.7583333	377.0898702	376.4638769	373.1038056
13.925	377.0890666	376.4758518	373.1111391
14.0916667	377.0853587	376.4803683	373.1043907
14.2583333	377.0387429	376.442237	373.1031081
14.425	377.0047651	376.4029583	373.0747807
14.5916667	376.9826435	376.3995685	373.0939722
14.7583333	376.9553632	376.3568224	373.0225322
14.925	376.9657205	376.3708867	373.0198761
15.0916667	376.9743024	376.4341581	373.0554035
15.2583333	376.9454623	376.3964479	373.0165596
15.425	376.9302721	376.3698603	373.0379579
15.5916667	376.908121	376.3565327	372.9963155
15.7583333	376.9241971	376.38816	373.0324676
15.925	376.9228154	376.3734849	373.023732
16.0916667	376.8929567	376.3659903	372.9799573
16.2583333	376.8885859	376.3812901	372.99853
16.425	376.8992693	376.3800236	373.0097261
16.5916667	376.894816	376.3466349	372.9839278
16.7583333	376.9176101	376.4173423	373.0359855
16.925	376.888071	376.4027726	373.0152395
17.0916667	376.9053957	376.4017981	373.0237604
17.2583333	376.9279577	376.4120778	373.0168847
17.425	376.9363414	376.4402268	373.0406465
17.5916667	376.9258114	376.4508392	373.0473176
17.7583333	376.9492945	376.4711138	373.047951
17.925	376.9506752	376.4384202	373.0393138
18.0916667	376.9769437	376.512895	373.0595428
18.2583333	376.9858819	376.5193093	373.0672065
18.425	376.9940841	376.5233958	373.0810055
18.5916667	376.9953272	376.5349007	373.0834576
18.7583333	377.0079958	376.5338961	373.0995317
18.925	377.0010447	376.5362609	373.117963
19.0916667	377.0528247	376.608337	373.1437441
19.2583333	377.0721829	376.6060922	373.153825
19.425	377.0881784	376.6169079	373.1814755
19.5916667	377.1051021	376.6570086	373.1786783
19.7583333	377.1386265	376.6662576	373.191188
19.925	377.143852	376.7014532	373.1984622
20.0916667	377.1603084	376.7372935	373.2423897
20.2583333	377.1660376	376.7503988	373.2408261
20.425	377.2147271	376.7869928	373.2776471
20.5916667	377.2275118	376.8232833	373.2988418
20.7583333	377.2404145	376.8171369	373.3177438
20.925	377.269505	376.8336127	373.3214546
21.0916667	377.2571135	376.8315445	373.3471712
21.2583333	377.3173839	376.92104	373.3721379
21.425	377.3390005	376.9395252	373.3970232
21.5916667	377.3666227	376.9715252	373.4181911
21.7583333	377.408619	377.0132982	373.4505864
21.925	377.4086592	377.022148	373.4630244
22.0916667	377.4188648	377.0129976	373.4858384
22.2583333	377.4386793	377.0074112	373.482172
22.425	377.4319744	377.0386757	373.5021354
22.5916667	377.4675735	377.0773554	373.5292326
22.7583333	377.4668114	377.0934874	373.558003
22.925	377.5149289	377.0995442	373.5713232
23.0916667	377.5278857	377.127388	373.5940985
23.2583333	377.5852016	377.2005649	373.642698
23.425	377.5774954	377.2174916	373.6428681
23.5916667	377.5972083	377.230051	373.6878962
23.7583333	377.6301332	377.2468757	373.6906546
23.925	377.6679066	377.302216	373.7123802
24.0916667	377.6821712	377.2953119	373.7344944
24.2583333	377.6907112	377.3012872	373.7476658
24.425	377.68864	377.2851758	373.7610144
24.5916667	377.7228251	377.3119447	373.79263
24.7583333	377.7395837	377.3751744	373.8118892
24.925	377.7716358	377.4003056	373.829118
25.0916667	377.8038777	377.428342	373.8553842
25.2583333	377.7752577	377.4330112	373.8582427
25.425	377.808082	377.4656808	373.8924955
25.5916667	377.8445572	377.4851272	373.906876
25.7583333	377.8513377	377.5075941	373.9190986
25.925	377.8744963	377.5049481	373.9451386
26.0916667	377.8985128	377.5004522	373.9417275
26.2583333	377.8968839	377.4900958	373.9495507
26.425	377.9306549	377.5457019	373.9911133
26.5916667	377.9485518	377.5427138	374.0062986
26.7583333	377.9545518	377.5505149	374.023101
26.925	378.0062151	377.617698	374.0470075
27.0916667	377.9743779	377.5868167	374.0306289
27.2583333	378.0179186	377.6389861	374.1033955
27.425	378.0406032	377.6469837	374.1087172
27.5916667	378.0362913	377.6277608	374.1091382
27.7583333	378.0148678	377.6345901	374.1046737
27.925	378.0295848	377.6499094	374.1210707
28.0916667	378.0557878	377.6825846	374.1292648
28.2583333	378.0669605	377.6922146	374.167336
28.425	378.0934529	377.7249055	374.2000566
28.5916667	378.1001463	377.7296996	374.1965872
28.7583333	378.1374339	377.7696237	374.2141237
28.925	378.1474347	377.7825954	374.2166096
29.0916667	378.1387575	377.7889556	374.2376555
29.2583333	378.1418874	377.7805198	374.24047
29.425	378.164011	377.7978172	374.256808
29.5916667	378.2111546	377.8049655	374.2948297
29.7583333	378.1927676	377.7934393	374.2638829
29.925	378.2052752	377.8082642	374.2937334
30.0916667	378.2084921	377.8217078	374.312889
30.2583333	378.2025722	377.8018281	374.2966439
30.425	378.2119092	377.8097491	374.2961374
30.5916667	378.2662013	377.848792	374.3255213
30.7583333	378.2806169	377.821149	374.3382115
30.925	378.348636	377.8506233	374.3344912
31.0916667	378.4744682	377.9020913	374.358909
31.2583333	378.625274	377.9752905	374.3902103
31.425	378.8414456	378.0590974	374.3919969
31.5916667	379.1096015	378.171846	374.4676276
31.7583333	379.3797203	378.3241476	374.5110907
31.925	379.702229	378.5163729	374.6019835
32.0916667	380.0491545	378.7194329	374.7123542
32.2583333	380.4442114	378.9419302	374.8562867
32.425	380.8412278	379.2533891	375.049188
