time	N2O	NO	NH3	CO	HC
0.091666667	2.48347539246344E-06	2.78465132368552E-05	0	0.00017140024872	3.20977626042311E-05
0.258333333	2.4712103194005E-06	2.78907997141139E-05	0	0.000171463236606	3.20942523491408E-05
0.425	2.45843757414911E-06	2.7910640224371E-05	0	0.000171345970276	3.21056662831E-05
0.591666666999999	2.44110392453698E-06	2.79879087700037E-05	0	0.000171319082066	3.21095597478609E-05
0.758333332999999	2.43597251306649E-06	2.79520739494466E-05	0	0.000171252389007	3.20837746172652E-05
0.925	2.42732730198029E-06	2.80394608507554E-05	0	0.00017176578316	3.2124343102486E-05
1.09166667	2.4224925683451E-06	2.80582730092543E-05	0	0.000171188177084	3.21053971643876E-05
1.25833333	2.42121440255748E-06	2.80542329331642E-05	0	0.000171544575407	3.21124062460963E-05
1.42499999999999	2.41634480640077E-06	2.81204089273739E-05	0	0.00017148192962	3.21353240235246E-05
1.59166667	2.41123282967351E-06	2.81455406884671E-05	0	0.000171610102431	3.21482945782781E-05
1.75833333	2.40817285770212E-06	2.81618302699651E-05	0	0.000171730669707	3.22186576031825E-05
1.925	2.39878597682112E-06	2.81827187890086E-05	0	0.000171805314737	3.23710127447927E-05
2.09166666999999	2.39769934949502E-06	2.81716391799556E-05	0	0.00017181910511	3.23037441614497E-05
2.25833333	2.3973448382201E-06	2.82372831680345E-05	0	0.000171956665341	3.22887511260644E-05
2.425	2.39206480572036E-06	2.82686916022617E-05	0	0.000171985223424	3.22787807812472E-05
2.59166667	2.3903857212432E-06	2.82651036469712E-05	0	0.000172260722551	3.22604106456858E-05
2.75833333	2.38718656833455E-06	2.82264889308416E-05	0	0.000172028346232	3.22416996149556E-05
2.925	2.38267047281835E-06	2.82469274173407E-05	0	0.000171560518067	3.22481455870668E-05
3.09166667	2.38170970127598E-06	2.83125981004281E-05	0	0.000172334507411	3.22572896514669E-05
3.25833333	2.37447586029074E-06	2.82943854410839E-05	0	0.000171989535679	3.22491401895864E-05
3.425	2.37561557675009E-06	2.83259662329747E-05	0	0.000172038932634	3.22489311816986E-05
3.59166667	2.3723476375609E-06	2.83496876017123E-05	0	0.000171945380301	3.22641871528189E-05
3.75833333	2.36722551039879E-06	2.8348482203043E-05	0	0.000171860241386	3.22551386705843E-05
3.925	2.3661962241698E-06	2.83596209470733E-05	0	0.000172349048687	3.22557553643963E-05
4.09166667	2.36189776700527E-06	2.83674094146305E-05	0	0.0001720611895	3.22317163730115E-05
4.25833333	2.35538596565129E-06	2.8399607042232E-05	0	0.000172483320193	3.22472557014213E-05
4.425	2.3587908327204E-06	2.84243410717972E-05	0	0.000172396623134	3.22840667502013E-05
4.59166667	2.35210238157233E-06	2.84717937741983E-05	0	0.000172353109449	3.22656872298059E-05
4.75833333	2.34847959190351E-06	2.84269140620409E-05	0	0.00017251466226	3.22557060618017E-05
4.925	2.34924937655004E-06	2.8472800257032E-05	0	0.000172412388469	3.22507845032632E-05
5.09166667	2.34328861768615E-06	2.84363780983643E-05	0	0.000172269591809	3.22569093019939E-05
5.25833333	2.33878845929659E-06	2.8490312252242E-05	0	0.000172620068467	3.22667419723903E-05
5.425	2.34092152287365E-06	2.85037561904878E-05	0	0.000172488851985	3.22736346604641E-05
5.59166667	2.33754259973612E-06	2.85109733887427E-05	0	0.000172529979691	3.22727715221541E-05
5.75833333	2.33221415223129E-06	2.85391230518364E-05	0	0.000172358190467	3.22891648360162E-05
5.925	2.33426099962436E-06	2.85233589858363E-05	0	0.000172746777184	3.22720267679866E-05
6.09166667	2.33117031582114E-06	2.85503500969839E-05	0	0.000172410338804	3.22921136076616E-05
6.25833333	2.33245361418088E-06	2.85572620542478E-05	0	0.000172690045847	3.22902919801793E-05
6.425	2.32975084076473E-06	2.85668409042172E-05	0	0.000172288633154	3.22857736195152E-05
6.59166667	2.32579558237723E-06	2.85280726995075E-05	0	0.000172135273738	3.22679437909935E-05
6.75833332999999	2.32369883842035E-06	2.85618994897724E-05	0	0.000172273857195	3.23412782544443E-05
6.925	2.32059021065624E-06	2.85726606275732E-05	0	0.000172650297613	3.24637856838349E-05
7.09166667	2.32172064320152E-06	2.85563960872513E-05	0	0.000172333109782	3.24241260370282E-05
7.25833332999999	2.31847375018287E-06	2.85797645673739E-05	0	0.000172438481256	3.23891659878477E-05
7.425	2.31630974517828E-06	2.86015679041926E-05	0	0.000172290062328	3.23736579485433E-05
7.59166667	2.31887232072075E-06	2.85534963788169E-05	0	0.000172513384989	3.23701515594602E-05
7.75833332999999	2.31430478641437E-06	2.85751332972219E-05	0	0.000172688290467	3.236632127356E-05
7.925	2.31235220035739E-06	2.86024379026391E-05	0	0.000172363922666	3.23556358170594E-05
8.09166667	2.31500200712494E-06	2.86287939630384E-05	0	0.000173057006231	3.23609395492272E-05
8.25833333	2.31173838877769E-06	2.86408018938993E-05	0	0.000172629862545	3.23704983885307E-05
8.425	2.31150535090202E-06	2.86737722194386E-05	0	0.000172807897337	3.23701084789487E-05
8.59166667	2.31368730764065E-06	2.86489836595148E-05	0	0.000172801967588	3.23590061083955E-05
8.75833333	2.31400842545033E-06	2.86523448305679E-05	0	0.000172711753163	3.23444071889602E-05
8.925	2.30931643979709E-06	2.8665097034099E-05	0	0.000172871621349	3.23485105641407E-05
9.09166667	2.30944460204885E-06	2.866341465505E-05	0	0.000172598813622	3.23390704234798E-05
9.25833333	2.30408972808929E-06	2.86698288961309E-05	0	0.000172831359139	3.23413118376704E-05
9.425	2.30581140284934E-06	2.86757068828744E-05	0	0.000172718872204	3.23265368437692E-05
9.59166667	2.307279859416E-06	2.87087058037855E-05	0	0.0001732027466	3.23380342444219E-05
9.75833333	2.30684166384121E-06	2.86793703140356E-05	0	0.000172667832852	3.23309745653596E-05
9.925	2.30579400796004E-06	2.87003694127274E-05	0	0.000172773920516	3.23316097020605E-05
10.0916667	2.30081190879354E-06	2.87080325755311E-05	0	0.000172293734616	3.2324098674575E-05
10.2583333	2.30094397812077E-06	2.87058609115116E-05	0	0.000173053959706	3.23300038276527E-05
10.425	2.30315942417844E-06	2.87016296667558E-05	0	0.000172827741761	3.23263986562725E-05
10.5916667	2.29875026244241E-06	2.86929315279928E-05	0	0.000172356651269	3.23167150847855E-05
10.7583333	2.29814728849106E-06	2.87089343745047E-05	0	0.000172733010891	3.23189554809533E-05
10.925	2.29742681417722E-06	2.87044149169144E-05	0	0.000172673916947	3.23378272706941E-05
11.0916667	2.29995631085475E-06	2.86779933330785E-05	0	0.000172677474427	3.23157067614009E-05
11.2583333	2.30801586041502E-06	2.86658141963796E-05	0	0.000172785935766	3.23104359759557E-05
11.425	2.31669227028708E-06	2.86271050104243E-05	0	0.000172505855622	3.23132535431151E-05
11.5916667	2.32049899958778E-06	2.86293348485661E-05	0	0.000172769457119	3.23172764359801E-05
11.7583333	2.33506294010684E-06	2.85899087449362E-05	0	0.000172790738749	3.24578011690945E-05
11.925	2.35180694145893E-06	2.85143989148663E-05	0	0.000172488626123	3.25143064354005E-05
12.0916667	2.36521795502095E-06	2.85028435044343E-05	0	0.000172814438572	3.2444074577029E-05
12.2583333	2.38660195280473E-06	2.83966610889713E-05	0	0.000172330969057	3.23835264719008E-05
12.425	2.40403265260011E-06	2.83116239481834E-05	0	0.000172368152679	3.235215054664E-05
12.5916667	2.42493455243638E-06	2.8256951226186E-05	0	0.000172520489743	3.23326110003405E-05
12.7583333	2.45095752909302E-06	2.81419612541698E-05	0	0.000172104122572	3.23085713769884E-05
12.925	2.48461170780554E-06	2.80663717818645E-05	0	0.000172118206628	3.22880962454753E-05
13.0916667	2.51864768495186E-06	2.79280300271018E-05	0	0.000172148027572	3.22716209159158E-05
13.2583333	2.54869913254235E-06	2.78357989666051E-05	0	0.000171770412323	3.22217986022583E-05
13.425	2.56576579948012E-06	2.76740335740185E-05	0	0.000171963126689	3.2178201799059E-05
13.5916667	2.59795682649134E-06	2.76123347590911E-05	0	0.000171441876637	3.21520529559751E-05
13.7583333	2.62410560985893E-06	2.75145210213892E-05	0	0.000171001271269	3.21244920224455E-05
13.925	2.65068572084976E-06	2.73771734486931E-05	0	0.000170802697757	3.20896283131943E-05
14.0916667	2.66872208532724E-06	2.72570418709221E-05	0	0.000170853779268	3.205108622779E-05
14.2583333	2.70074838577476E-06	2.71366442619762E-05	0	0.000171067728348	3.20432133517955E-05
14.425	2.72730954568512E-06	2.70267926630689E-05	0	0.000170608573294	3.20080712557316E-05
14.5916667	2.75730328855275E-06	2.69318254818527E-05	0	0.000170626904033	3.19754322214737E-05
14.7583333	2.81300448378038E-06	2.68214009146765E-05	0	0.00017038822405	3.19431218721155E-05
14.925	2.84803470245115E-06	2.66699641060196E-05	0	0.00016978632255	3.19080507617992E-05
15.0916667	2.88184996425862E-06	2.6496969374417E-05	0	0.000169951438985	3.18471998814055E-05
15.2583333	2.91155196330271E-06	2.63755387769246E-05	0	0.000169347792838	3.18250799051859E-05
15.425	2.94202231664282E-06	2.62119277354782E-05	4.15463681906697E-10	0.000169062021624	3.1780424486246E-05
15.5916667	2.97992238621461E-06	2.60661674007174E-05	0	0.000168980567195	3.17416918029936E-05
15.7583333	3.02058526069496E-06	2.58886284766645E-05	7.27569937828357E-10	0.000168884338935	3.17075868057385E-05
15.925	3.07631708540398E-06	2.5744000580539E-05	1.6814796136374E-09	0.00016861853959	3.1659036588055E-05
16.0916666999999	3.16445697698783E-06	2.55576923567327E-05	3.48384513304146E-09	0.000168676992678	3.16281864726832E-05
16.2583333	3.20688363228226E-06	2.53552725096959E-05	2.11038971183784E-09	0.000168092489496	3.15754011157238E-05
16.425	3.24146054507062E-06	2.51574390656748E-05	5.35736167889337E-09	0.000167928155827	3.15317598023438E-05
16.5916666999999	3.2829280029423E-06	2.49469311359856E-05	5.66526993020038E-09	0.000167287626194	3.14804344021361E-05
16.7583333	3.32412373138108E-06	2.47584619411623E-05	9.05874218446252E-09	0.000167163851777	3.15641856535636E-05
16.925	3.3636935228325E-06	2.45482397793931E-05	1.05410333520579E-08	0.00016695526833	3.15411753157565E-05
17.0916666999999	3.38852967756425E-06	2.4351128560276E-05	1.1618852240225E-08	0.000166311880968	3.14493384024985E-05
17.2583333	3.42301574746206E-06	2.41579606279484E-05	1.25720847565359E-08	0.00016636868763	3.13740809458927E-05
17.425	3.46927493952142E-06	2.39297812594504E-05	1.7814774504377E-08	0.000165617649818	3.13320505753894E-05
17.5916666999999	3.51323240769965E-06	2.3718314736453E-05	1.95136339006193E-08	0.000166004332135	3.12665060285781E-05
17.7583333	3.55487562051304E-06	2.34915537851353E-05	2.04233628563768E-08	0.000165374171282	3.12149794536191E-05
17.925	3.60244017951521E-06	2.32851165332166E-05	2.1390522185331E-08	0.000165083590964	3.11650276896696E-05
18.0916666999999	3.65393313021484E-06	2.30517021603017E-05	2.44368318218472E-08	0.00016477162676	3.10938472818689E-05
18.2583333	3.70313011214193E-06	2.28284608888986E-05	2.95830209849756E-08	0.000164371965152	3.10498622393491E-05
18.425	3.74658504283665E-06	2.25850102877356E-05	3.28332427172524E-08	0.000164146120745	3.09759400837413E-05
18.5916666999999	3.80113758769318E-06	2.23425812018677E-05	3.58708602778104E-08	0.00016382719315	3.09032044031187E-05
18.7583333	3.88124276826305E-06	2.21357962483816E-05	3.75829908649392E-08	0.000163615920897	3.08717237141876E-05
18.925	3.94283162739596E-06	2.18559458183593E-05	4.3826395547135E-08	0.000163498848889	3.0818582992092E-05
19.0916666999999	3.98146513071053E-06	2.15789622897076E-05	4.99552244531495E-08	0.000162858087255	3.07613272386079E-05
19.2583333	4.04064309110869E-06	2.13095166270675E-05	4.85976099556518E-08	0.000162597233859	3.06873610103484E-05
19.425	4.09119413673879E-06	2.10600123418902E-05	5.46549370271369E-08	0.000162284885712	3.06221589951887E-05
19.5916666999999	4.13524189070802E-06	2.08163111602955E-05	5.8021756136804E-08	0.000161630099581	3.05524135483676E-05
19.7583333	4.18802388078891E-06	2.05557768939407E-05	6.3444615804211E-08	0.000161621306509	3.05174476082886E-05
19.925	4.2357308741204E-06	2.02491330611012E-05	6.54662355380256E-08	0.000161139328168	3.04669822631153E-05
20.0916666999999	4.28317345768924E-06	1.99832507311645E-05	7.37397649013679E-08	0.000160688894105	3.04067125515245E-05
20.2583333	4.33319430213088E-06	1.96742536148017E-05	8.04225520012043E-08	0.000159881693796	3.03425760460635E-05
20.425	4.39996085501134E-06	1.93570405688917E-05	8.43931630000982E-08	0.000159461525316	3.02511448292037E-05
20.5916666999999	4.47340922118992E-06	1.90964618685793E-05	8.89741502207778E-08	0.000159456560245	3.0217636082881E-05
20.7583333	4.53102691490292E-06	1.87978104532514E-05	9.73969690874457E-08	0.000158971656852	3.01499032666203E-05
20.925	4.57270526446707E-06	1.8481614911028E-05	1.03427145846268E-07	0.000158487973432	3.01005532501979E-05
21.0916666999999	4.6369665197321E-06	1.81830953939951E-05	1.11527753236336E-07	0.000158002816458	3.00275739515534E-05
21.2583333	4.69379855115512E-06	1.7864064276007E-05	1.19737014136441E-07	0.000158030362549	2.99844391930186E-05
21.4249999999999	4.73428880595368E-06	1.75515553324281E-05	1.26632239601748E-07	0.000157302479897	2.99152360472358E-05
21.5916666999999	4.77267081009264E-06	1.72049583516932E-05	1.3572288472373E-07	0.000156452393411	2.98589856468462E-05
21.7583333	4.82921956015989E-06	1.69105632082156E-05	1.42200660693144E-07	0.000156523809403	2.99701287210569E-05
21.9249999999999	4.87267648383209E-06	1.66104960856688E-05	1.52378732691526E-07	0.000156005226279	2.98874753044629E-05
22.0916666999999	4.93909767935407E-06	1.62773454139159E-05	1.61626023447123E-07	0.000155835967089	2.97586076267227E-05
22.2583333	4.96961636425508E-06	1.59254986046351E-05	1.70973453909111E-07	0.000154852820153	2.96522618438137E-05
22.4249999999999	5.012031699635E-06	1.55964016078587E-05	1.82688896486738E-07	0.00015383062436	2.95870874915363E-05
22.5916666999999	5.0476067636866E-06	1.52797742854697E-05	1.90964667125766E-07	0.000153967737404	2.95219232881405E-05
22.7583333	5.09475377019463E-06	1.49743485570007E-05	1.99443821820013E-07	0.000153147726061	2.94685763169106E-05
22.9249999999999	5.12616235690538E-06	1.46336686153563E-05	2.14019382172473E-07	0.000152713002218	2.93805838594068E-05
23.0916666999999	5.18084167944416E-06	1.43529224497458E-05	2.28224096933351E-07	0.000151895794138	2.93333739257652E-05
23.2583333	5.20516774901683E-06	1.4010267944296E-05	2.40573738213455E-07	0.00015152618588	2.92495229875732E-05
23.4249999999999	5.22783482909432E-06	1.36862058142561E-05	2.54858012806991E-07	0.00015074306395	2.91706991031981E-05
23.5916666999999	5.25049510502834E-06	1.336211943957E-05	2.69624880893194E-07	0.000149855177363	2.90938501867738E-05
23.7583333	5.26307661358019E-06	1.30450716177001E-05	2.81678010341335E-07	0.00014949462916	2.90125570059187E-05
23.9249999999999	5.28877974432809E-06	1.27578386571205E-05	2.96782539628937E-07	0.000148890792657	2.89662977346719E-05
24.0916666999999	5.3033951686631E-06	1.24513349416388E-05	3.17432449501896E-07	0.000147841520545	2.8880549094754E-05
24.2583333	5.38360741314415E-06	1.21798488652788E-05	3.33670315596182E-07	0.000147788247575	2.88219739569206E-05
