time	T_in	T_mid	T_out
0.091666667	380.7566616	381.5218762	379.6939957
0.258333333	380.6530792	381.4268775	379.6683304
0.425	380.5818282	381.3625463	379.513920999999
0.591666666999999	380.4934546	381.280792	379.4144622
0.758333332999999	380.3829684	381.2150642	379.3402157
0.925	380.3245172	381.0699864	379.2415098
1.09166667	380.2185325	380.9789328	379.14734
1.25833333	380.1578636	380.8735641	379.0331135
1.42499999999999	380.1135631	380.7958436	378.8820585
1.59166667	380.0003123	380.671123899999	378.7821942
1.75833333	379.966527999999	380.6094941	378.684202
1.925	379.8769793	380.5298208	378.6193578
2.09166666999999	379.8277289	380.5630025	378.5696017
2.25833333	379.8303645	380.4290148	378.5176275
2.425	379.774316299999	380.3969607	378.418203
2.59166667	379.7405078	380.3136326	378.3556685
2.75833333	379.724062	380.335501099999	378.2897573
2.925	379.6978806	380.276138799999	378.266420799999
3.09166667	379.614759	380.2192637	378.2054881
3.25833333	379.592157799999	380.1967741	378.157892699999
3.425	379.5448103	380.1559537	378.0491718
3.59166667	379.5059305	380.0725266	377.951089299999
3.75833333	379.4743386	380.0157866	377.940863799999
3.925	379.4451092	380.043598699999	377.9069417
4.09166667	379.3368261	379.9926507	377.8692076
4.25833333	379.3078114	379.9030608	377.817489499999
4.425	379.2271206	379.852764499999	377.728059499999
4.59166667	379.1943345	379.8081482	377.6761759
4.75833333	379.1567338	379.7662879	377.664624099999
4.925	379.1465062	379.744105999999	377.6339201
5.09166667	379.100264799999	379.7195225	377.5687416
5.25833333	379.1052675	379.7177573	377.557870999999
5.425	379.01203	379.620470299999	377.416342
5.59166667	379.0004414	379.5412154	377.3893242
5.75833333	379.0136381	379.5503689	377.354501099999
5.925	379.029107099999	379.5645819	377.3181919
6.09166667	379.010851199999	379.5535463	377.3170037
6.25833333	378.9625005	379.5129628	377.2359642
6.425	378.8866411	379.5308347	377.265022699999
6.59166667	378.877213299999	379.437543199999	377.2366586
6.75833332999999	378.8386366	379.4523608	377.1857973
6.925	378.8528711	379.4080075	377.1847144
7.09166667	378.8566945	379.4054409	377.101945699999
7.25833332999999	378.844254699999	379.431632	377.0895168
7.425	378.805697699999	379.3805377	377.0660568
7.59166667	378.8037111	379.36092	377.037287199999
7.75833332999999	378.8261918	379.3722858	377.0400376
7.925	378.809236899999	379.364257499999	376.987008799999
8.09166667	378.786755	379.314771199999	376.9669313
8.25833333	378.7478153	379.2859721	376.8950917
8.425	378.7182425	379.2504441	376.8906653
8.59166667	378.6684582	379.239452799999	376.847236499999
8.75833333	378.7103318	379.1997757	376.850838299999
8.925	378.628717499999	379.2391858	376.8208376
9.09166667	378.6691577	379.1937608	376.8349923
9.25833333	378.6386737	379.187234599999	376.7696087
9.425	378.618020699999	379.2176492	376.7997359
9.59166667	378.6563042	379.188583	376.7510782
