time	HC	CO	NO	N2O	NH3	H2
0.091666667	1.39306E-05	0.000163393	2.8872E-05	1.93221E-06	3.75839E-08	5.20408E-05
0.258333333	1.39259E-05	0.000163512	2.8883E-05	1.93115E-06	3.64589E-08	5.17455E-05
0.425	1.38666E-05	0.000163368	2.89027E-05	1.92801E-06	3.65871E-08	5.189E-05
0.591666667	1.38215E-05	0.000163585	2.8933E-05	1.92741E-06	3.70078E-08	5.19494E-05
0.758333333	1.37724E-05	0.000163606	2.89353E-05	1.92163E-06	3.62088E-08	5.20063E-05
0.925	1.38196E-05	0.000163436	2.89062E-05	1.91477E-06	3.5442E-08	5.17468E-05
1.09166667	1.37927E-05	0.000163361	2.89129E-05	1.90986E-06	3.59002E-08	5.17721E-05
1.25833333	1.38134E-05	0.00016341	2.89469E-05	1.90687E-06	3.47598E-08	5.19648E-05
1.425	1.38974E-05	0.000163335	2.89302E-05	1.89371E-06	3.58234E-08	5.19945E-05
1.59166667	1.38465E-05	0.000163514	2.8984E-05	1.88736E-06	3.50566E-08	5.20375E-05
1.75833333	1.38792E-05	0.000163664	2.89961E-05	1.88178E-06	3.36479E-08	5.18515E-05
1.925	1.39381E-05	0.000163486	2.89779E-05	1.8771E-06	3.37645E-08	5.18469E-05
2.09166667	1.38853E-05	0.000163387	2.89893E-05	1.86865E-06	3.26503E-08	5.1937E-05
2.25833333	1.38821E-05	0.00016327	2.90344E-05	1.86479E-06	3.13571E-08	5.19941E-05
2.425	1.37801E-05	0.000163527	2.90668E-05	1.86067E-06	3.13104E-08	5.20011E-05
2.59166667	1.3763E-05	0.000163197	2.90104E-05	1.85103E-06	3.18004E-08	5.20719E-05
2.75833333	1.38346E-05	0.000163456	2.90829E-05	1.84753E-06	3.08328E-08	5.20178E-05
2.925	1.38967E-05	0.00016344	2.91251E-05	1.82126E-06	3.08357E-08	5.20205E-05
3.09166667	1.38196E-05	0.000163568	2.91052E-05	1.81404E-06	2.93911E-08	5.18825E-05
3.25833333	1.3747E-05	0.000163529	2.91305E-05	1.80844E-06	3.0506E-08	5.19249E-05
3.425	1.38495E-05	0.000163288	2.91323E-05	1.7996E-06	2.9168E-08	5.21234E-05
3.59166667	1.39863E-05	0.000163258	2.91905E-05	1.79574E-06	2.90194E-08	5.20702E-05
3.75833333	1.40352E-05	0.00016358	2.92136E-05	1.7891E-06	3.02615E-08	5.20911E-05
3.925	1.40299E-05	0.000163506	2.92547E-05	1.78048E-06	2.94086E-08	5.22015E-05
4.09166667	1.39467E-05	0.000163494	2.92556E-05	1.77123E-06	2.79654E-08	5.20764E-05
4.25833333	1.38284E-05	0.000163585	2.93113E-05	1.7648E-06	2.90898E-08	5.20813E-05
4.425	1.39011E-05	0.000163577	2.9323E-05	1.75364E-06	2.75421E-08	5.21531E-05
4.59166667	1.39411E-05	0.00016376	2.93658E-05	1.74828E-06	2.82388E-08	5.199E-05
